"subcatchment","x","y"
2,-157.7487567,21.32460808
2,-157.7491119,21.32434773
2,-157.7493232,21.32393127
2,-157.7495126,21.32374732
2,-157.7497722,21.32351967
2,-157.7500199,21.32322864
2,-157.7502512,21.32272039
2,-157.7504149,21.32251196
2,-157.7506307,21.32217108
2,-157.7508121,21.32179738
2,-157.7509685,21.32158422
2,-157.7510918,21.3214262
2,-157.7512885,21.3210671
2,-157.7514358,21.32084308
2,-157.7515591,21.32062518
2,-157.7517032,21.32046023
2,-157.7518223,21.32015895
2,-157.7520275,21.31984744
2,-157.752205,21.3196318
2,-157.7524812,21.31937978
2,-157.7527007,21.31917719
2,-157.7529302,21.31881101
2,-157.7531485,21.31846704
2,-157.753351,21.31811338
2,-157.7535237,21.31771479
2,-157.7536417,21.31729744
2,-157.7536867,21.31679049
2,-157.7537077,21.31621913
2,-157.7537909,21.3155386
2,-157.753891,21.31460971
2,-157.7539461,21.31394498
2,-157.7539915,21.31369228
2,-157.7540331,21.31346106
2,-157.7541197,21.31297982
2,-157.7542325,21.31267007
2,-157.7543292,21.31227661
2,-157.7544827,21.31195042
2,-157.7546482,21.31175564
2,-157.7549682,21.31194312
2,-157.7552225,21.31205446
2,-157.7553036,21.31207825
2,-157.7556251,21.31214032
2,-157.7560767,21.31226158
2,-157.7564825,21.31233546
2,-157.7565554,21.31235784
2,-157.7566873,21.31241541
2,-157.7568757,21.31251051
2,-157.7570567,21.3126124
2,-157.7573393,21.3127999
2,-157.7575238,21.31289865
2,-157.7577155,21.3129907
2,-157.7578314,21.31306303
2,-157.7581103,21.31325396
2,-157.7582936,21.3133538
2,-157.7583501,21.31339132
2,-157.7585085,21.31351407
2,-157.7589543,21.31391861
2,-157.7590928,21.31401751
2,-157.7592529,21.31410665
2,-157.7593355,21.31414186
2,-157.7595363,21.31421034
2,-157.7595905,21.31421904
2,-157.7596076,21.31425815
2,-157.7596129,21.31436764
2,-157.7595538,21.31504625
2,-157.7595647,21.31517694
2,-157.759617,21.31546177
2,-157.7596901,21.31565979
2,-157.7598236,21.31596294
2,-157.7598571,21.31607842
2,-157.7598657,21.31613291
2,-157.7598633,21.316187
2,-157.7598306,21.31629512
2,-157.7598053,21.31634975
2,-157.7596338,21.31662192
2,-157.7595788,21.3167505
2,-157.7595327,21.31688648
2,-157.7595158,21.31695896
2,-157.759497,21.3171135
2,-157.7594928,21.31727123
2,-157.7595049,21.31755983
2,-157.7594843,21.31769352
2,-157.7593309,21.31806787
2,-157.7591219,21.31850573
2,-157.7589904,21.31874571
2,-157.7588431,21.31906139
2,-157.7588018,21.31920436
2,-157.7587392,21.3195092
2,-157.7587182,21.31958026
2,-157.7586386,21.31977768
2,-157.7585469,21.31996365
2,-157.7583225,21.32038742
2,-157.758055,21.32095226
2,-157.7579557,21.32113093
2,-157.7578841,21.32124493
2,-157.7577641,21.32140383
2,-157.7575441,21.32164968
2,-157.757461,21.32175266
2,-157.7571473,21.32209147
2,-157.7570661,21.32219626
2,-157.7570305,21.32225343
2,-157.7569364,21.32243703
2,-157.7566784,21.32310204
2,-157.7565837,21.32328508
2,-157.7565103,21.32339732
2,-157.7564704,21.32345036
2,-157.7563778,21.32354431
2,-157.7561681,21.32370899
2,-157.7556593,21.32413519
2,-157.7556104,21.32417972
2,-157.7555279,21.32428329
2,-157.755469,21.32440933
2,-157.7553971,21.32461406
2,-157.7553158,21.32490088
2,-157.75526,21.32502989
2,-157.7551252,21.32526579
2,-157.7550148,21.32543385
2,-157.7548038,21.32568827
