"subc","node"
91,"J380"
94,"J407"
42,"J508"
63,"J540"
67,"J568"
20,"J227"
89,"J246"
58,"J622"
24,"J186"
62,"J96"
75,"J250"
21,"J358"
45,"J558"
47,"J534"
44,"J635"
34,"J301"
25,"J49"
52,"J595"
66,"J56"
23,"J65"
7,"J327"
13,"J158"
19,"J324"
82,"J415"
81,"J1"
74,"J46"
28,"J306"
30,"J224"
11,"J441"
68,"J545"
57,"J517"
77,"J442"
76,"J488"
56,"J19"
65,"J650"
49,"J667"
95,"J94"
59,"J60"
32,"J251"
8,"J129"
36,"J138"
9,"J30"
39,"J522"
10,"J72"
14,"J206"
96,"J269"
18,"J229"
73,"J644"
48,"J232"
69,"J584"
16,"J85"
17,"J40"
12,"J201"
1,"J134"
54,"J571"
80,"J219"
79,"J166"
2,"J410"
70,"J79"
51,"J215"
61,"J88"
33,"J193"
37,"J170"
40,"J481"
88,"J119"
55,"J448"
4,"J172"
38,"J668"
84,"J443"
27,"J23"
15,"J383"
93,"J405"
22,"J135"
64,"J5"
71,"J143"
83,"J403"
-9999,"J421"
26,"J348"
50,"J13"
60,"J645"
78,"J284"
6,"J378"
72,"J580"
46,"J150"
43,"J17"
31,"J132"
3,"J535"
53,"J477"
35,"J176"
90,"J387"
29,"J161"
