FID,OBJECTID_1,OBJECTID_2,OBJECTID_3,OBJECTID_4,OBJECTID,LINE_ID,TYPE,CALC_LENGT,DIAMETER,DRAINAGE_A,FLOW_RATE,LENGTH,WIDTH,HEIGHT,SLOPE,ROUGHNESS,VELOCITY,UPSTREAMNO,DOWNSTREAM,UPSTREAM_1,DOWNSTRE_1,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,TYPE_USE,SHAPESTLen,Shape_Leng,Permanent_,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Per,FTYPE,FCode,ComID,WbAreaComi,HUC8,DIVERGENCE,STREAMORDE,TOCOMID,CUMDRAINAG,MAFLOWU,MAVELU,TONODE,FROMNODE,OBJECTID_5,MainPath,InNetwork,Visibility,Shape_Le_1,Shape_Le_2,Shape_Le_3,Shape_Le_4,Enabled,Shape_Le_5,ORIG_FID,POINT_X,POINT_Y,POINT_Z,POINT_M
0,2,707,707,710,5460,17825,Reinforced Concrete Pipe,63.513429150000000,18, , ,63.514, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,63.513429153300002,0.000176867881521, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000176867881521,0.000176867872185,1,0.000176867872185,0,-157.751738130000007,21.283367976000001,0.000000000000000,nan
1,2,707,707,710,5460,17825,Reinforced Concrete Pipe,63.513429150000000,18, , ,63.514, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,63.513429153300002,0.000176867881521, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000176867881521,0.000176867872185,1,0.000176867872185,0,-157.751706670999994,21.283298914000000,0.000000000000000,nan
2,2,707,707,710,5460,17825,Reinforced Concrete Pipe,63.513429150000000,18, , ,63.514, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,63.513429153300002,0.000176867881521, ,, , , ,0.000000000000000, , , , ,0,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,0,0,0,0,0.000000000000000,0.000000000000000,0.000176867881521,0.000176867872185,1,0.000176867872185,0,-157.751661665000000,21.283208519999999,0.000000000000000,nan
3,4,6535,6535,40,1602,0, ,0.000000000000000, , , , , , ,0, , , , , , , , , , , , , , , ,0.000000000000000,0.011149607160700,32649753,3/10/2012 0:00:00,2, , ,1.210000000000000,20060000002403,1, ,460,46003,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,46,0,1,0,0.011149606400200,1214.612120770000047,0.011149606727300,0.011149606964600,1,0.011149606964600,1,-157.749847998999996,21.321192766999999,0.000000000000000,99.999905999999996
4,4,6535,6535,40,1602,0, ,0.000000000000000, , , , , , ,0, , , , , , , , , , , , , , , ,0.000000000000000,0.011149607160700,32649753,3/10/2012 0:00:00,2, , ,1.210000000000000,20060000002403,1, ,460,46003,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,46,0,1,0,0.011149606400200,1214.612120770000047,0.011149606727300,0.011149606964600,1,0.011149606964600,1,-157.749924531999994,21.321082700000002,0.000000000000000,98.802806000000004
5,4,6535,6535,40,1602,0, ,0.000000000000000, , , , , , ,0, , , , , , , , , , , , , , , ,0.000000000000000,0.011149607160700,32649753,3/10/2012 0:00:00,2, , ,1.210000000000000,20060000002403,1, ,460,46003,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,46,0,1,0,0.011149606400200,1214.612120770000047,0.011149606727300,0.011149606964600,1,0.011149606964600,1,-157.749953798999996,21.321066101000000,0.000000000000000,98.510806000000002
6,4,6535,6535,40,1602,0, ,0.000000000000000, , , , , , ,0, , , , , , , , , , , , , , , ,0.000000000000000,0.011149607160700,32649753,3/10/2012 0:00:00,2, , ,1.210000000000000,20060000002403,1, ,460,46003,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,46,0,1,0,0.011149606400200,1214.612120770000047,0.011149606727300,0.011149606964600,1,0.011149606964600,1,-157.749971396999996,21.320999966999999,0.000000000000000,97.889505999999997
7,4,6535,6535,40,1602,0, ,0.000000000000000, , , , , , ,0, , , , , , , , , , , , , , , ,0.000000000000000,0.011149607160700,32649753,3/10/2012 0:00:00,2, , ,1.210000000000000,20060000002403,1, ,460,46003,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,46,0,1,0,0.011149606400200,1214.612120770000047,0.011149606727300,0.011149606964600,1,0.011149606964600,1,-157.750124198000009,21.320812767000000,0.000000000000000,95.742006000000003
8,4,6535,6535,40,1602,0, ,0.000000000000000, , , , , , ,0, , , , , , , , , , , , , , , ,0.000000000000000,0.011149607160700,32649753,3/10/2012 0:00:00,2, , ,1.210000000000000,20060000002403,1, ,460,46003,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,46,0,1,0,0.011149606400200,1214.612120770000047,0.011149606727300,0.011149606964600,1,0.011149606964600,1,-157.750165331999995,21.320730100999999,0.000000000000000,94.910606000000001
9,4,6535,6535,40,1602,0, ,0.000000000000000, , , , , , ,0, , , , , , , , , , , , , , , ,0.000000000000000,0.011149607160700,32649753,3/10/2012 0:00:00,2, , ,1.210000000000000,20060000002403,1, ,460,46003,0,0, ,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000, , ,46,0,1,0,0.011149606400200,1214.612120770000047,0.011149606727300,0.011149606964600,1,0.011149606964600,1,-157.750412132000008,21.320504300000000,0.000000000000000,91.966206000000000
