time_step,simulated_flow_cfs
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,9.15
3.25,10.15
3.5,4.03
3.75,13.35
4,11.14
4.25,4.22
4.5,63.25
4.75,125.86
5,101.65
5.25,27.63
5.5,114.11
5.75,50.35
6,16.36
6.25,5.53
6.5,2.49
6.75,1.37
7,11.98
7.25,13.81
7.5,19.04
7.75,14.45
8,5.32
8.25,2.46
8.5,40.27
8.75,85.62
9,31.91
9.25,8.96
9.5,3.85
9.75,2.06
10,12.84
10.25,14
10.5,5.32
10.75,38.23
11,47.73
11.25,91.15
11.5,50.06
11.75,30.16
12,24.35
12.25,48.32
12.5,113.2
12.75,219.11
13,211.58
13.25,144.99
13.5,132.73
13.75,128.87
14,127.07
14.25,85.79
14.5,107.04
14.75,118.91
15,161.06
15.25,137.46
15.5,175.89
15.75,150.33
16,146.34
16.25,103.8
16.5,126.1
16.75,101.61
17,86.67
17.25,78.04
17.5,71.39
17.75,65.92
18,61.26
18.25,57.3
18.5,53.86
18.75,50.84
19,48.16
19.25,45.75
19.5,43.59
19.75,41.62
20,39.82
20.25,38.19
20.5,36.67
20.75,35.26
21,33.95
21.25,32.73
21.5,31.59
