subcatchment,total_precip_in,total_runon_in,total_evap_in,total_infil_in,imperv_runoff_in,perv_runoff_in,total_runoff_in,total_runoff_10_6_gal,peak_runoff_cfs,runoff_coeff
1,6.24,0,0,3.04,0,0.79,0.79,4.08,43.86,0.127
2,6.24,0.57,0,2.6,0,1.06,1.06,7.4,82.39,0.156
3,6.24,0,0,2.07,0,0.96,0.96,8.26,81.97,0.155
4,2.7,0,0,0.89,0.96,0.39,1.35,0.21,5.38,0.502
5,2.7,0,0,0.61,1.49,0.35,1.84,0.05,1.62,0.682
6,2.7,0,0,0.89,0,0,0,0,0,0
7,2.7,0,0,1.18,0.35,0.34,0.69,0.94,17.61,0.256
8,2.7,0,0,1.08,1.17,0.13,1.3,0.13,4.05,0.48
9,2.7,0,0,1.23,0.05,0.69,0.74,0.41,4.42,0.273
10,2.7,0,0,0.8,1.16,0.31,1.47,0.48,13.91,0.544
11,2.7,0,0,0.67,1.37,0.12,1.49,1.36,40.87,0.553
12,2.7,0,0,0.96,0.72,0.5,1.23,0.21,4.74,0.454
13,2.7,0,0,0.86,1.48,0.04,1.52,0.2,7.07,0.562
14,2.7,0,0,0.72,1.29,0.36,1.65,0.25,7.44,0.612
15,2.7,0,0,0.98,1.31,0.06,1.37,0.16,5.68,0.506
16,2.7,0,0,1.06,0.74,0.42,1.16,0.19,4.36,0.43
17,2.7,0,0,0.81,1.19,0.35,1.54,0.24,6.75,0.57
18,2.7,0,0,0.88,1.03,0.35,1.38,0.25,6.92,0.512
19,2.7,0,0,1.23,1.07,0.05,1.13,0.21,7.31,0.418
20,2.7,0,0,1,0.15,0.46,0.61,1.24,13.37,0.226
21,2.7,0,0,0.74,1.59,0.08,1.67,0.08,2.82,0.618
22,2.7,0,0,0.76,1.43,0.22,1.66,0.11,3.41,0.614
23,2.7,0,0,0.62,1.43,0.22,1.65,0.73,23.26,0.611
24,6.24,0,0,1.61,0.05,0.98,1.03,3.83,37.36,0.165
25,2.7,0,0,1.04,0.67,0.47,1.14,0.31,6.77,0.423
26,2.7,0,0,0.84,1.3,0.22,1.52,0.2,6.04,0.564
27,2.7,0,0,1.25,0.34,0.51,0.84,0.37,5.65,0.312
28,2.7,0,0,0.85,1.11,0.29,1.4,1.22,35.64,0.519
29,2.7,0,0,0.71,1.59,0.13,1.71,0.07,2.2,0.634
30,2.7,0,0,1.49,0.72,0.1,0.82,0.05,1.7,0.303
31,2.7,0,0,0.82,1.18,0.38,1.55,0.22,6.32,0.575
32,2.7,0,0,0.98,1.36,0.03,1.39,0.18,6.19,0.516
33,2.7,0,0,1.04,1.3,0.04,1.34,0.27,9.55,0.494
34,2.7,0,0,0.82,1.36,0.16,1.52,0.42,13.58,0.564
35,2.7,0,0,0.92,1.44,0.04,1.48,0.15,5.29,0.547
36,2.7,0,0,0.94,1.43,0.05,1.47,0.09,3.29,0.545
37,2.7,0,0,0.9,1.4,0.07,1.47,0.22,7.52,0.543
38,6.24,0,0,1.42,0.01,1.29,1.3,10.05,91.58,0.208
39,2.7,0,0,1.05,1.08,0.26,1.33,0.17,5.01,0.493
40,2.7,0,0,0.68,1.63,0.13,1.77,0.09,2.84,0.654
41,2.7,0,0,1.55,0,0.42,0.42,0.27,3.36,0.156
42,2.7,0,0,0.89,1.26,0.15,1.42,0.97,31.54,0.524
43,2.7,0,0,1.38,0,0.69,0.69,0.21,2.73,0.257
44,2.7,0,0,0.85,1.4,0.14,1.54,0.24,7.75,0.571
45,2.7,0,0,0.47,1.86,0.08,1.94,0.25,8.63,0.719
46,2.7,0,0,0.63,1.49,0.28,1.77,0.23,7.21,0.657
47,2.7,0,0,0.53,1.83,0.08,1.9,0.19,6.68,0.705
48,2.7,0,0,0.93,0.99,0.39,1.38,0.38,10.18,0.51
49,2.7,0,0,0.78,1.51,0.1,1.62,0.32,10.79,0.599
50,2.7,0,0,1.39,0.04,0.65,0.69,0.14,1.69,0.255
51,2.7,0,0,0.68,1.61,0.1,1.71,0.21,7.08,0.633
52,2.7,0,0,1.01,1.21,0.14,1.36,0.44,14.2,0.502
53,2.7,0,0,1.17,0.81,0.38,1.19,0.11,2.58,0.44
54,2.7,0,0,0.67,1.61,0.1,1.71,0.32,11,0.634
55,2.7,0,0,1.02,1.07,0.25,1.32,0.38,10.95,0.489
56,2.7,0,0,1.33,0.18,0.56,0.74,0.29,3.89,0.275
57,2.7,0,0,0.87,1.4,0.13,1.53,0.3,9.8,0.565
58,2.7,0,0,0.97,1.24,0.13,1.37,0.68,22.24,0.507
59,2.7,0,0,0.72,1.45,0.22,1.67,0.25,7.86,0.617
60,2.7,0,0,0.53,1.65,0.25,1.9,0.15,4.97,0.702
61,2.7,0,0,0.89,1.22,0.24,1.46,0.35,10.51,0.54
62,2.7,0,0,0.83,1.39,0.1,1.49,0.76,25.82,0.552
63,2.7,0,0,0.68,1.43,0.19,1.63,1.28,41.25,0.602
64,2.7,0,0,1.25,0.27,0.69,0.95,0.11,2.18,0.353
65,2.7,0,0,0.68,1.36,0.32,1.68,0.32,9.77,0.622
66,2.7,0,0,1.01,0.76,0.44,1.21,0.23,5.46,0.446
67,2.7,0,0,0.53,1.6,0.24,1.84,0.43,13.9,0.68
68,2.7,0,0,0.56,1.4,0.41,1.81,0.35,10.65,0.67
69,2.7,0,0,0.85,1,0.51,1.51,0.16,4.38,0.558
70,2.7,0,0,0.93,0.98,0.44,1.42,0.21,5.5,0.525
71,2.7,0,0,0.57,1.55,0.24,1.78,0.18,5.73,0.66
72,2.7,0,0,0.83,1.46,0.36,1.46,0.32,8.87,0.539
73,2.7,0,0,1.32,0.93,0.3,0.93,0.34,8.41,0.344
74,2.7,0,0,0.99,1.13,0.03,1.16,1.15,34.84,0.43
75,2.7,0,0,0.81,1.2,0.25,1.45,0.59,17.83,0.538
76,2.7,0,0,1.09,0.54,0.32,0.86,0.82,19.05,0.317
77,2.7,0,0,1.4,0.65,0.05,0.69,0.22,7.33,0.257
78,2.7,0,0,1.12,1.06,0.03,1.08,0.86,28.56,0.402
79,2.7,0,0,0.91,1.31,0.04,1.35,0.59,20.56,0.5
80,2.7,0,0,1.36,0,0,0,0,0,0
81,2.7,0,0,0.95,1.27,0.05,1.32,0.24,8.31,0.49
82,2.7,0,0,0.89,1.26,0.26,1.52,0.06,1.82,0.561
83,2.7,0,0,1.17,0,0.89,0.89,0.14,2.12,0.329
84,2.7,0,0,1.33,0.11,0.54,0.66,0.35,3.94,0.244
85,2.7,0,0,1.39,0.01,0.73,0.75,0.13,2.17,0.276
86,2.7,0,0,1.4,0,0.75,0.75,0.12,2.13,0.279
87,2.7,0,0,1.39,0.01,0.74,0.74,0.1,1.68,0.276
88,2.7,0,0,0.84,1.14,0.35,1.48,0.23,6.34,0.55
89,2.7,0,0,0.7,1.32,0.28,1.61,0.93,28.35,0.595
90,2.7,0,0,1.42,0.1,0.49,0.58,0.33,3.9,0.216
91,2.7,0,0,0.71,1.21,0.39,1.6,0.54,15.54,0.591
92,2.7,0,0,1.44,0.01,0.65,0.66,0.15,1.97,0.246
93,2.7,0,0,1.61,0.61,0.01,0.62,0.2,7.11,0.23
94,6.24,0,0,2.41,0,1.84,1.84,4.16,40.33,0.295
95,2.7,0,0,0.95,0.85,0.44,1.29,0.26,6.35,0.477
96,2.7,0,0,1.34,0.23,0.52,0.75,0.29,4.11,0.278
97,2.7,0,0,0.8,1.2,0.34,1.54,0.21,5.96,0.571
