time_step,discharge_obs_cfs
0.00,0.49
0.25,0.45
0.50,0.49
0.75,0.45
1.00,0.45
1.25,0.45
1.50,0.45
1.75,0.60
2.00,0.85
2.25,13.20
2.50,7.77
2.75,4.39
3.00,4.99
3.25,5.65
3.50,4.69
3.75,4.40
4.00,3.86
4.25,8.14
4.50,29.10
4.75,34.40
5.00,27.70
5.25,23.10
5.50,21.20
5.75,17.80
6.00,16.20
6.25,14.10
6.50,21.20
6.75,20.60
7.00,20.00
7.25,21.80
7.50,22.50
7.75,20.60
8.00,19.50
8.25,22.50
8.50,28.40
8.75,29.80
9.00,28.40
9.25,28.40
9.50,26.30
9.75,29.10
10.00,28.40
10.25,27.00
10.50,28.40
10.75,31.30
11.00,32.00
11.25,35.30
11.50,33.50
11.75,38.20
12.00,32.00
12.25,51.10
12.50,77.50
12.75,134.00
13.00,179.00
13.25,163.00
13.50,128.00
13.75,136.00
14.00,104.00
14.25,86.80
14.50,96.60
14.75,102.00
15.00,102.00
15.25,124.00
15.50,158.00
15.75,151.00
16.00,111.00
16.25,98.40
16.50,80.60
16.75,90.00
17.00,80.60
17.25,74.60
17.50,63.50
17.75,62.20
18.00,60.90
18.25,57.10
18.50,55.90
18.75,52.30
19.00,52.30
19.25,47.70
19.50,46.60
19.75,43.40
20.00,43.40
20.25,42.30
20.50,41.30
20.75,42.30
21.00,39.30
21.25,39.30
21.50,39.30
