"time_step","discharge_obs_cfs","simulated_flow_cfs"
0,2.13,0
0.25,2.06,0
0.5,2.06,0
0.75,2.13,0
1,2.2,0
1.25,2.27,0
1.5,2.2,0
1.75,2.27,0
2,2.75,0
2.25,3.11,0
2.5,2.74,0
2.75,2.83,0
3,2.74,0
3.25,19.5,0
3.5,15.7,0
3.75,11.9,0
4,12.3,0
4.25,11.3,0
4.5,11,0
4.75,9.45,0
5,21.7,0
5.25,85.4,26.44
5.5,154,115.97
5.75,283,199.26
6,242,166.72
6.25,215,102.55
6.5,190,119.97
6.75,164,101.29
7,161,133.26
7.25,131,117.63
7.5,134,107.97
7.75,133,101.65
8,122,95.9
8.25,119,90.68
8.5,104,85.89
8.75,112,81.71
9,112,107.95
9.25,105,125.99
9.5,115,100.65
9.75,127,88.94
10,119,117.19
10.25,120,141.79
10.5,109,120.11
10.75,158,110.39
11,164,181.03
