"subcatchment","Curve_Number","Slope","percent_imp","Area_sqft","total_precip_in","total_runon_in","total_evap_in","total_infil_in","imperv_runoff_in","perv_runoff_in","total_runoff_in","total_runoff_10_6_gal","peak_runoff_cfs","runoff_coeff","runoff_normalized","Urbanization_level"
5,59.94459387,4.973907902,59.22528719,42008.07262,2.7,0,0,0.61,1.49,0.35,1.84,0.05,1.62,0.682,4.3801105007707e-05,"Very urbanized (More than 45 % Impervious)"
21,41.71681727,2.133592209,64.38962281,78832.74443,2.7,0,0,0.74,1.59,0.08,1.67,0.08,2.82,0.618,2.11840905968063e-05,"Very urbanized (More than 45 % Impervious)"
29,46.60531394,4.303892997,63.75089696,62214.51584,2.7,0,0,0.71,1.59,0.13,1.71,0.07,2.2,0.634,2.74855470128175e-05,"Very urbanized (More than 45 % Impervious)"
40,46.96257513,7.774445572,65.26444349,78272.63391,2.7,0,0,0.68,1.63,0.13,1.77,0.09,2.84,0.654,2.26132673909402e-05,"Very urbanized (More than 45 % Impervious)"
45,46.68191561,10.83737171,75.81187507,205273.4788,2.7,0,0,0.47,1.86,0.08,1.94,0.25,8.63,0.719,9.45080685211245e-06,"Very urbanized (More than 45 % Impervious)"
46,57.85258332,9.180995339,59.97948939,209977.2853,2.7,0,0,0.63,1.49,0.28,1.77,0.23,7.21,0.657,8.42948320562939e-06,"Very urbanized (More than 45 % Impervious)"
47,44.12992115,9.0178653,73.67874059,163180.851,2.7,0,0,0.53,1.83,0.08,1.9,0.19,6.68,0.705,1.16435230503854e-05,"Very urbanized (More than 45 % Impervious)"
51,45.48179018,3.205696179,65.70617625,194382.0056,2.7,0,0,0.68,1.61,0.1,1.71,0.21,7.08,0.633,8.79711059015845e-06,"Very urbanized (More than 45 % Impervious)"
54,46.30915744,11.98504143,65.90850376,301206.4425,2.7,0,0,0.67,1.61,0.1,1.71,0.32,11,0.634,5.67716940516636e-06,"Very urbanized (More than 45 % Impervious)"
59,53.7404835,9.355130215,58.61615029,241399.5504,2.7,0,0,0.72,1.45,0.22,1.67,0.25,7.86,0.617,6.91799134353317e-06,"Very urbanized (More than 45 % Impervious)"
60,58.26650801,10.20005574,66.27512006,130703.8635,2.7,0,0,0.53,1.65,0.25,1.9,0.15,4.97,0.702,1.4536678175546e-05,"Very urbanized (More than 45 % Impervious)"
65,59.79150393,12.2859432,54.98557019,309782.866,2.7,0,0,0.68,1.36,0.32,1.68,0.32,9.77,0.622,5.42315339028466e-06,"Very urbanized (More than 45 % Impervious)"
67,59.21464753,13.09451411,65.31544476,376961.0186,2.7,0,0,0.53,1.6,0.24,1.84,0.43,13.9,0.68,4.88114130960702e-06,"Very urbanized (More than 45 % Impervious)"
68,64.12347737,16.77800082,56.40239857,306366.8551,2.7,0,0,0.56,1.4,0.41,1.81,0.35,10.65,0.67,5.90794979897289e-06,"Very urbanized (More than 45 % Impervious)"
71,58.22480265,1.229756545,63.33945328,161251.173,2.7,0,0,0.57,1.55,0.24,1.78,0.18,5.73,0.66,1.10386793899478e-05,"Very urbanized (More than 45 % Impervious)"
