"","subcatchment","Curve_Number","Slope","percent_imp","Area_sqft","total_precip_in","total_runon_in","total_evap_in","total_infil_in","imperv_runoff_in","perv_runoff_in","total_runoff_in","total_runoff_10_6_gal","peak_runoff_cfs","runoff_coeff","runoff_normalized","Urbanization_level"
"1",1,50.27226696,28.12488788,0,8242850.541,5.5,0,0,3.78,0,0.57,0.57,2.93,16.47,0.104,6.91508352802002e-08,"Natural (less than 15 % Impervious)"
"2",2,55.31557618,36.40935203,0.000927115,11211635.15,5.5,0.42,0,3.6,0,0.76,0.76,5.29,27.8,0.128,6.77867224389656e-08,"Natural (less than 15 % Impervious)"
"3",3,61.06273397,33.94600956,0,13733857.72,5.5,0,0,3.38,0,0.63,0.63,5.38,28.98,0.114,4.58720348531469e-08,"Natural (less than 15 % Impervious)"
"4",4,60.82817617,20.19128626,38.51763637,244206.8928,5.5,0,0,2.08,2.06,1.08,3.14,0.48,4.99,0.572,1.28579499292495e-05,"Urbanized (Between 15 and 45 % Impervious)"
"5",5,59.94459387,4.973907902,59.22528719,42008.07262,5.5,0,0,1.4,3.17,0.74,3.91,0.1,1.29,0.71,9.30773481413773e-05,"Very urbanized (More than 45 % Impervious)"
"6",6,39.1463619,0,58.53240322,233227.5612,5.5,0,0,1.73,0,0,0,0,0,0,0,"Very urbanized (More than 45 % Impervious)"
"7",7,62.46734994,24.37085007,14.10178763,2174275.191,5.5,0,0,2.86,0.75,1.3,2.06,2.79,18.64,0.374,9.4744216763682e-07,"Natural (less than 15 % Impervious)"
"8",8,43.75794125,3.156830956,46.87794523,155360.1987,5.5,0,0,2.13,2.51,0.63,3.14,0.3,3.93,0.571,2.0211096704783e-05,"Very urbanized (More than 45 % Impervious)"
"9",9,64.92769033,34.31882952,1.783702012,883743.9176,5.5,0,0,3.17,0.09,1.81,1.9,1.05,8.56,0.346,2.14994407560944e-06,"Natural (less than 15 % Impervious)"
"10",10,59.50282392,13.03499906,46.82731603,527259.4977,5.5,0,0,1.83,2.51,0.9,3.41,1.12,11.62,0.62,6.46740365014766e-06,"Very urbanized (More than 45 % Impervious)"
"11",11,55.59506349,0.94758568,60.17684089,1461121.289,5.5,0,0,1.43,3.19,0.56,3.75,3.41,27.47,0.681,2.56652204593263e-06,"Very urbanized (More than 45 % Impervious)"
"12",12,62.92827145,18.41688055,28.88469268,277490.0101,5.5,0,0,2.35,1.55,1.3,2.85,0.49,4.89,0.518,1.02706400096095e-05,"Urbanized (Between 15 and 45 % Impervious)"
"13",13,37.24906666,2.801558317,60.72206092,210147.7983,5.5,0,0,1.66,3.24,0.38,3.62,0.47,5.38,0.658,1.72259715746924e-05,"Very urbanized (More than 45 % Impervious)"
"14",14,59.93119871,10.06220211,51.97367076,244581.3896,5.5,0,0,1.64,2.78,0.85,3.64,0.55,6.29,0.661,1.48825714252136e-05,"Very urbanized (More than 45 % Impervious)"
"15",15,40.48688745,0.780762234,53.68409461,191335.255,5.5,0,0,1.91,2.86,0.49,3.35,0.4,4.49,0.609,1.75085349534773e-05,"Very urbanized (More than 45 % Impervious)"
"16",16,59.46640066,25.49224019,29.72936196,255938.12,5.5,0,0,2.42,1.6,1.2,2.79,0.45,4.48,0.508,1.09010724936168e-05,"Urbanized (Between 15 and 45 % Impervious)"
"17",17,58.35095289,10.78205321,48.09130146,245110.0632,5.5,0,0,1.81,2.58,0.89,3.46,0.53,5.91,0.629,1.41161074940313e-05,"Very urbanized (More than 45 % Impervious)"
"18",18,59.57713747,17.3274096,41.48075899,294312.6694,5.5,0,0,2.01,2.22,1,3.22,0.59,6.13,0.586,1.09407454547045e-05,"Urbanized (Between 15 and 45 % Impervious)"
"19",19,37.69305324,2.445729247,43.40998739,303386.9708,5.5,0,0,2.38,2.32,0.55,2.87,0.54,6.28,0.522,9.45986570363291e-06,"Urbanized (Between 15 and 45 % Impervious)"
"20",20,68.12691091,28.73820831,5.926748961,3260351.436,5.5,0,0,2.91,0.32,1.47,1.79,3.63,21.31,0.325,5.49020568836617e-07,"Natural (less than 15 % Impervious)"
"21",21,41.71681727,2.133592209,64.38962281,78832.74443,5.5,0,0,1.45,3.44,0.4,3.84,0.19,2.28,0.699,4.87107232884649e-05,"Very urbanized (More than 45 % Impervious)"
