time_step,simulated_flow_cfs
0.00,0.00
0.25,0.00
0.50,0.00
0.75,0.00
1.00,0.00
1.25,0.00
1.50,0.00
1.75,0.00
2.00,0.00
2.25,18.24
2.50,3.30
2.75,1.03
3.00,0.49
3.25,0.28
3.50,0.19
3.75,0.14
4.00,0.11
4.25,0.09
4.50,54.96
4.75,31.16
5.00,99.08
5.25,7.24
5.50,36.75
5.75,46.37
6.00,6.13
6.25,1.56
6.50,0.68
6.75,0.39
7.00,0.26
7.25,0.18
7.50,0.16
7.75,0.12
8.00,0.11
8.25,0.10
8.50,45.63
8.75,11.19
9.00,7.19
9.25,5.68
9.50,4.78
9.75,4.14
10.00,50.37
10.25,11.79
10.50,4.86
10.75,48.70
11.00,63.62
11.25,69.93
11.50,15.25
11.75,4.78
12.00,1.78
12.25,52.73
12.50,78.18
12.75,142.10
13.00,226.31
13.25,142.21
13.50,53.62
13.75,27.11
14.00,16.22
14.25,10.91
14.50,7.76
14.75,5.48
15.00,61.19
15.25,101.61
15.50,121.07
15.75,131.12
16.00,58.10
16.25,37.21
16.50,29.19
16.75,25.56
17.00,23.11
17.25,21.16
17.50,19.53
17.75,18.17
18.00,17.01
18.25,15.91
18.50,14.96
18.75,14.12
19.00,13.36
19.25,12.67
19.50,12.03
19.75,11.42
20.00,10.87
20.25,10.37
20.50,9.89
20.75,9.46
21.00,9.04
21.25,8.65
21.50,8.32
