"subcatchment","Curve_Number","Slope","percent_imp","Area_sqft","total_precip_in","total_runon_in","total_evap_in","total_infil_in","imperv_runoff_in","perv_runoff_in","total_runoff_in","total_runoff_10_6_gal","peak_runoff_cfs","runoff_coeff","runoff_normalized","Urbanization_level"
2,55.31557618,36.40935203,0.000927115,11211635.15,5.5,0.42,0,3.6,0,0.76,0.76,5.29,27.8,0.128,6.77867224389656e-08,"Natural (less than 15 % Impervious)"
3,61.06273397,33.94600956,0,13733857.72,5.5,0,0,3.38,0,0.63,0.63,5.38,28.98,0.114,4.58720348531469e-08,"Natural (less than 15 % Impervious)"
7,62.46734994,24.37085007,14.10178763,2174275.191,5.5,0,0,2.86,0.75,1.3,2.06,2.79,18.64,0.374,9.4744216763682e-07,"Natural (less than 15 % Impervious)"
11,55.59506349,0.94758568,60.17684089,1461121.289,5.5,0,0,1.43,3.19,0.56,3.75,3.41,27.47,0.681,2.56652204593263e-06,"Very urbanized (More than 45 % Impervious)"
20,68.12691091,28.73820831,5.926748961,3260351.436,5.5,0,0,2.91,0.32,1.47,1.79,3.63,21.31,0.325,5.49020568836617e-07,"Natural (less than 15 % Impervious)"
28,58.22900794,9.695153025,45.64873898,1400354.976,5.5,0,0,1.9,2.43,0.9,3.33,2.91,29.91,0.606,2.3779684844709e-06,"Very urbanized (More than 45 % Impervious)"
38,67.5692662,29.49279649,0.093206635,12415473.15,5.5,0,0,3.11,0,0.79,0.79,6.13,32.54,0.144,6.36302773527403e-08,"Natural (less than 15 % Impervious)"
42,49.94637945,12.77419164,52.07524372,1097148.995,5.5,0,0,1.82,2.78,0.66,3.43,2.35,25.49,0.624,3.12628459364355e-06,"Very urbanized (More than 45 % Impervious)"
58,46.82200738,13.47371249,50.48965135,794612.2964,5.5,0,0,1.93,2.7,0.63,3.33,1.65,19.26,0.605,4.19072296651663e-06,"Very urbanized (More than 45 % Impervious)"
62,47.1124157,4.969306881,57.62114314,816823.6955,5.5,0,0,1.65,3.07,0.54,3.6,1.83,19.63,0.655,4.4073158257197e-06,"Very urbanized (More than 45 % Impervious)"
63,55.59826107,11.35084752,59.59508223,1260905.984,5.5,0,0,1.45,3.17,0.64,3.81,2.99,31.09,0.692,3.02163686138871e-06,"Very urbanized (More than 45 % Impervious)"
74,45.63212165,0.513034194,49.9518791,1593473.115,5.5,0,0,1.98,2.64,0.45,3.1,3.08,23.39,0.563,1.94543602324913e-06,"Very urbanized (More than 45 % Impervious)"
76,61.94713271,12.66893273,21.94615359,1533842.77,5.5,0,0,2.61,1.17,1.2,2.37,2.27,17.42,0.431,1.54513881497776e-06,"Urbanized (Between 15 and 45 % Impervious)"
78,42.51235661,0.662519556,45.86953124,1272102.338,5.5,0,0,2.19,2.43,0.48,2.91,2.31,18.4,0.529,2.28755180544287e-06,"Very urbanized (More than 45 % Impervious)"
89,58.82176935,12.26721668,54.37988009,929708.7833,5.5,0,0,1.58,2.9,0.78,3.68,2.13,23,0.669,3.95822871215419e-06,"Very urbanized (More than 45 % Impervious)"
