"subcatchment","Curve_Number","Slope","percent_imp","Area_sqft","total_precip_in","total_runon_in","total_evap_in","total_infil_in","imperv_runoff_in","perv_runoff_in","total_runoff_in","total_runoff_10_6_gal","peak_runoff_cfs","runoff_coeff","runoff_normalized","Urbanization_level"
1,50.27226696,28.12488788,0,8242850.541,6.24,0,0,3.04,0,0.79,0.79,4.08,43.86,0.127,9.58406313532599e-08,"Natural (less than 15 % Impervious)"
2,55.31557618,36.40935203,0.000927115,11211635.15,6.24,0.57,0,2.6,0,1.06,1.06,7.4,82.39,0.156,9.45446391911888e-08,"Natural (less than 15 % Impervious)"
3,61.06273397,33.94600956,0,13733857.72,6.24,0,0,2.07,0,0.96,0.96,8.26,81.97,0.155,6.99002435857476e-08,"Natural (less than 15 % Impervious)"
11,55.59506349,0.94758568,60.17684089,1461121.289,2.7,0,0,0.67,1.37,0.12,1.49,1.36,40.87,0.553,1.0197647595839e-06,"Very urbanized (More than 45 % Impervious)"
23,58.75297863,2.091764046,60.15848873,712111.0521,2.7,0,0,0.62,1.43,0.22,1.65,0.73,23.26,0.611,2.31705433462124e-06,"Very urbanized (More than 45 % Impervious)"
24,65.60653952,29.28704431,0.81502431,5956372.531,6.24,0,0,1.61,0.05,0.98,1.03,3.83,37.36,0.165,1.72924039696872e-07,"Natural (less than 15 % Impervious)"
28,58.22900794,9.695153025,45.64873898,1400354.976,2.7,0,0,0.85,1.11,0.29,1.4,1.22,35.64,0.519,9.99746509987765e-07,"Very urbanized (More than 45 % Impervious)"
38,67.5692662,29.49279649,0.093206635,12415473.15,6.24,0,0,1.42,0.01,1.29,1.3,10.05,91.58,0.208,1.04708051339952e-07,"Natural (less than 15 % Impervious)"
42,49.94637945,12.77419164,52.07524372,1097148.995,2.7,0,0,0.89,1.26,0.15,1.42,0.97,31.54,0.524,1.29426359270374e-06,"Very urbanized (More than 45 % Impervious)"
62,47.1124157,4.969306881,57.62114314,816823.6955,2.7,0,0,0.83,1.39,0.1,1.49,0.76,25.82,0.552,1.82413905008954e-06,"Very urbanized (More than 45 % Impervious)"
63,55.59826107,11.35084752,59.59508223,1260905.984,2.7,0,0,0.68,1.43,0.19,1.63,1.28,41.25,0.602,1.29272128190645e-06,"Very urbanized (More than 45 % Impervious)"
74,45.63212165,0.513034194,49.9518791,1593473.115,2.7,0,0,0.99,1.13,0.03,1.16,1.15,34.84,0.43,7.27969608699674e-07,"Very urbanized (More than 45 % Impervious)"
78,42.51235661,0.662519556,45.86953124,1272102.338,2.7,0,0,1.12,1.06,0.03,1.08,0.86,28.56,0.402,8.48988298927252e-07,"Very urbanized (More than 45 % Impervious)"
89,58.82176935,12.26721668,54.37988009,929708.7833,2.7,0,0,0.7,1.32,0.28,1.61,0.93,28.35,0.595,1.73172506156746e-06,"Very urbanized (More than 45 % Impervious)"
94,57.41689744,36.32299579,0,3624922.752,6.24,0,0,2.41,0,1.84,1.84,4.16,40.33,0.295,5.07597023684106e-07,"Natural (less than 15 % Impervious)"
