STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/1/1942,,,,,0.2,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/2/1942,,,,,0.32,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/3/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/4/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/5/1942,,,,,0.88,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/6/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/7/1942,,,,,0.28,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/8/1942,,,,,0.38,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/9/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/10/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/11/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/12/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/13/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/14/1942,,,,,0.08,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/15/1942,,,,,0.64,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/16/1942,,,,,0.12,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/17/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/18/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/19/1942,,,,,0.02,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/20/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/21/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/22/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/23/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/24/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/25/1942,,,,,0.14,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/26/1942,,,,,0.04,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/27/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/28/1942,,,,,0.06,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/29/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/30/1942,,,,,0.08,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,1/31/1942,,,,,0.18,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/1/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/2/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/3/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/4/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/5/1942,,,,,4.98,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/6/1942,,,,,6.14,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/7/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/8/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/9/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/10/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/11/1942,,,,,0.5,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/12/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/13/1942,,,,,0.64,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/14/1942,,,,,0.04,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/15/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/16/1942,,,,,0.04,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/17/1942,,,,,0.46,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/18/1942,,,,,0.16,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/19/1942,,,,,0.76,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/20/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/21/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/22/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/23/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/24/1942,,,,,0.04,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/25/1942,,,,,0.86,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/26/1942,,,,,1.48,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/27/1942,,,,,0.06,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,2/28/1942,,,,,0.16,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/1/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/2/1942,,,,,0.02,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/3/1942,,,,,0.1,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/4/1942,,,,,0.4,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/5/1942,,,,,0.02,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/6/1942,,,,,0.1,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/7/1942,,,,,2.32,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/8/1942,,,,,6.66,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/9/1942,,,,,3.62,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/10/1942,,,,,2.88,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/11/1942,,,,,5.98,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/14/1942,,,,,0.6,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/15/1942,,,,,2.18,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/16/1942,,,,,1.8,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/17/1942,,,,,0.28,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/18/1942,,,,,1.42,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/19/1942,,,,,5.76,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/20/1942,,,,,1,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/30/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,3/31/1942,,,,,0,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,4/3/1942,,,,,2.4,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,4/10/1942,,,,,2.4,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,4/24/1942,,,,,1.4,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/1/1942,,,,,0.05,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/2/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/3/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/4/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/5/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/6/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/7/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/8/1942,,,,,1.6,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/9/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/10/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/11/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/12/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/13/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/14/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/15/1942,,,,,0.4,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/16/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/17/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/18/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/19/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/20/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/21/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/22/1942,,,,,0.2,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/23/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/24/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/25/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/26/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/27/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/28/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/29/1942,,,,,2,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/30/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,5/31/1942,,,,,1,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,6/5/1942,,,,,1,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,6/12/1942,,,,,4.4,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,6/19/1942,,,,,3.2,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,6/25/1942,,,,,0.8,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,6/30/1942,,,,,1.92,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/1/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/2/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/3/1942,,,,,2.88,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/4/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/5/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/6/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/7/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/8/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/9/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/10/1942,,,,,5.2,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/11/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/12/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/13/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/14/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/15/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/16/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/17/1942,,,,,2.8,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/18/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/19/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/20/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/21/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/22/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/23/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/24/1942,,,,,2.2,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/25/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/26/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/27/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/28/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/29/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/30/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,7/31/1942,,,,,0.8,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/1/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/2/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/3/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/4/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/5/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/6/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/7/1942,,,,,4.6,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/8/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/9/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/10/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/11/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/12/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/13/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/14/1942,,,,,1.4,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/15/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/16/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/17/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/18/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/19/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/20/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/21/1942,,,,,2.2,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/22/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/23/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/24/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/25/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/26/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/27/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/28/1942,,,,,2.6,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/29/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/30/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,8/31/1942,,,,,1.09,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,9/4/1942,,,,,1.71,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,9/11/1942,,,,,0.6,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,9/18/1942,,,,,4.2,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,9/25/1942,,,,,0.8,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,10/1/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,10/2/1942,,,,,1.69,",,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,10/3/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,10/4/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,10/5/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,10/6/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,10/7/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,10/8/1942,,,,,0,"P,,6,"
USC00517664,"PALOLO VALLEY 718, HI US",21.32278,-157.77194,287.4,10/9/1942,,,,,2.8,",,6,"
