STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TIME,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080101,0:15,4.88, , ,HT,0,g, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080102,8:15,4.89, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080102,12:45,4.81, , ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080102,13:00,999.99,{, ,HT,999.99,{, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080102,13:45,999.99,}, ,HT,999.99,}, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080102,14:15,0.03,N, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080102,15:15,0.03, , ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080104,4:00,0.04, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080107,2:00,0.04, , ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080120,14:00,0.02,V, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080123,7:45,0.03, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080123,8:45,0.04, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080124,15:30,0.03,V, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080128,15:15,0.04, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080128,23:45,0.05, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080130,1:30,0.06, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080130,3:30,0.07, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080130,4:45,0.08, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080131,5:00,0.08, , ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080201,0:15,0.08, , ,HT,0,g, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080201,1:15,-9999, , , ,999.99,{, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080201,11:30,0.08, , ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080201,11:45,999.99,{, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080201,13:30,999.99,}, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080201,14:15,0.01,N, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080207,14:30,1.92, , ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080207,14:45,999.99,{, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080208,14:00,999.99,}, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080208,14:15,0.01, , ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080301,0:15,0.01, , ,HT,0,g, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080301,7:45,0.01, , ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080316,10:15,0,S, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080401,0:15,0,g, ,HT,0,g, ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080404,6:45,0.01, , ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080405,9:45,0.01, , ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080405,10:45,0.01,N, ,HT,-9999, , , 
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080406,2:30,0.02, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080406,3:30,0.03, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080406,4:45,0.04, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080406,15:45,0.05, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080409,21:15,0.06, , ,HT,0.1, , ,HT
COOP:511308,HAWAII KAI G.C. 724.19 HI US,6.4,21.29917,-157.66472,20080420,16:45,0.02, , ,HT,-9999, , , 
