subcatchment,total_precip_in,total_runon_in,total_evap_in,total_infil_in,imperv_runoff_in,perv_runoff_in,total_runoff_in,total_runoff_10_6_gal,peak_runoff_cfs,runoff_coeff
1,5.5,0,0,3.78,0,0.57,0.57,2.93,16.47,0.104
2,5.5,0.42,0,3.6,0,0.76,0.76,5.29,27.8,0.128
3,5.5,0,0,3.38,0,0.63,0.63,5.38,28.98,0.114
4,5.5,0,0,2.08,2.06,1.08,3.14,0.48,4.99,0.572
5,5.5,0,0,1.4,3.17,0.74,3.91,0.1,1.29,0.71
6,5.5,0,0,1.73,0,0,0,0,0,0
7,5.5,0,0,2.86,0.75,1.3,2.06,2.79,18.64,0.374
8,5.5,0,0,2.13,2.51,0.63,3.14,0.3,3.93,0.571
9,5.5,0,0,3.17,0.09,1.81,1.9,1.05,8.56,0.346
10,5.5,0,0,1.83,2.51,0.9,3.41,1.12,11.62,0.62
11,5.5,0,0,1.43,3.19,0.56,3.75,3.41,27.47,0.681
12,5.5,0,0,2.35,1.55,1.3,2.85,0.49,4.89,0.518
13,5.5,0,0,1.66,3.24,0.38,3.62,0.47,5.38,0.658
14,5.5,0,0,1.64,2.78,0.85,3.64,0.55,6.29,0.661
15,5.5,0,0,1.91,2.86,0.49,3.35,0.4,4.49,0.609
16,5.5,0,0,2.42,1.6,1.2,2.79,0.45,4.48,0.508
17,5.5,0,0,1.81,2.58,0.89,3.46,0.53,5.91,0.629
18,5.5,0,0,2.01,2.22,1,3.22,0.59,6.13,0.586
19,5.5,0,0,2.38,2.32,0.55,2.87,0.54,6.28,0.522
20,5.5,0,0,2.91,0.32,1.47,1.79,3.63,21.31,0.325
21,5.5,0,0,1.45,3.44,0.4,3.84,0.19,2.28,0.699
22,5.5,0,0,1.58,3.08,0.64,3.72,0.25,3.01,0.676
23,5.5,0,0,1.38,3.2,0.67,3.86,1.71,17.19,0.702
24,5.5,0,0,3.17,0.04,0.61,0.66,2.45,12.46,0.12
25,5.5,0,0,2.46,1.43,1.3,2.73,0.74,7.24,0.496
26,5.5,0,0,1.75,2.82,0.7,3.52,0.45,5,0.64
27,5.5,0,0,2.93,0.72,1.49,2.21,0.97,8.5,0.402
28,5.5,0,0,1.9,2.43,0.9,3.33,2.91,29.91,0.606
29,5.5,0,0,1.42,3.42,0.47,3.88,0.15,1.93,0.706
30,5.5,0,0,2.92,1.55,0.76,2.31,0.15,1.78,0.42
31,5.5,0,0,1.84,2.52,0.92,3.44,0.49,5.59,0.625
32,5.5,0,0,1.9,2.96,0.42,3.37,0.42,4.83,0.614
33,5.5,0,0,2.01,2.82,0.44,3.26,0.66,7.61,0.593
34,5.5,0,0,1.67,2.98,0.62,3.6,0.99,11.08,0.654
35,5.5,0,0,1.78,3.11,0.4,3.5,0.36,4.24,0.637
36,5.5,0,0,1.81,3.07,0.4,3.48,0.22,2.67,0.632
37,5.5,0,0,1.75,3.05,0.47,3.52,0.52,6.03,0.64
38,5.5,0,0,3.11,0,0.79,0.79,6.13,32.54,0.144
39,5.5,0,0,2.15,2.3,0.82,3.12,0.41,5.15,0.568
40,5.5,0,0,1.35,3.5,0.46,3.96,0.19,2.55,0.72
41,5.5,0,0,3.47,0,1.56,1.56,1,7.09,0.284
42,5.5,0,0,1.82,2.78,0.66,3.43,2.35,25.49,0.624
43,5.5,0,0,3.32,0.01,1.81,1.81,0.56,5.56,0.33
44,5.5,0,0,1.7,3.03,0.56,3.59,0.55,6.98,0.653
45,5.5,0,0,0.95,4.05,0.31,4.36,0.56,6.69,0.793
46,5.5,0,0,1.4,3.21,0.68,3.89,0.51,5.82,0.708
47,5.5,0,0,1.05,3.94,0.32,4.26,0.43,5.3,0.775
48,5.5,0,0,2.08,2.14,1.03,3.17,0.88,9.46,0.576
49,5.5,0,0,1.53,3.28,0.47,3.75,0.74,9.11,0.682
50,5.5,0,0,3.3,0.08,1.76,1.83,0.36,3.61,0.334
51,5.5,0,0,1.36,3.51,0.43,3.94,0.48,5.77,0.716
52,5.5,0,0,2,2.63,0.64,3.27,1.06,13.17,0.594
53,5.5,0,0,2.48,1.72,1.06,2.78,0.25,3.28,0.505
54,5.5,0,0,1.34,3.52,0.43,3.95,0.74,8.83,0.718
55,5.5,0,0,2.11,2.32,0.83,3.15,0.89,9.7,0.572
56,5.5,0,0,3.13,0.39,1.61,2,0.79,7.16,0.364
57,5.5,0,0,1.72,3.02,0.55,3.57,0.7,8.78,0.648
58,5.5,0,0,1.93,2.7,0.63,3.33,1.65,19.26,0.605
59,5.5,0,0,1.51,3.14,0.64,3.77,0.57,6.33,0.686
60,5.5,0,0,1.18,3.55,0.58,4.13,0.34,3.85,0.751
61,5.5,0,0,1.86,2.64,0.77,3.4,0.81,8.85,0.619
62,5.5,0,0,1.65,3.07,0.54,3.6,1.83,19.63,0.655
63,5.5,0,0,1.45,3.17,0.64,3.81,2.99,31.09,0.692
64,5.5,0,0,2.99,0.57,1.64,2.21,0.25,2.67,0.401
65,5.5,0,0,1.54,2.94,0.79,3.73,0.72,8,0.679
66,5.5,0,0,2.36,1.63,1.22,2.85,0.55,5.63,0.518
67,5.5,0,0,1.2,3.49,0.6,4.09,0.96,10.62,0.743
68,5.5,0,0,1.42,3.02,0.85,3.86,0.74,8.44,0.703
69,5.5,0,0,2.02,2.13,1.12,3.25,0.35,4.01,0.591
70,5.5,0,0,2.11,2.09,1.07,3.16,0.46,5.33,0.574
71,5.5,0,0,1.28,3.38,0.62,4,0.4,4.42,0.728
72,5.5,0,0,1.89,3.36,0.95,3.36,0.74,7.77,0.611
73,5.5,0,0,2.75,2.47,1.1,2.47,0.91,8.48,0.448
74,5.5,0,0,1.98,2.64,0.45,3.1,3.08,23.39,0.563
75,5.5,0,0,1.77,2.66,0.81,3.47,1.4,14.26,0.63
76,5.5,0,0,2.61,1.17,1.2,2.37,2.27,17.42,0.431
77,5.5,0,0,2.8,1.47,0.63,2.1,0.68,5,0.382
78,5.5,0,0,2.19,2.43,0.48,2.91,2.31,18.4,0.529
79,5.5,0,0,1.79,2.96,0.46,3.42,1.5,14.03,0.622
80,5.5,0,0,2.66,0,0,0,0,0,0
81,5.5,0,0,1.87,2.85,0.5,3.35,0.6,5.9,0.609
82,5.5,0,0,1.85,2.69,0.75,3.44,0.14,1.76,0.625
83,5.5,0,0,3.17,0,1.97,1.97,0.31,3.09,0.358
84,5.5,0,0,3.19,0.24,1.64,1.89,1.01,8.1,0.343
85,5.5,0,0,3.33,0.03,1.81,1.84,0.33,3.75,0.335
86,5.5,0,0,3.34,0,1.83,1.83,0.3,3.48,0.333
87,5.5,0,0,3.33,0.02,1.82,1.84,0.25,2.88,0.334
88,5.5,0,0,1.89,2.43,0.94,3.37,0.52,5.65,0.613
89,5.5,0,0,1.58,2.9,0.78,3.68,2.13,23,0.669
90,5.5,0,0,3.27,0.2,1.59,1.8,1.03,8.19,0.327
91,5.5,0,0,1.7,2.63,0.93,3.56,1.21,13.17,0.647
92,5.5,0,0,3.36,0.02,1.76,1.78,0.41,4.25,0.324
93,5.5,0,0,3.11,1.38,0.48,1.86,0.6,4.77,0.338
94,5.5,0,0,3.52,0,1.16,1.16,2.62,16.17,0.21
95,5.5,0,0,2.23,1.83,1.17,2.99,0.6,6.28,0.544
96,5.5,0,0,3.1,0.49,1.55,2.04,0.8,7.32,0.371
97,5.5,0,0,1.8,2.57,0.9,3.47,0.47,5.12,0.631
