"subcatchment","curve_number","Blank","DryTime"
1,50.27226696,0.5,7
2,55.31557618,0.5,7
3,61.06273397,0.5,7
4,60.82817617,0.5,7
5,59.94459387,0.5,7
6,39.1463619,0.5,7
7,62.46734994,0.5,7
8,43.75794125,0.5,7
9,64.92769033,0.5,7
10,59.50282392,0.5,7
11,55.59506349,0.5,7
12,62.92827145,0.5,7
13,37.24906666,0.5,7
14,59.93119871,0.5,7
15,40.48688745,0.5,7
16,59.46640066,0.5,7
17,58.35095289,0.5,7
18,59.57713747,0.5,7
19,37.69305324,0.5,7
20,68.12691091,0.5,7
21,41.71681727,0.5,7
22,52.60334735,0.5,7
23,58.75297863,0.5,7
24,65.60653952,0.5,7
25,61.670282,0.5,7
26,52.48623249,0.5,7
27,61.07520389,0.5,7
28,58.22900794,0.5,7
29,46.60531394,0.5,7
30,41.09880832,0.5,7
31,58.70699023,0.5,7
32,36.36264424,0.5,7
33,36.43171719,0.5,7
34,50.45073099,0.5,7
35,36.38428664,0.5,7
36,36.48504283,0.5,7
37,41.21750926,0.5,7
38,67.5692662,0.5,7
39,50.75785821,0.5,7
40,46.96257513,0.5,7
41,58.69059822,0.5,7
42,49.94637945,0.5,7
43,62.43704344,0.5,7
44,46.81876804,0.5,7
45,46.68191561,0.5,7
46,57.85258332,0.5,7
47,44.12992115,0.5,7
48,58.75910367,0.5,7
49,44.95489459,0.5,7
50,61.80036144,0.5,7
51,45.48179018,0.5,7
52,46.04249877,0.5,7
53,53.98840721,0.5,7
54,46.30915744,0.5,7
55,52.00221752,0.5,7
56,61.26885146,0.5,7
57,45.77823338,0.5,7
58,46.82200738,0.5,7
59,53.7404835,0.5,7
60,58.26650801,0.5,7
61,53.29546084,0.5,7
62,47.1124157,0.5,7
63,55.59826107,0.5,7
64,62,0.5,7
65,59.79150393,0.5,7
66,60.8477603,0.5,7
67,59.21464753,0.5,7
68,64.12347737,0.5,7
69,61.92278616,0.5,7
70,59.24870466,0.5,7
71,58.22480265,0.5,7
72,59.32936266,0.5,7
73,52.91550998,0.5,7
74,45.63212165,0.5,7
75,57.16000036,0.5,7
76,61.94713271,0.5,7
77,47.55275509,0.5,7
78,42.51235661,0.5,7
79,42.64163649,0.5,7
80,42.06349546,0.5,7
81,43.01181935,0.5,7
82,52.36590093,0.5,7
83,66.33976614,0.5,7
84,62.10954935,0.5,7
85,62,0.5,7
86,62,0.5,7
87,62,0.5,7
88,58.86032285,0.5,7
89,58.82176935,0.5,7
90,60.40234513,0.5,7
91,61.92057367,0.5,7
92,61.12416364,0.5,7
93,37.87740782,0.5,7
94,57.41689744,0.5,7
95,61.07100846,0.5,7
96,60.25322483,0.5,7
97,59.01045859,0.5,7
