OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,LINE_ID,TYPE,CALC_LENGT,DIAMETER,DRAINAGE_A,FLOW_RATE,LENGTH,WIDTH,HEIGHT,SLOPE,ROUGHNESS,VELOCITY,UPSTREAMNO,DOWNSTREAM,UPSTREAM_1,DOWNSTRE_1,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,ENABLED,TYPE_USE,SHAPESTLen,ORIG_FID,POINT_X,POINT_Y,RASTERVALU,OBJECTID_12,NODE_ID,TYPE_1,DRAINAGE_A_1,FLOW_RATE_1,POINT_X_1,POINT_Y_1,CATCHMENT_,TOP_ELEV,INVELEV1,INVELEV2,INVELEV3,INVELEV4,NET_ROLE,HIST_STRU_,FILENUM_1,INSTALL_DA_1,LIFE_CYCLE_1,OWNER_1,DATA_SOURC_1,CREATED_BY_1,LAST_EDITE_1,LAST_EDI_12,DA_SRC_STR,ENABLED_1,ANCILLARYR,OUTFALL,SWID,TYPE_USE_1,RASTERVALU_1
1,1,1,3002,16084,Reinforced Concrete Pipe,147.869210180000010,18, , ,147.869000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,147.869210181831562,1,-157.765163756999982,21.287896363000073,721.7406616,2648,20737,Man Hole, , ,-157.765163757401439,21.287896362513948, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HMB 35,HMB 35-20737, ,721.7406006
2,1,2,3002,16084,Reinforced Concrete Pipe,147.869210180000010,18, , ,147.869000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,147.869210181831562,1,-157.765005748999982,21.287517189000027,698.4336548,18959,20740,Man Hole, , ,-157.765005749388365,21.287517189482628, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HMB 35,HMB 35-20740, ,698.4336548
3,1,3,3003,16085,Reinforced Concrete Pipe,80.318772580000001,18, , ,80.319000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,80.318772576056247,2,-157.765005748999982,21.287517189000027,698.4336548,18959,20740,Man Hole, , ,-157.765005749388365,21.287517189482628, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HMB 35,HMB 35-20740, ,698.4336548
4,1,4,3003,16085,Reinforced Concrete Pipe,80.318772580000001,18, , ,80.319000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,80.318772576056247,2,-157.764788160999984,21.287431736000030,698.2453003,10580,20742,Catch Basin, , ,-157.764788161370348,21.287431736475526, , , , , , , ,HMB 35-33-10,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HMB 35,HMB 35-20742, ,698.2453003
5,1,5,3004,16087,Reinforced Concrete Pipe,239.601737070000013,54, , ,239.602000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,239.601737065750655,3,-157.762187986999976,21.287409406000052,542.5026245,29986,20743,Catch Basin, , ,-157.762187987155215,21.287409406473671, , , , , , , ,HMB 35-35,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HMB 35,HMB 35-20743, ,542.5026245
6,1,6,3004,16087,Reinforced Concrete Pipe,239.601737070000013,54, , ,239.602000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,239.601737065750655,3,-157.762297817999979,21.288060920000078,596.0506592,27272,20736,Catch Basin, , ,-157.762297818164313,21.288060919527595,10, , , , , , ,HMB 35-36,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HMB 35,HMB 35-20736, ,596.0506592
7,1,7,3005,16094,Reinforced Concrete Pipe,98.788188899999994,24, , ,98.789000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,98.788188902607928,4,-157.760688270999964,21.287334441000041,639.6026611,33692,20744,Man Hole, , ,-157.760688271031114,21.287334441467465, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HMB 35,HMB 35-20744, ,639.6027222
8,1,8,3005,16094,Reinforced Concrete Pipe,98.788188899999994,24, , ,98.789000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,98.788188902607928,4,-157.760852385999982,21.287110165000058,604.6266479,35589,20749,Man Hole, , ,-157.760852386044718,21.287110165448951, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HMB 35,HMB 35-20749, ,604.6267090
9,1,9,3013,16127,Reinforced Concrete Pipe,51.205695939999998,18, , ,51.206000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,51.205695942833742,5,-157.752900786999959,21.293092680000029,216.0626984,32776,20491,Man Hole, , ,-157.752900787386778,21.293092679943925,5, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 14,HWES 14-20491, ,216.0626526
10,1,10,3013,16127,Reinforced Concrete Pipe,51.205695939999998,18, , ,51.206000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,51.205695942833742,5,-157.753042804999978,21.293139108000048,203.1431122,13293,20490,Inlet/Outlet, , ,-157.753042805398536,21.293139107947752, , , , , , , ,HWES 14,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,End of RCP; edited by FILENUM 18150, ,True,None,HWES 14,HWES 14-20490, ,203.1430817
11,1,11,3014,16129,Reinforced Concrete Pipe,78.851542390000006,18, , ,78.852000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,78.851542394683975,6,-157.752683916999985,21.293016461000036,234.1473083,25419,20493,Man Hole, , ,-157.752683917368842,21.293016460937622,4.1, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 14,HWES 14-20493, ,234.1472778
12,1,12,3014,16129,Reinforced Concrete Pipe,78.851542390000006,18, , ,78.852000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,78.851542394683975,6,-157.752900786999959,21.293092680000029,216.0626984,32776,20491,Man Hole, , ,-157.752900787386778,21.293092679943925,5, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 14,HWES 14-20491, ,216.0626526
13,1,13,3015,18240,Reinforced Concrete Pipe,151.545897400000001,18, , ,140, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,151.545897403129800,7,-157.757897453999959,21.276393382000037,3.0715640,41030,22398,Catch Basin, , ,-157.757897453800211,21.276393381562229, , , , , , , ,HMB 32-1-5,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HMB 32,HMB 32-22398, ,3.0715616
14,1,15,3015,18240,Reinforced Concrete Pipe,151.545897400000001,18, , ,140, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,151.545897403129800,7,-157.757749776999958,21.276000044000057,1.3035989,52082,22403,Man Hole, , ,-157.757749776787989,21.276000043529677, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HMB 32,HMB 32-22403, ,1.3035971
15,1,16,3084,18530,Reinforced Concrete Pipe,26.039666619999998,18, , ,26.040000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,26.039666620024221,8,-157.752413470999983,21.285687228000029,33.1007347,24472,20687,Man Hole, , ,-157.752413471346472,21.285687228331199,4, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 36,HWES 36-20687, ,33.1007309
16,1,17,3084,18530,Reinforced Concrete Pipe,26.039666619999998,18, , ,26.040000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,26.039666620024221,8,-157.752489832999970,21.285691298000074,31.7177601,23544,20686,Catch Basin, , ,-157.752489833352797,21.285691298331528,4, , , , , , ,HWES 36-6-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 36,HWES 36-20686, ,31.7177601
17,1,18,3085,18534,Reinforced Concrete Pipe,75.367379450000001,18, , ,75.368000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,75.367379453416760,9,-157.757380114999961,21.285812462000024,61.5422554,51140,20684,Man Hole, , ,-157.757380114757410,21.285812462341539,9, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 29,HWES 29-20684, ,61.5422478
18,1,19,3085,18534,Reinforced Concrete Pipe,75.367379450000001,18, , ,75.368000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,75.367379453416760,9,-157.757459003999969,21.285618606000071,62.5857430,2638,20689,Catch Basin, , ,-157.757459003763927,21.285618606325500,4.300000, , , , , , ,HWES 29-5,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 29,HWES 29-20689, ,62.5857353
19,1,20,3086,18535,Reinforced Concrete Pipe,128.156278079999993,18, , ,141.626000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18154,True, ,128.156278076153995,10,-157.754667711999957,21.285514155000044,36.1767693,39236,20691,Catch Basin, , ,-157.754667711532989,21.285514155316889,4.300000, , , , , , ,HWES 32-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 32,HWES 32-20691, ,36.1767693
