OBJECTID_1,OBJECTID,LINE_ID,TYPE,CALC_LENGT,DIAMETER,DRAINAGE_A,FLOW_RATE,LENGTH,WIDTH,HEIGHT,SLOPE,ROUGHNESS,VELOCITY,UPSTREAMNO,DOWNSTREAM,UPSTREAM_1,DOWNSTRE_1,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,ENABLED,TYPE_USE,SHAPESTLen,ORIG_FID,POINT_X,POINT_Y,RASTERVALU
1,3013,16127,Reinforced Concrete Pipe,51.205695939999998,18, , ,51.206000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,51.205695942833742,5,-157.752900786941723,21.293092680382927,273.1550293
2,3013,16127,Reinforced Concrete Pipe,51.205695939999998,18, , ,51.206000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,51.205695942833742,5,-157.753042805181281,21.293139108782896,264.7726440
3,3014,16129,Reinforced Concrete Pipe,78.851542390000006,18, , ,78.852000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,78.851542394683975,6,-157.752683917228978,21.293016461040907,285.7871094
4,3014,16129,Reinforced Concrete Pipe,78.851542390000006,18, , ,78.852000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,78.851542394683975,6,-157.752900786941723,21.293092680382927,273.1550293
5,3202,18945,Reinforced Concrete Pipe,298.103502310000010,30, , ,298.106000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,298.103502309888995,27,-157.755321557743656,21.283772605821127,37.1531143
6,3202,18945,Reinforced Concrete Pipe,298.103502310000010,30, , ,298.106000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,298.103502309888995,27,-157.755154759584457,21.283840559494251,34.5209274
7,3202,18945,Reinforced Concrete Pipe,298.103502310000010,30, , ,298.106000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,298.103502309888995,27,-157.754884721952322,21.283951009731368,30.2781162
8,3202,18945,Reinforced Concrete Pipe,298.103502310000010,30, , ,298.106000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,298.103502309888995,27,-157.754591169746647,21.284071618710300,25.6918392
9,3202,18945,Reinforced Concrete Pipe,298.103502310000010,30, , ,298.106000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,298.103502309888995,27,-157.754519159231791,21.284101063413402,24.5702782
10,3203,18946,Reinforced Concrete Pipe,87.996233380000007,30, , ,87.996000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,87.996233377252040,28,-157.755542741504286,21.283897927247608,41.2105293
11,3203,18946,Reinforced Concrete Pipe,87.996233380000007,30, , ,87.996000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,87.996233377252040,28,-157.755392351475820,21.283812023106407,38.4521141
12,3203,18946,Reinforced Concrete Pipe,87.996233380000007,30, , ,87.996000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,87.996233377252040,28,-157.755321557743656,21.283772605821127,37.1531143
13,3204,18949,Reinforced Concrete Pipe,128.996357179999990,24, , ,128.997000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,128.996357178567223,29,-157.749385729168040,21.284077800650039,173.8473206
14,3204,18949,Reinforced Concrete Pipe,128.996357179999990,24, , ,128.997000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,128.996357178567223,29,-157.749431259145268,21.283858047710794,157.7351074
15,3204,18949,Reinforced Concrete Pipe,128.996357179999990,24, , ,128.997000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,128.996357178567223,29,-157.749456075937132,21.283728871790061,148.4973450
16,3254,19141,Reinforced Concrete Pipe,231.123778939999994,30, , ,231.127000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,231.123778941909421,39,-157.749837338122632,21.283627674677518,122.0330887
17,3254,19141,Reinforced Concrete Pipe,231.123778939999994,30, , ,231.127000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,231.123778941909421,39,-157.750112436239903,21.283563459486118,104.0448685
18,3254,19141,Reinforced Concrete Pipe,231.123778939999994,30, , ,231.127000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,231.123778941909421,39,-157.750419490866790,21.283493934697390,84.6364594
19,3254,19141,Reinforced Concrete Pipe,231.123778939999994,30, , ,231.127000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,231.123778941909421,39,-157.750496621222055,21.283476005813043,79.8307571
20,4175,16754,Ditch,108.364282630000005, , , ,120.287000,48, , , , , , , , ,Pre-SWQDC, , ,State of Hawaii,Pre-SWQDC,Pre-SWQDC,jnolan,TYPE=State DOT Concrete Ditch; OWNERSHIP taken from Streets; edited by FILENUM 18152,True, ,108.364282632104263,64,-157.761061267563406,21.276636112166898,25.9386578
21,4175,16754,Ditch,108.364282630000005, , , ,120.287000,48, , , , , , , , ,Pre-SWQDC, , ,State of Hawaii,Pre-SWQDC,Pre-SWQDC,jnolan,TYPE=State DOT Concrete Ditch; OWNERSHIP taken from Streets; edited by FILENUM 18152,True, ,108.364282632104263,64,-157.761376878340229,21.276597613089450,29.1532764
22,4326,16790,Reinforced Concrete Pipe,41.459795530000001,18, , ,41.460000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,41.459795529530027,68,-157.757412640680798,21.284562873377979,132.8929291
23,4326,16790,Reinforced Concrete Pipe,41.459795530000001,18, , ,41.460000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,41.459795529530027,68,-157.757496582501261,21.284645559744831,139.6484222
24,4478,14776,Reinforced Concrete Pipe,67.038159370000002,24, , ,67.039000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,67.038159372797637,73,-157.754281003465508,21.289105924598800,99.8310318
25,4478,14776,Reinforced Concrete Pipe,67.038159370000002,24, , ,67.039000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,67.038159372797637,73,-157.754086724722526,21.289136006021920,110.4179916
26,4506,16934,Reinforced Concrete Pipe,172.599428749999987,24, , ,172.600000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,172.599428745043895,75,-157.753857970468943,21.289143454207078,122.2356110
27,4506,16934,Reinforced Concrete Pipe,172.599428749999987,24, , ,172.600000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,172.599428745043895,75,-157.753354688268217,21.289086190775151,146.1550751
