OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,TYPE,DIAMETER,DRAINAGE_A,FLOW_RATE,WIDTH,HEIGHT,SLOPE,ROUGHNESS,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,ENABLED,TYPE_USE,ORIG_FID,POINT_X,POINT_Y,RASTERVALU,OBJECTID_12,NODE_ID,TYPE_1,DRAINAGE_A_1,FLOW_RATE_1,POINT_X_1,POINT_Y_1,CATCHMENT_,INSTALL_DA_1,LIFE_CYCLE_1,OWNER_1,DATA_SOURC_1,CREATED_BY_1,LAST_EDITE_1,LAST_EDI_12,DA_SRC_STR,ENABLED_1,ANCILLARYR,OUTFALL,SWID,TYPE_USE_1
1,1,1,3013,Reinforced Concrete Pipe,18, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,5,-157.752900786941723,21.293092680382927,273.1550293,32776,20491,Man Hole, , ,-157.752915193181593,21.293096103202629,5, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 14,HWES 14-20491, 
2,1,2,3013,Reinforced Concrete Pipe,18, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,5,-157.753042805181281,21.293139108782896,264.7726440,13293,20490,Inlet/Outlet, , ,-157.753057211421151,21.293142531602598, , ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,End of RCP; edited by FILENUM 18150, ,True,None,HWES 14,HWES 14-20490, 
3,1,3,3014,Reinforced Concrete Pipe,18, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,6,-157.752683917228978,21.293016461040907,285.7871094,25419,20493,Man Hole, , ,-157.752698323468820,21.293019884759929,4.1, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 14,HWES 14-20493, 
4,1,4,3014,Reinforced Concrete Pipe,18, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,6,-157.752900786941723,21.293092680382927,273.1550293,32776,20491,Man Hole, , ,-157.752915193181593,21.293096103202629,5, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 14,HWES 14-20491, 
5,1,5,3202,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,27,-157.755321557743656,21.283772605821127,37.1531143,30880,22235,Man Hole, , ,-157.755335964882846,21.283776029540206,5.9, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 35,HWES 35-22235, 
6,0,6,3202,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,27,-157.755154759584457,21.283840559494251,34.5209274,,,,,,,,,,,,,,,,,,,,,
7,0,7,3202,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,27,-157.754884721952322,21.283951009731368,30.2781162,,,,,,,,,,,,,,,,,,,,,
8,0,8,3202,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,27,-157.754591169746647,21.284071618710300,25.6918392,,,,,,,,,,,,,,,,,,,,,
9,1,9,3202,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,27,-157.754519159231791,21.284101063413402,24.5702782,8634,22222,Man Hole, , ,-157.754533565471633,21.284104487132424,4.800000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 35,HWES 35-22222, 
10,1,10,3203,Reinforced Concrete Pipe,30, , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,28,-157.755542741504286,21.283897927247608,41.2105293,52989,22231,Catch Basin, , ,-157.755557147744156,21.283901350966630,5.600000, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 35,HWES 35-22231, 
