OBJECTID_1,OBJECTID,LINE_ID,TYPE,CALC_LENGT,DIAMETER,DRAINAGE_A,FLOW_RATE,LENGTH,WIDTH,HEIGHT,SLOPE,ROUGHNESS,VELOCITY,UPSTREAMNO,DOWNSTREAM,UPSTREAM_1,DOWNSTRE_1,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,ENABLED,TYPE_USE,SHAPESTLen,ORIG_FID,POINT_X,POINT_Y,RASTERVALU
1,3013,16127,Reinforced Concrete Pipe,51.205695939999998,18, , ,51.206000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,51.205695942833742,5,-157.752900786941723,21.293092680382927,
2,3013,16127,Reinforced Concrete Pipe,51.205695939999998,18, , ,51.206000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,51.205695942833742,5,-157.753042805181281,21.293139108782896,
3,3014,16129,Reinforced Concrete Pipe,78.851542390000006,18, , ,78.852000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,78.851542394683975,6,-157.752683917228978,21.293016461040907,
4,3014,16129,Reinforced Concrete Pipe,78.851542390000006,18, , ,78.852000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,78.851542394683975,6,-157.752900786941723,21.293092680382927,
5,4478,14776,Reinforced Concrete Pipe,67.038159370000002,24, , ,67.039000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,67.038159372797637,73,-157.754281003465508,21.289105924598800,
6,4478,14776,Reinforced Concrete Pipe,67.038159370000002,24, , ,67.039000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,67.038159372797637,73,-157.754086724722526,21.289136006021920,
7,4506,16934,Reinforced Concrete Pipe,172.599428749999987,24, , ,172.600000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,172.599428745043895,75,-157.753857970468943,21.289143454207078,
8,4506,16934,Reinforced Concrete Pipe,172.599428749999987,24, , ,172.600000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,172.599428745043895,75,-157.753354688268217,21.289086190775151,
9,4507,16936,Reinforced Concrete Pipe,83.994859809999994,24, , ,83.995000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,83.994859813332184,76,-157.753354688268217,21.289086190775151,
10,4507,16936,Reinforced Concrete Pipe,83.994859809999994,24, , ,83.995000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,83.994859813332184,76,-157.753110210267948,21.289055096715401,
11,4508,16937,Reinforced Concrete Pipe,58.740503650000001,24, , ,58.741000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,58.740503649220827,77,-157.753110210267948,21.289055096715401,
12,4508,16937,Reinforced Concrete Pipe,58.740503650000001,24, , ,58.741000, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,True, ,58.740503649220827,77,-157.752939148422939,21.289033982432386,
13,16602,59972,Channel,143.918147919999996, , , , , , , , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,143.918147915996713,254,-157.753844387108757,21.284791850663453,
14,16602,59972,Channel,143.918147919999996, , , , , , , , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,143.918147915996713,254,-157.753825265723407,21.284749553748952,
15,16604,59988,Channel,96.833021099999996, , , , , , , , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,96.833021103182830,256,-157.755906238482083,21.287635213794147,
16,16604,59988,Channel,96.833021099999996, , , , , , , , , , , , , ,18154, , ,City and County of Honolulu,SWQDC Other,SWQDC,jnolan,TYPE=Drainage Canal; edited by Parcels,True, ,96.833021103182830,256,-157.755901052091843,21.287627333934381,
