OBJECTID_1,OBJECTID,POLY_ID,TYPE,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,TYPE_USE,GLOBALID,SHAPESTAre,SHAPESTLen,ORIG_FID,POINT_X,POINT_Y
1,2129,2129,Other,22283, ,"Constructed, not dedicated",Private,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{D10BC2AE-188B-485A-A3CA-034C69F277B2},2040.212341308593750,191.319827186825250,1,-157.749218999357311,21.284806923300891
2,2129,2129,Other,22283, ,"Constructed, not dedicated",Private,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{D10BC2AE-188B-485A-A3CA-034C69F277B2},2040.212341308593750,191.319827186825250,1,-157.749277931031656,21.284636151037603
3,2129,2129,Other,22283, ,"Constructed, not dedicated",Private,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{D10BC2AE-188B-485A-A3CA-034C69F277B2},2040.212341308593750,191.319827186825250,1,-157.749365475536251,21.284657907436554
4,2129,2129,Other,22283, ,"Constructed, not dedicated",Private,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{D10BC2AE-188B-485A-A3CA-034C69F277B2},2040.212341308593750,191.319827186825250,1,-157.749318414013572,21.284820214381455
5,2129,2129,Other,22283, ,"Constructed, not dedicated",Private,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{D10BC2AE-188B-485A-A3CA-034C69F277B2},2040.212341308593750,191.319827186825250,1,-157.749218999357311,21.284806923300891
6,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.755611185307913,21.299254012162976
7,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.755617204470383,21.299190922023456
8,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.755894576073786,21.299215913283831
9,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.755922728451139,21.298686355590860
10,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756022353548758,21.298679215873165
11,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756016913549701,21.298598145588016
12,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756004792487147,21.298511648793635
13,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.755988141539461,21.298419083374029
14,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.755975567218627,21.298359891795599
15,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756088649771328,21.298334244030173
16,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756112356799804,21.298435148863064
17,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756130995249208,21.298549953617510
18,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756142881588687,21.298654462033824
19,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756148542820966,21.298723752099534
