OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,LINE_ID,TYPE,CALC_LENGT,DIAMETER,DRAINAGE_A,FLOW_RATE,LENGTH,WIDTH,HEIGHT,SLOPE,ROUGHNESS,VELOCITY,UPSTREAMNO,DOWNSTREAM,UPSTREAM_1,DOWNSTRE_1,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,ENABLED,TYPE_USE,SHAPESTLen,ORIG_FID,POINT_X,POINT_Y,RASTERVALU,OBJECTID_12,NODE_ID,TYPE_1,DRAINAGE_A_1,FLOW_RATE_1,POINT_X_1,POINT_Y_1,CATCHMENT_,TOP_ELEV,INVELEV1,INVELEV2,INVELEV3,INVELEV4,NET_ROLE,HIST_STRU_,FILENUM_1,INSTALL_DA_1,LIFE_CYCLE_1,OWNER_1,DATA_SOURC_1,CREATED_BY_1,LAST_EDITE_1,LAST_EDI_12,DA_SRC_STR,ENABLED_1,ANCILLARYR,OUTFALL,SWID,TYPE_USE_1,RASTERVALU_1
1,1,1,3002,16084,Reinforced Concrete Pipe,147.8692102,18, , ,147.869, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,147.8692102,1,-157.7651638,21.28789636,721.7406616,2648,20737,Man Hole, , ,-157.7651638,21.28789636, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20737, ,721.7406006
2,1,2,3002,16084,Reinforced Concrete Pipe,147.8692102,18,, ,147.869, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,147.8692102,1,-157.7650057,21.28751719,698.4336548,18959,20740,Man Hole, , ,-157.7650057,21.28751719, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20740, ,698.4336548
3,1,3,3003,16085,Reinforced Concrete Pipe,80.31877258,18, , ,80.319, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,80.31877258,2,-157.7650057,21.28751719,698.4336548,18959,20740,Man Hole, , ,-157.7650057,21.28751719, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20740, ,698.4336548
4,1,4,3003,16085,Reinforced Concrete Pipe,80.31877258,18, , ,80.319, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,80.31877258,2,-157.7647882,21.28743174,698.2453003,10580,20742,Catch Basin, , ,-157.7647882,21.28743174, , , , , , , ,HMB 35-33-10,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20742, ,698.2453003
5,1,5,3004,16087,Reinforced Concrete Pipe,239.6017371,54, , ,239.602, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,239.6017371,3,-157.762188,21.28740941,542.5026245,29986,20743,Catch Basin, , ,-157.762188,21.28740941, , , , , , , ,HMB 35-35,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20743, ,542.5026245
6,1,6,3004,16087,Reinforced Concrete Pipe,239.6017371,54, , ,239.602, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,239.6017371,3,-157.7622978,21.28806092,596.0506592,27272,20736,Catch Basin, , ,-157.7622978,21.28806092,10, , , , , , ,HMB 35-36,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20736, ,596.0506592
7,1,7,3005,16094,Reinforced Concrete Pipe,98.7881889,24, , ,98.789, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,98.7881889,4,-157.7606883,21.28733444,639.6026611,33692,20744,Man Hole, , ,-157.7606883,21.28733444, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20744, ,639.6027222
8,1,8,3005,16094,Reinforced Concrete Pipe,98.7881889,24, , ,98.789, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,98.7881889,4,-157.7608524,21.28711017,604.6266479,35589,20749,Man Hole, , ,-157.7608524,21.28711017, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HMB 35,HMB 35-20749, ,604.626709
9,1,9,3013,16127,Reinforced Concrete Pipe,51.20569594,18, , ,51.206, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,51.20569594,5,-157.7529008,21.29309268,216.0626984,32776,20491,Man Hole, , ,-157.7529008,21.29309268,5, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,TRUE,None,HWES 14,HWES 14-20491, ,216.0626526
10,1,10,3013,16127,Reinforced Concrete Pipe,51.20569594,18, , ,51.206, , , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, ,TRUE, ,51.20569594,5,-157.7530428,21.29313911,203.1431122,13293,20490,Inlet/Outlet, , ,-157.7530428,21.29313911, , , , , , , ,HWES 14,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,End of RCP; edited by FILENUM 18150, ,TRUE,None,HWES 14,HWES 14-20490, ,203.1430817
