OBJECTID_1,OBJECTID,POLY_ID,TYPE,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,TYPE_USE,GLOBALID,SHAPESTAre,SHAPESTLen,ORIG_FID,POINT_X,POINT_Y
1,2129,2129,Other,22283, ,"Constructed, not dedicated",Private,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{D10BC2AE-188B-485A-A3CA-034C69F277B2},2040.212341308593750,191.319827186825250,1,-157.749204592999973,21.284803500000066
2,2129,2129,Other,22283, ,"Constructed, not dedicated",Private,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{D10BC2AE-188B-485A-A3CA-034C69F277B2},2040.212341308593750,191.319827186825250,1,-157.749263524999975,21.284632727000030
3,2129,2129,Other,22283, ,"Constructed, not dedicated",Private,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{D10BC2AE-188B-485A-A3CA-034C69F277B2},2040.212341308593750,191.319827186825250,1,-157.749351068999971,21.284654484000043
4,2129,2129,Other,22283, ,"Constructed, not dedicated",Private,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{D10BC2AE-188B-485A-A3CA-034C69F277B2},2040.212341308593750,191.319827186825250,1,-157.749304007999967,21.284816791000026
5,2129,2129,Other,22283, ,"Constructed, not dedicated",Private,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{D10BC2AE-188B-485A-A3CA-034C69F277B2},2040.212341308593750,191.319827186825250,1,-157.749204592999973,21.284803500000066
6,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.755596778999973,21.299250589000053
7,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.755602797999984,21.299187499000027
8,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.755880169999983,21.299212491000048
9,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.755908321999982,21.298682933000066
10,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756007946999972,21.298675793000029
11,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756002506999977,21.298594723000065
12,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.755990386999969,21.298508226000024
13,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.755973734999969,21.298415660000046
14,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.755961160999959,21.298356469000055
15,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756074242999972,21.298330821000036
16,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756097949999969,21.298431726000047
17,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756116588999959,21.298546531000056
18,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756128475999958,21.298651039000049
19,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756134136999975,21.298720330000037
20,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756320900999981,21.298701927000025
21,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756358952999960,21.298862315000065
22,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.756328183999983,21.299358568000059
23,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.755993473999979,21.299313223000070
24,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.755992764999974,21.299291585000049
25,2133,2133,Other,22283, ,"Constructed, accepted for maintenance",City and County of Honolulu,Other,jnolan,jnolan,Alternative Compliance - Detention Basin (Boulder Basin); (ENV Boulder/Debris Basin List),Other,{5E84C764-C4E8-4EC3-B750-2977FDC637B0},42429.944320678710938,1207.252931639387043,2,-157.755596778999973,21.299250589000053
