OBJECTID_1,OBJECTID,NODE_ID,TYPE,DRAINAGE_A,FLOW_RATE,POINT_X,POINT_Y,CATCHMENT_,TOP_ELEV,INVELEV1,INVELEV2,INVELEV3,INVELEV4,NET_ROLE,HIST_STRU_,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,DA_SRC_STR,ENABLED,ANCILLARYR,OUTFALL,SWID,TYPE_USE,RASTERVALU
1,1948,22566,Inlet/Outlet, , ,-157.761721412116600,21.278947385773506, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Connection between Interceptor Ditch and RCP; edited by FILENUM 18152, ,True,None,HMB 35,HMB 35-22566, ,104.1935730
2,1956,22630,Inlet/Outlet, , ,-157.761061267061990,21.276636111582320, , , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",State of Hawaii,Pre-SWQDC,Pre-SWQDC,jnolan,Connection between State DOT Concrete Ditches and State DOT RCPs; OWNERSHIP taken from Streets; edited by FILENUM 18152, ,True,None,HMB 35,HMB 35-22630, ,5.0023165
3,2196,22221,Catch Basin, , ,-157.753029223397419,21.284127041202112,9.500000, , , , , , ,HWES 36-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 36,HWES 36-22221, ,19.9512062
4,2197,22225,Catch Basin, , ,-157.751797970295542,21.284027812193870,4.500000, , , , , , ,HWES 38-3-3,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 38,HWES 38-22225, ,17.4432697
5,2198,22238,Man Hole, , ,-157.749513402106516,21.283698483166631,6.900000, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 38,HWES 38-22238, ,52.0213699
6,2199,22242,Catch Basin, , ,-157.757135915737194,21.283604704158904,4.200000, , , , , , ,HWES 35-6-4,WR22875, ,"Constructed, existing ROW",City and County of Honolulu,Other,Pre-SWQDC,jnolan,Edited by Engr. Field Report - DFM-Roads, ,True,None,HWES 35,HWES 35-22242, ,32.8685837
7,2200,22244,Catch Basin, , ,-157.749768773127641,21.283574450156379,4.400000, , , , , , ,HWES 38-6-2,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 38,HWES 38-22244, ,44.2918663
8,2201,22250,Catch Basin, , ,-157.751738130290590,21.283367976139289,4.900000, , , , , , ,HWES 38-3-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 38,HWES 38-22250, ,16.5515003
9,2202,22256,Catch Basin, , ,-157.757477013765424,21.282923861102574,4.400000, , , , , , ,HWES 39-18-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 39,HWES 39-22256, ,55.2830620
10,2203,22265,Catch Basin, , ,-157.755891742634248,21.282659511080681,3.700000, , , , , , ,HWES 39-12-2,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 39,HWES 39-22265, ,23.8040943
11,2204,22267,Man Hole, , ,-157.755975592641192,21.282574295073630,3.800000, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 39,HWES 39-22267, ,24.4328098
12,2205,22270,Catch Basin, , ,-157.753250498415724,21.282436668062246,9.300000, , , , , , ,HWES 39-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 39,HWES 39-22270, ,13.4279785
13,2206,22276,Man Hole, , ,-157.753629677447094,21.282265517048074,7.900000, , , , , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,True,None,HWES 39,HWES 39-22276, ,16.0292988
