FID,OBJECTID,LENGTH,PEREN_ID,LU_CODE,STREAM_NM,FLAG,STREAM_COD,SHAPESTLen,ORIG_FID,POINT_X,POINT_Y,RASTERVALU
0,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.754630055999,21.311811366000,686.6719971
1,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.754571983000,21.311842551000,692.3120117
2,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.754512602999,21.311887272000,701.3499756
3,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.754301196999,21.311930878000,733.7609863
4,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.754130881000,21.311997362000,754.6240234
5,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753931313999,21.312208177000,774.9089966
6,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753889896999,21.312271109000,780.2379761
7,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753837441000,21.312347498000,787.2579956
8,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753813780999,21.312442178000,793.3060303
9,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753790379999,21.312491694000,798.7440186
10,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753748526999,21.312595262000,811.6339722
11,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753725960999,21.312694471000,823.9130249
12,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753701648999,21.312739459000,829.6729736
13,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753636994000,21.312973850000,858.9290161
14,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753572353999,21.313199208000,887.9110107
15,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753548945000,21.313253241000,893.9559937
16,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753479330000,21.313379188000,907.4630127
17,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753343395999,21.313635636000,937.8930054
18,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753184879999,21.314000325000,976.565979
19,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753161234999,21.314085972000,984.0029907
20,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753132615999,21.314180613000,993.1079712
21,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.753138283999,21.314523930000,1020.52002
22,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752961965999,21.314992373000,1069.829956
23,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752933103999,21.315123144000,1084.26001
24,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752896880999,21.315262893000,1102.540039
25,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752803109000,21.315668713000,1157.420044
26,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752738614000,21.316025056000,1185.780029
27,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752727485000,21.316201135000,1208.400024
28,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752709646000,21.316327471000,1229.119995
29,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752709815999,21.316444907000,1248.030029
30,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752698051000,21.316562262000,1268.98999
31,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752674751999,21.317316388000,1385.469971
32,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752633755000,21.317456109000,1396.930054
33,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752604010999,21.317564285000,1403.400024
34,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752556962000,21.317699449000,1419.449951
35,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752498812999,21.317884201000,1435.339966
36,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752415791000,21.318010053000,1445.52002
37,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752280981000,21.318140043000,1457.660034
38,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.752133847000,21.318283488000,1480.199951
39,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.751787597999,21.318470618000,1550.099976
40,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.751682058999,21.318555649000,1570.979981
41,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.751523654000,21.318631257000,1597.810059
42,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.751405987999,21.318720721000,1610.839966
43,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.751246917000,21.318864073000,1626.410034
44,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.751169981999,21.318971910000,1635.170044
45,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.751141553999,21.319062034000,1636.089966
46,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.751135043000,21.319111672000,1636.469971
47,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.751123498999,21.319206434000,1637.069946
48,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.751059547000,21.319345981000,1647.800049
49,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.751035011999,21.319413550000,1653.27002
50,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.751005550000,21.319463014000,1657.300049
51,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.750982107999,21.319535112000,1661.109985
52,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.750970609000,21.319602777000,1663.459961
53,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.750894730999,21.319737714000,1676.329956
54,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.750806901000,21.319881601000,1683.579956
55,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.750794331999,21.319931198000,1685.349976
56,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.750712378000,21.320075127000,1699.439941
57,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.750582737000,21.320295483000,1723.479981
58,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.750418209000,21.320515583000,1746.51001
59,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.750171778999,21.320739581000,1777.640015
60,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.750119119000,21.320825013000,1785.709961
61,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.749977787000,21.321009145000,1811.790039
62,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.749954352999,21.321076726000,1818.359985
63,1430,3983.007,380,C, ,1,3-3-,3982.948919,1,-157.749848377000,21.321202412000,1841.680054
64,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.754630055999,21.311811366000,686.6719971
65,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.754648175999,21.311956035000,692.8920288
66,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.754677402999,21.312046588000,698.8179932
67,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.754718072999,21.312101092000,703.5570068
68,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.754818561999,21.312178620000,709.664978
69,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.754924858000,21.312296847000,718.8380127
70,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.754988311000,21.312342491000,721.7880249
71,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755047004999,21.312379053000,726.348999
72,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755258819999,21.312421279000,735.3330078
73,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755411529000,21.312454031000,740.8519897
74,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755547307999,21.312509233000,746.4290161
75,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755605766000,21.312577420000,746.7459717
76,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755618314999,21.312649786000,747.0800171
77,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755635987000,21.312844134000,750.6119995
78,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755635560999,21.313322913000,770.3469849
79,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755582820000,21.313570947000,780.71698
80,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755541819999,21.313715184000,785.8560181
81,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755523968000,21.313850553000,790.6879883
82,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755518523999,21.313922785000,794.6060181
83,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755430020999,21.314256374000,829.3369751
84,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755436244999,21.314378367000,839.2369995
85,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755477584000,21.314473530000,842.3690186
86,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755489259999,21.314518787000,844.1530151
87,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755559772999,21.314736117000,849.8070068
88,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755982495000,21.315484518000,877.1970215
89,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.756041568999,21.315624977000,879.2189941
90,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.756053852999,21.315747024000,888.7600098
91,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.756041893000,21.315873411000,901.8930054
92,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.755995070000,21.316428631000,954.1500244
93,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.756024717999,21.316487570000,953.9580078
94,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.756159609999,21.316637614000,957.3989868
95,1431,6074.635,381,C, ,1,3-3-,6074.554283,2,-157.756200705999,21.316768907000,963.5360107
