"Nodes","Elevation","MaxDepth","InitDepth","SurDepth","Aponded"
2648,721.7406616,0,0,0,0
18959,698.4336548,0,0,0,0
10580,698.2453003,0,0,0,0
29986,542.5026245,0,0,0,0
27272,596.0506592,10,0,0,0
33692,639.6026611,0,0,0,0
35589,604.6266479,0,0,0,0
32776,216.0626984,5,0,0,0
13293,203.1431122,0,0,0,0
25419,234.1473083,4.1,0,0,0
41030,3.071564,0,0,0,0
52082,1.3035989,0,0,0,0
24472,33.1007347,4,0,0,0
23544,31.7177601,4,0,0,0
51140,61.5422554,9,0,0,0
2638,62.585743,4.3,0,0,0
39236,36.1767693,4.3,0,0,0
24473,31.8865852,0,0,0,0
41073,27.4678955,3.5,0,0,0
56640,697.0488892,0,0,0,0
32786,690.3546143,0,0,0,0
58483,663.6933594,0,0,0,0
45641,667.6033325,0,0,0,0
2650,560.65802,0,0,0,0
2205,13.4279718,9.3,0,0,0
55705,9.2979107,0,0,0,0
25353,10.2442341,0,0,0,0
48342,8.1447067,0,0,0,0
46621,860.9306641,4,0,0,0
57628,854.5317993,6.6,0,0,0
40222,772.8182373,0,0,0,0
3225,753.9577637,0,0,0,0
42912,502.1307983,0,0,0,0
44719,471.8116455,0,0,0,0
14269,462.5736389,0,0,0,0
2645,802.4630127,0,0,0,0
2646,789.6818848,0,0,0,0
15190,784.7085571,0,0,0,0
45639,781.6346436,0,0,0,0
47476,678.447876,7.2,0,0,0
51141,657.939209,4.6,0,0,0
2647,590.1793823,4,0,0,0
9558,31.6077595,4.6,0,0,0
55703,31.1799641,4.5,0,0,0
2196,19.9512062,9.5,0,0,0
30879,19.6924572,0,0,0,0
30880,27.1276054,5.9,0,0,0
8634,28.4035339,4.8,0,0,0
52989,28.4495354,5.6,0,0,0
18889,71.0958786,3.7,0,0,0
31846,54.4198608,6.5,0,0,0
45579,25.601553,0,0,0,0
20751,23.5913544,4.1,0,0,0
18890,25.8631191,3.4,0,0,0
49223,33.6307907,5.9,0,0,0
52075,31.5056458,4.7,0,0,0
44656,15.4939852,5.6,0,0,0
43755,14.9630136,5.1,0,0,0
29975,177.7173615,0,0,0,0
38313,176.7416687,0,0,0,0
29077,108.6134262,0,0,0,0
41959,109.6249466,0,0,0,0
2199,32.8685875,4.2,0,0,0
41914,31.8927727,4.9,0,0,0
57492,45.6091499,5.2,0,0,0
46468,21.9254971,4.1,0,0,0
28162,531.7342529,10.5,0,0,0
2295,527.3488159,9,0,0,0
20765,527.2501831,7,0,0,0
45589,518.0448608,6,0,0,0
38314,82.6797028,8.5,0,0,0
33681,83.8812561,8.5,0,0,0
2206,16.0292969,7.9,0,0,0
54757,14.7343493,9.3,0,0,0
20750,16.1092014,7.9,0,0,0
29977,79.7494278,0,0,0,0
36507,78.5354919,0,0,0,0
14258,61.1221123,0,0,0,0
16125,60.5272636,0,0,0,0
39224,197.0371246,0,0,0,0
21693,202.2307281,4,0,0,0
33679,113.266983,0,0,0,0
29973,113.4195099,0,0,0,0
29073,244.8307037,0,0,0,0
34620,258.3656311,0,0,0,0
50230,248.6217804,4.7,0,0,0
50231,244.9831696,5,0,0,0
34621,101.5271225,0,0,0,0
9611,127.683876,5.8,0,0,0
50233,88.0607071,8.3,0,0,0
26353,91.588974,0,0,0,0
52129,91.0291824,0,0,0,0
57545,130.6632996,6.7,0,0,0
56628,156.1086273,7.8,0,0,0
23529,162.4221191,7.5,0,0,0
40134,158.2100983,6.5,0,0,0
30947,51.9780273,0,0,0,0
48404,51.5896263,7.1,0,0,0
41976,539.0309448,8.6,0,0,0
48394,148.6865387,4.4,0,0,0
41060,144.8555756,0,0,0,0
34619,233.9842682,0,0,0,0
48395,206.4664307,5.1,0,0,0
50229,182.2016296,6.5,0,0,0
12438,1.8328587,0,0,0,0
50186,2.250423,0,0,0,0
1956,5.0023217,0,0,0,0
12374,110.8703537,6.3,0,0,0
27266,101.1817703,5.3,0,0,0
2571,94.6541672,4,0,0,0
35579,87.411438,0,0,0,0
38329,24.1424446,5.6,0,0,0
42095,21.296524,0,0,0,0
10579,45.5482025,4,0,0,0
22618,48.7670403,4.3,0,0,0
40145,28.5505753,4.1,0,0,0
33693,581.946167,0,0,0,0
14268,542.9682617,0,0,0,0
50249,656.6956177,0,0,0,0
14270,592.8831787,0,0,0,0
22621,577.5054321,10,0,0,0
50235,79.7168808,7.4,0,0,0
50234,84.1086121,4.3,0,0,0
10570,87.8403397,0,0,0,0
2575,99.9930191,0,0,0,0
29976,106.7259979,0,0,0,0
47469,113.4318466,0,0,0,0
22612,65.8772507,0,0,0,0
11505,61.2662659,5.1,0,0,0
42904,63.9243393,0,0,0,0
52141,89.7439728,4.5,0,0,0
53063,97.7081909,5.2,0,0,0
13296,81.3486252,0,0,0,0
56638,62.4893723,6.1,0,0,0
38326,61.0104637,5.3,0,0,0
53064,54.0661659,7.3,0,0,0
52130,58.9171524,7.7,0,0,0
30946,60.003727,5.8,0,0,0
53916,77.2692032,5.1,0,0,0
17146,764.4620361,0,0,0,0
58563,798.2046509,0,0,0,0
18110,713.0823364,0,0,0,0
34727,697.7877808,0,0,0,0
43897,763.7380371,0,0,0,0
24552,737.951416,0,0,0,0
23530,67.1463623,3.6,0,0,0
54803,67.2197876,3.6,0,0,0
18109,800.6612549,0,0,0,0
10630,456.8103027,10.1,0,0,0
27329,451.6888733,10.5,0,0,0
33758,271.7280579,0,0,0,0
33750,258.3948975,0,0,0,0
29079,95.7869568,8,0,0,0
32778,89.8166656,0,0,0,0
8685,116.3417358,0,0,0,0
55758,102.2870255,4.5,0,0,0
8684,81.7212906,0,0,0,0
53052,77.3473816,0,0,0,0
29080,65.0449371,0,0,0,0
28152,65.4779282,0,0,0,0
45638,37.8973503,0,0,0,0
19880,44.5443916,8,0,0,0
54815,77.7288742,0,0,0,0
2635,37.3546524,0,0,0,0
25430,33.9948463,4.3,0,0,0
36514,34.1882477,6,0,0,0
20806,32.5326729,7.5,0,0,0
35588,33.4693756,3.7,0,0,0
7715,140.526535,5,0,0,0
41960,146.2174072,6.2,0,0,0
27267,98.413765,0,0,0,0
58475,91.6914597,0,0,0,0
22610,87.0460968,0,0,0,0
7716,70.8142776,4.3,0,0,0
38312,134.9994659,5,0,0,0
2566,121.4838943,0,0,0,0
2569,131.781189,6.9,0,0,0
14256,126.1674194,5.8,0,0,0
41954,113.2524948,4.5,0,0,0
50232,95.2240906,0,0,0,0
52128,217.6502533,4,0,0,0
9612,208.3097534,4.3,0,0,0
46514,113.8648987,5,0,0,0
49272,111.5610275,4,0,0,0
29074,90.8323975,0,0,0,0
2570,90.4478683,5,0,0,0
51129,86.748085,5,0,0,0
33680,130.2662811,7.7,0,0,0
26352,130.2548523,5,0,0,0
13294,132.7226563,0,0,0,0
21638,15.7710552,4.2,0,0,0
22555,16.2106552,7.5,0,0,0
2201,16.5514984,4.9,0,0,0
14200,32.5167885,4.8,0,0,0
7660,31.0664368,4.3,0,0,0
26301,33.0565338,4.6,0,0,0
44655,57.7747688,5.8,0,0,0
2202,55.2830887,4.4,0,0,0
55704,99.2837906,3.5,0,0,0
43754,64.3970337,0,0,0,0
45640,739.3461304,0,0,0,0
24474,593.9641724,0,0,0,0
22620,590.7495728,0,0,0,0
20807,601.6674805,0,0,0,0
31903,593.6755371,0,0,0,0
2284,2.976711,0,0,0,0
23482,3.4892457,0,0,0,0
13306,497.4439392,5,0,0,0
23546,531.7473755,8,0,0,0
55718,4.1164851,0,0,0,0
2287,6.6570787,0,0,0,0
46619,822.1057129,7.8,0,0,0
36606,811.5275269,7.4,0,0,0
23611,383.2931824,5.6,0,0,0
3112,372.9949646,5.9,0,0,0
43875,367.9499512,5,0,0,0
55820,355.9623718,9,0,0,0
47528,350.2828064,10.9,0,0,0
27328,327.2479248,4.5,0,0,0
53122,333.7409973,12.5,0,0,0
24527,334.6311035,8.8,0,0,0
14326,317.0697632,9.6,0,0,0
3105,296.3525391,9.6,0,0,0
16194,254.426178,7.2,0,0,0
34711,212.5465088,0,0,0,0
34710,211.0041046,3.1,0,0,0
32855,203.3693542,7.9,0,0,0
55838,58.2938881,3.1,0,0,0
58547,80.1086426,11.2,0,0,0
48465,55.8440475,10.8,0,0,0
26436,46.6498756,10,0,0,0
28215,665.56073,4.4,0,0,0
35643,633.2096558,4.1,0,0,0
13349,587.9934692,4.5,0,0,0
19013,554.0812988,8.2,0,0,0
46591,563.3243408,5.6,0,0,0
31958,473.7202454,11.5,0,0,0
51090,4.33e-05,0,0,0,0
18902,4.1e-06,0,0,0,0
2290,0.0293928,0,0,0,0
2289,0.0282076,0,0,0,0
2291,0,0,0,0,0
16082,0.0096536,0,0,0,0
2292,0.0088156,0,0,0,0
57518,95.8223267,0,0,0,0
16091,81.0626755,0,0,0,0
11561,651.1941528,10,0,0,0
41136,640.3493652,11.5,0,0,0
55819,621.4909668,8.5,0,0,0
25491,601.2405396,9.7,0,0,0
18100,705.5656738,0,0,0,0
16198,685.2036133,0,0,0,0
44795,913.359375,0,0,0,0
42998,904.628418,0,0,0,0
26446,839.7626953,7,0,0,0
17145,836.2139893,6.6,0,0,0
35543,5.9561963,0,0,0,0
17008,1.3438441,0,0,0,0
46478,0.3444353,9.2,0,0,0
48347,0.5760416,6.1,0,0,0
25370,0.8502187,0,0,0,0
2283,0.1329149,3.3,0,0,0
31010,0.1077971,0,0,0,0
2293,0.012561,0,0,0,0
30891,0.0144752,0,0,0,0
55719,0.0163294,0,0,0,0
2303,144.0586853,0,0,0,0
16083,143.9854126,0,0,0,0
2281,0.1279439,3,0,0,0
35544,0.1127853,3,0,0,0
30890,0.317159,4.6,0,0,0
55717,0.10876,4.8,0,0,0
58433,3.8152609,0,0,0,0
46590,496.9788208,5.7,0,0,0
19954,461.4702759,9.4,0,0,0
43873,466.5208435,4.2,0,0,0
27331,251.9698486,0,0,0,0
28217,221.2539825,0,0,0,0
9678,306.4185791,0,0,0,0
7795,253.4189301,0,0,0,0
53977,900.4070435,5,0,0,0
57622,900.9280396,5,0,0,0
50322,897.3491821,5,0,0,0
29155,882.9535522,5,0,0,0
15269,868.673584,7.6,0,0,0
19965,860.7022705,6.8,0,0,0
42866,113.0759659,0,0,0,0
20773,115.8980408,0,0,0,0
12348,108.5395432,0,0,0,0
30093,260.0224915,0,0,0,0
30092,257.347229,0,0,0,0
3488,262.4761047,0,0,0,0
38411,235.8329926,0,0,0,0
19981,226.3195648,0,0,0,0
3226,779.3755493,0,0,0,0
15276,812.4170532,0,0,0,0
18108,849.635376,0,0,0,0
56722,856.072998,5.4,0,0,0
20880,860.8268433,5.8,0,0,0
33771,251.1053925,0,0,0,0
27354,231.3226776,0,0,0,0
21774,214.1907043,0,0,0,0
49390,269.9035034,0,0,0,0
16236,278.4799194,0,0,0,0
20910,266.606842,0,0,0,0
32005,259.1616821,0,0,0,0
38430,242.7961578,0,0,0,0
3224,745.2802124,0,0,0,0
39313,849.6380615,8.6,0,0,0
52221,827.4555664,6.6,0,0,0
54877,1022.1414185,0,0,0,0
2856,987.1542358,0,0,0,0
24542,976.2180786,0,0,0,0
16195,968.975647,6,0,0,0
32006,339.0856628,0,0,0,0
57649,318.8341064,0,0,0,0
35529,298.3973694,0,0,0,0
2209,304.4113464,0,0,0,0
21641,19.2768669,4.1,0,0,0
25354,15.5967064,4,0,0,0
30882,10.8802395,3.3,0,0,0
42844,9.4146957,3,0,0,0
19820,15.2583523,0,0,0,0
31849,12.3986101,2.9,0,0,0
56574,8.3831987,3.6,0,0,0
43756,28.293911,0,0,0,0
43765,0.7567413,4,0,0,0
2278,0.712103,4.3,0,0,0
36457,16.8549633,0,0,0,0
2279,16.5097504,0,0,0,0
30889,0.9849374,6.5,0,0,0
58432,1.1907907,0,0,0,0
35542,1.1667355,4.6,0,0,0
46477,0.5752767,4.6,0,0,0
46595,212.2971191,0,0,0,0
3120,207.7540436,0,0,0,0
7803,310.7922058,0,0,0,0
7802,287.6059265,0,0,0,0
53132,260.6658325,0,0,0,0
14341,250.2530212,0,0,0,0
38395,246.0398407,0,0,0,0
25499,226.9234619,0,0,0,0
29339,921.6907959,0,0,0,1
15494,903.8479004,0,0,0,0.8
48614,689.4504395,0,0,0,0
57775,681.3254395,0,0,0,0
49508,651.2523193,0,0,0,0
36749,638.767334,0,0,0,0
4420,759.3232422,0,0,0,0.3
36751,765.3079834,0,0,0,3
24708,741.1393433,0,0,0,0
4419,759.7039185,14.2,0,0,0
43119,711.9094238,0,0,0,0
51375,788.3551025,0,0,0,0
46771,806.2860718,0,0,0,0
11721,811.3209839,0,0,0,0
29295,636.5116577,0,0,0,0
11720,600.1574097,0,0,0,0
4395,613.6834106,0,0,0,1.76
55040,606.5490112,0,0,0,0
4398,571.7403564,0,0,0,1.76
51447,947.7506714,9.6,0,0,1
47745,946.5025024,7,0,0,1.2
4780,1004.9343262,4.7,0,0,0
4779,992.7059937,9,0,0,0.9
26629,990.7360229,9,0,0,1.2
55995,991.8498535,0,0,0,0
4778,888.3665161,11.2,0,0,0.8
55993,876.1690063,10.6,0,0,0.8
28430,882.0747681,10.6,0,0,2
9888,903.0385742,0,0,0,1
47744,900.0042725,0,0,0,0
40419,764.4273071,11,0,0,0
35869,833.7214355,0,0,0,0.8
22878,803.828125,11.6,0,0,0
40420,828.7646484,0,0,0,0
45146,59.8482666,0,0,0,0
20265,216.689682,0,0,0,0
15181,185.0837555,5,0,0,0
1948,104.193573,0,0,0,0
32431,93.3651428,0,0,0,0
48968,71.550705,0,0,0,0
51752,212.3251495,0,0,0,0
24122,207.2714081,0,0,0,0
17669,222.2819824,0,0,0,0
22276,0.0038077,0,0,0,0
