"Subcatchment","X_Coord","Y_Coord"
1,629334.0398,2358927.6624
1,629339.0398,2358927.6624
1,629344.0398,2358927.6624
1,629349.0398,2358927.6624
1,629354.0398,2358927.6624
1,629359.0398,2358922.6624
1,629364.0398,2358917.6624
1,629369.0398,2358917.6624
1,629374.0398,2358917.6624
1,629379.0398,2358917.6624
1,629384.0398,2358917.6624
1,629389.0398,2358917.6624
1,629394.0398,2358917.6624
1,629399.0398,2358917.6624
1,629404.0398,2358917.6624
1,629409.0398,2358912.6624
1,629414.0398,2358907.6624
1,629419.0398,2358907.6624
1,629424.0398,2358907.6624
1,629429.0398,2358907.6624
1,629434.0398,2358907.6624
1,629439.0398,2358907.6624
1,629444.0398,2358907.6624
1,629449.0398,2358907.6624
1,629454.0398,2358907.6624
1,629459.0398,2358902.6624
1,629464.0398,2358897.6624
1,629469.0398,2358897.6624
1,629474.0398,2358897.6624
1,629479.0398,2358897.6624
1,629484.0398,2358897.6624
1,629489.0398,2358897.6624
1,629494.0398,2358897.6624
1,629499.0398,2358897.6624
1,629504.0398,2358897.6624
1,629509.0398,2358892.6624
1,629514.0398,2358887.6624
1,629519.0398,2358887.6624
1,629524.0398,2358887.6624
1,629529.0398,2358887.6624
1,629534.0398,2358887.6624
1,629539.0398,2358887.6624
1,629544.0398,2358887.6624
1,629549.0398,2358887.6624
1,629554.0398,2358887.6624
1,629559.0398,2358887.6624
1,629564.0398,2358887.6624
1,629569.0398,2358887.6624
1,629574.0398,2358887.6624
1,629579.0398,2358887.6624
1,629584.0398,2358887.6624
1,629589.0398,2358882.6624
1,629594.0398,2358877.6624
1,629599.0398,2358877.6624
1,629604.0398,2358877.6624
1,629609.0398,2358877.6624
1,629614.0398,2358877.6624
1,629619.0398,2358877.6624
1,629624.0398,2358877.6624
1,629629.0398,2358872.6624
1,629634.0398,2358867.6624
1,629639.0398,2358867.6624
1,629644.0398,2358867.6624
1,629649.0398,2358867.6624
1,629654.0398,2358867.6624
1,629659.0398,2358867.6624
1,629664.0398,2358867.6624
1,629669.0398,2358867.6624
1,629674.0398,2358867.6624
1,629679.0398,2358867.6624
1,629684.0398,2358867.6624
1,629689.0398,2358862.6624
1,629694.0398,2358857.6624
1,629699.0398,2358857.6624
1,629704.0398,2358857.6624
1,629709.0398,2358857.6624
1,629714.0398,2358857.6624
1,629719.0398,2358857.6624
1,629724.0398,2358857.6624
1,629729.0398,2358852.6624
1,629734.0398,2358847.6624
1,629739.0398,2358842.6624
1,629744.0398,2358837.6624
1,629749.0398,2358832.6624
1,629754.0398,2358827.6624
1,629759.0398,2358827.6624
1,629764.0398,2358827.6624
1,629769.0398,2358822.6624
1,629774.0398,2358817.6624
1,629779.0398,2358812.6624
1,629779.0398,2358807.6624
1,629779.0398,2358802.6624
1,629784.0398,2358797.6624
1,629789.0398,2358792.6624
1,629789.0398,2358787.6624
1,629789.0398,2358782.6624
1,629794.0398,2358777.6624
1,629799.0398,2358772.6624
1,629804.0398,2358767.6624
1,629809.0398,2358767.6624
1,629814.0398,2358767.6624
1,629819.0398,2358762.6624
1,629824.0398,2358757.6624
1,629829.0398,2358752.6624
1,629834.0398,2358747.6624
1,629839.0398,2358742.6624
1,629839.0398,2358737.6624
1,629834.0398,2358737.6624
1,629829.0398,2358732.6624
1,629824.0398,2358727.6624
1,629819.0398,2358722.6624
1,629814.0398,2358717.6624
1,629809.0398,2358712.6624
1,629809.0398,2358707.6624
1,629809.0398,2358702.6624
1,629804.0398,2358697.6624
1,629799.0398,2358692.6624
1,629799.0398,2358687.6624
1,629799.0398,2358682.6624
1,629794.0398,2358677.6624
1,629789.0398,2358672.6624
1,629789.0398,2358667.6624
1,629789.0398,2358662.6624
1,629789.0398,2358657.6624
1,629789.0398,2358652.6624
1,629784.0398,2358647.6624
1,629779.0398,2358642.6624
1,629779.0398,2358637.6624
1,629779.0398,2358632.6624
1,629774.0398,2358627.6624
1,629769.0398,2358622.6624
1,629764.0398,2358617.6624
1,629759.0398,2358612.6624
1,629759.0398,2358607.6624
1,629759.0398,2358602.6624
1,629754.0398,2358597.6624
1,629749.0398,2358592.6624
1,629749.0398,2358587.6624
1,629749.0398,2358582.6624
1,629749.0398,2358577.6624
1,629749.0398,2358572.6624
1,629744.0398,2358567.6624
1,629739.0398,2358562.6624
1,629734.0398,2358557.6624
1,629729.0398,2358552.6624
1,629724.0398,2358547.6624
1,629719.0398,2358542.6624
1,629719.0398,2358537.6624
1,629719.0398,2358532.6624
1,629714.0398,2358527.6624
1,629709.0398,2358522.6624
1,629709.0398,2358517.6624
1,629709.0398,2358512.6624
1,629704.0398,2358507.6624
1,629699.0398,2358507.6624
1,629694.0398,2358507.6624
1,629689.0398,2358502.6624
1,629684.0398,2358497.6624
1,629679.0398,2358492.6624
1,629674.0398,2358487.6624
1,629669.0398,2358482.6624
1,629664.0398,2358477.6624
1,629659.0398,2358472.6624
1,629654.0398,2358467.6624
1,629649.0398,2358462.6624
1,629644.0398,2358457.6624
1,629639.0398,2358452.6624
1,629634.0398,2358447.6624
1,629629.0398,2358442.6624
1,629629.0398,2358437.6624
1,629629.0398,2358432.6624
1,629629.0398,2358427.6624
1,629629.0398,2358422.6624
1,629629.0398,2358417.6624
1,629629.0398,2358412.6624
1,629629.0398,2358407.6624
1,629629.0398,2358402.6624
1,629629.0398,2358397.6624
1,629629.0398,2358392.6624
1,629624.0398,2358387.6624
1,629619.0398,2358382.6624
1,629614.0398,2358377.6624
1,629609.0398,2358372.6624
1,629604.0398,2358367.6624
1,629599.0398,2358362.6624
1,629594.0398,2358357.6624
1,629589.0398,2358352.6624
1,629584.0398,2358347.6624
1,629579.0398,2358342.6624
1,629579.0398,2358337.6624
1,629579.0398,2358332.6624
1,629574.0398,2358327.6624
1,629569.0398,2358322.6624
1,629569.0398,2358317.6624
1,629569.0398,2358312.6624
1,629564.0398,2358307.6624
1,629559.0398,2358302.6624
1,629559.0398,2358297.6624
1,629559.0398,2358292.6624
1,629559.0398,2358287.6624
1,629559.0398,2358282.6624
1,629559.0398,2358277.6624
1,629559.0398,2358272.6624
1,629554.0398,2358267.6624
1,629549.0398,2358262.6624
1,629544.0398,2358257.6624
1,629539.0398,2358252.6624
1,629534.0398,2358247.6624
1,629529.0398,2358242.6624
1,629524.0398,2358237.6624
1,629519.0398,2358232.6624
1,629514.0398,2358227.6624
1,629509.0398,2358222.6624
1,629509.0398,2358217.6624
1,629509.0398,2358212.6624
1,629509.0398,2358207.6624
1,629509.0398,2358202.6624
1,629504.0398,2358197.6624
1,629499.0398,2358192.6624
1,629499.0398,2358187.6624
1,629499.0398,2358182.6624
1,629494.0398,2358177.6624
1,629489.0398,2358172.6624
1,629484.0398,2358167.6624
1,629479.0398,2358162.6624
1,629474.0398,2358157.6624
1,629469.0398,2358152.6624
1,629464.0398,2358147.6624
1,629459.0398,2358142.6624
1,629459.0398,2358137.6624
1,629459.0398,2358132.6624
1,629459.0398,2358127.6624
1,629459.0398,2358122.6624
1,629454.0398,2358117.6624
1,629449.0398,2358112.6624
1,629449.0398,2358107.6624
1,629449.0398,2358102.6624
1,629449.0398,2358097.6624
1,629449.0398,2358092.6624
1,629449.0398,2358087.6624
1,629449.0398,2358082.6624
1,629449.0398,2358077.6624
1,629449.0398,2358072.6624
1,629444.0398,2358067.6624
1,629439.0398,2358062.6624
1,629434.0398,2358057.6624
1,629429.0398,2358052.6624
1,629424.0398,2358047.6624
1,629419.0398,2358042.6624
1,629414.0398,2358037.6624
1,629409.0398,2358032.6624
1,629404.0398,2358027.6624
1,629399.0398,2358022.6624
1,629394.0398,2358017.6624
1,629389.0398,2358012.6624
1,629384.0398,2358007.6624
1,629379.0398,2358002.6624
1,629374.0398,2357997.6624
1,629369.0398,2357992.6624
1,629364.0398,2357987.6624
1,629359.0398,2357982.6624
1,629354.0398,2357977.6624
1,629349.0398,2357972.6624
1,629349.0398,2357967.6624
1,629349.0398,2357962.6624
1,629344.0398,2357957.6624
1,629339.0398,2357952.6624
1,629334.0398,2357947.6624
