"Nodes","Elevation","MaxDepth","InitDepth","SurDepth","Aponded"
0,686.6719971,0,0,0,0
1,692.3120117,0,0,0,0
2,701.3499756,0,0,0,0
3,733.7609863,0,0,0,0
4,754.6240234,0,0,0,0
5,774.9089966,0,0,0,0
6,780.2379761,0,0,0,0
7,787.2579956,0,0,0,0
8,793.3060303,0,0,0,0
9,798.7440186,0,0,0,0
10,811.6339722,0,0,0,0
11,823.9130249,0,0,0,0
12,829.6729736,0,0,0,0
13,858.9290161,0,0,0,0
14,887.9110107,0,0,0,0
15,893.9559937,0,0,0,0
16,907.4630127,0,0,0,0
17,937.8930054,0,0,0,0
18,976.565979,0,0,0,0
19,984.0029907,0,0,0,0
20,993.1079712,0,0,0,0
21,1020.5200195,0,0,0,0
22,1069.8299561,0,0,0,0
23,1084.2600098,0,0,0,0
24,1102.5400391,0,0,0,0
25,1157.4200439,0,0,0,0
26,1185.7800293,0,0,0,0
27,1208.4000244,0,0,0,0
28,1229.1199951,0,0,0,0
29,1248.0300293,0,0,0,0
30,1268.9899902,0,0,0,0
31,1385.4699707,0,0,0,0
32,1396.9300537,0,0,0,0
33,1403.4000244,0,0,0,0
34,1419.4499512,0,0,0,0
35,1435.3399658,0,0,0,0
36,1445.5200195,0,0,0,0
37,1457.6600342,0,0,0,0
38,1480.1999512,0,0,0,0
39,1550.0999756,0,0,0,0
40,1570.9799805,0,0,0,0
41,1597.8100586,0,0,0,0
42,1610.8399658,0,0,0,0
43,1626.4100342,0,0,0,0
44,1635.1700439,0,0,0,0
45,1636.0899658,0,0,0,0
46,1636.4699707,0,0,0,0
47,1637.0699463,0,0,0,0
48,1647.8000488,0,0,0,0
49,1653.2700195,0,0,0,0
50,1657.3000488,0,0,0,0
51,1661.1099854,0,0,0,0
52,1663.4599609,0,0,0,0
53,1676.3299561,0,0,0,0
54,1683.5799561,0,0,0,0
55,1685.3499756,0,0,0,0
56,1699.4399414,0,0,0,0
57,1723.4799805,0,0,0,0
58,1746.5100098,0,0,0,0
59,1777.6400146,0,0,0,0
60,1785.7099609,0,0,0,0
61,1811.7900391,0,0,0,0
62,1818.3599854,0,0,0,0
63,1841.6800537,0,0,0,0
64,686.6719971,0,0,0,0
65,692.8920288,0,0,0,0
66,698.8179932,0,0,0,0
67,703.5570068,0,0,0,0
68,709.664978,0,0,0,0
69,718.8380127,0,0,0,0
70,721.7880249,0,0,0,0
71,726.348999,0,0,0,0
72,735.3330078,0,0,0,0
73,740.8519897,0,0,0,0
74,746.4290161,0,0,0,0
75,746.7459717,0,0,0,0
76,747.0800171,0,0,0,0
77,750.6119995,0,0,0,0
78,770.3469849,0,0,0,0
79,780.71698,0,0,0,0
80,785.8560181,0,0,0,0
81,790.6879883,0,0,0,0
82,794.6060181,0,0,0,0
83,829.3369751,0,0,0,0
84,839.2369995,0,0,0,0
85,842.3690186,0,0,0,0
86,844.1530151,0,0,0,0
87,849.8070068,0,0,0,0
88,877.1970215,0,0,0,0
89,879.2189941,0,0,0,0
90,888.7600098,0,0,0,0
91,901.8930054,0,0,0,0
92,954.1500244,0,0,0,0
93,953.9580078,0,0,0,0
94,957.3989868,0,0,0,0
95,963.5360107,0,0,0,0
96,978.7119751,0,0,0,0
97,989.5289917,0,0,0,0
98,996.2130127,0,0,0,0
99,1017.4299927,0,0,0,0
100,1024.4300537,0,0,0,0
101,1030.3699951,0,0,0,0
102,1037.9000244,0,0,0,0
103,1044.7199707,0,0,0,0
104,1049.7600098,0,0,0,0
105,1073.5100098,0,0,0,0
106,1080.9300537,0,0,0,0
107,1087.6199951,0,0,0,0
108,1120.3499756,0,0,0,0
109,1124.8199463,0,0,0,0
110,1126.1400146,0,0,0,0
111,1142.4399414,0,0,0,0
112,1144.3299561,0,0,0,0
113,1151.5699463,0,0,0,0
114,1158.7900391,0,0,0,0
115,1178.9899902,0,0,0,0
116,1210.7600098,0,0,0,0
117,1236.7199707,0,0,0,0
118,1269.8499756,0,0,0,0
119,1290.2600098,0,0,0,0
120,1344.2399902,0,0,0,0
121,1358.3199463,0,0,0,0
122,1384.9799805,0,0,0,0
123,1435.0999756,0,0,0,0
124,1453.6600342,0,0,0,0
125,1476.6600342,0,0,0,0
126,1487.4399414,0,0,0,0
127,1502.7199707,0,0,0,0
128,1510.5400391,0,0,0,0
129,1533.8299561,0,0,0,0
130,1537.4499512,0,0,0,0
131,1551.6300049,0,0,0,0
132,1558.0699463,0,0,0,0
133,1563.0600586,0,0,0,0
134,1577.7199707,0,0,0,0
135,1600.7099609,0,0,0,0
136,1618.4200439,0,0,0,0
137,1627.8100586,0,0,0,0
138,1650.2399902,0,0,0,0
139,1662.25,0,0,0,0
140,1668.9300537,0,0,0,0
