"Name","Type","Geom1","Geom2","Geom3","Geom4","Barrels","Culvert"
"380_1","Trapezoidal",1,1,0,0,1,0
"380_10","Trapezoidal",1,1,0,0,1,0
"380_11","Trapezoidal",1,1,0,0,1,0
"380_12","Trapezoidal",1,1,0,0,1,0
"380_13","Trapezoidal",1,1,0,0,1,0
"380_14","Trapezoidal",1,1,0,0,1,0
"380_15","Trapezoidal",1,1,0,0,1,0
"380_16","Trapezoidal",1,1,0,0,1,0
"380_17","Trapezoidal",1,1,0,0,1,0
"380_18","Trapezoidal",1,1,0,0,1,0
"380_19","Trapezoidal",1,1,0,0,1,0
"380_2","Trapezoidal",1,1,0,0,1,0
"380_20","Trapezoidal",1,1,0,0,1,0
"380_21","Trapezoidal",1,1,0,0,1,0
"380_22","Trapezoidal",1,1,0,0,1,0
"380_23","Trapezoidal",1,1,0,0,1,0
"380_24","Trapezoidal",1,1,0,0,1,0
"380_25","Trapezoidal",1,1,0,0,1,0
"380_26","Trapezoidal",1,1,0,0,1,0
"380_27","Trapezoidal",1,1,0,0,1,0
"380_28","Trapezoidal",1,1,0,0,1,0
"380_29","Trapezoidal",1,1,0,0,1,0
"380_3","Trapezoidal",1,1,0,0,1,0
"380_30","Trapezoidal",1,1,0,0,1,0
"380_31","Trapezoidal",1,1,0,0,1,0
"380_32","Trapezoidal",1,1,0,0,1,0
"380_33","Trapezoidal",1,1,0,0,1,0
"380_34","Trapezoidal",1,1,0,0,1,0
"380_35","Trapezoidal",1,1,0,0,1,0
"380_36","Trapezoidal",1,1,0,0,1,0
"380_37","Trapezoidal",1,1,0,0,1,0
"380_38","Trapezoidal",1,1,0,0,1,0
"380_39","Trapezoidal",1,1,0,0,1,0
"380_4","Trapezoidal",1,1,0,0,1,0
"380_40","Trapezoidal",1,1,0,0,1,0
"380_41","Trapezoidal",1,1,0,0,1,0
"380_42","Trapezoidal",1,1,0,0,1,0
"380_43","Trapezoidal",1,1,0,0,1,0
"380_44","Trapezoidal",1,1,0,0,1,0
"380_45","Trapezoidal",1,1,0,0,1,0
"380_46","Trapezoidal",1,1,0,0,1,0
"380_47","Trapezoidal",1,1,0,0,1,0
"380_48","Trapezoidal",1,1,0,0,1,0
"380_49","Trapezoidal",1,1,0,0,1,0
"380_5","Trapezoidal",1,1,0,0,1,0
"380_50","Trapezoidal",1,1,0,0,1,0
"380_51","Trapezoidal",1,1,0,0,1,0
"380_52","Trapezoidal",1,1,0,0,1,0
"380_53","Trapezoidal",1,1,0,0,1,0
"380_54","Trapezoidal",1,1,0,0,1,0
"380_55","Trapezoidal",1,1,0,0,1,0
"380_56","Trapezoidal",1,1,0,0,1,0
"380_57","Trapezoidal",1,1,0,0,1,0
"380_58","Trapezoidal",1,1,0,0,1,0
"380_59","Trapezoidal",1,1,0,0,1,0
"380_6","Trapezoidal",1,1,0,0,1,0
"380_60","Trapezoidal",1,1,0,0,1,0
"380_61","Trapezoidal",1,1,0,0,1,0
"380_62","Trapezoidal",1,1,0,0,1,0
"380_63","Trapezoidal",1,1,0,0,1,0
"380_7","Trapezoidal",1,1,0,0,1,0
"380_8","Trapezoidal",1,1,0,0,1,0
"380_9","Trapezoidal",1,1,0,0,1,0
"381_1","Trapezoidal",1,1,0,0,1,0
"381_10","Trapezoidal",1,1,0,0,1,0
"381_11","Trapezoidal",1,1,0,0,1,0
"381_12","Trapezoidal",1,1,0,0,1,0
"381_13","Trapezoidal",1,1,0,0,1,0
"381_14","Trapezoidal",1,1,0,0,1,0
