"Subcatchment","N_Imperv","N_Perv","S_Imperv","S_Perv","PctZero","RouteTo"
1,0.01,0.1,0.05,0.05,25,"OUTLET"
2,0.01,0.1,0.05,0.05,25,"OUTLET"
3,0.01,0.1,0.05,0.05,25,"OUTLET"
4,0.01,0.1,0.05,0.05,25,"OUTLET"
5,0.01,0.1,0.05,0.05,25,"OUTLET"
6,0.01,0.1,0.05,0.05,25,"OUTLET"
7,0.01,0.1,0.05,0.05,25,"OUTLET"
8,0.01,0.1,0.05,0.05,25,"OUTLET"
9,0.01,0.1,0.05,0.05,25,"OUTLET"
10,0.01,0.1,0.05,0.05,25,"OUTLET"
11,0.01,0.1,0.05,0.05,25,"OUTLET"
12,0.01,0.1,0.05,0.05,25,"OUTLET"
13,0.01,0.1,0.05,0.05,25,"OUTLET"
14,0.01,0.1,0.05,0.05,25,"OUTLET"
