"Name","Rain_gage","Outlet","Area","Imperv","Width","Slope","CurbLen"
1,"R1","O1",10636745.3080812,7,4891.94480196,97.9011357691,0
2,"R1","O1",13418135.4594672,3,6769.34595567,94.2119222654,0
3,"R1","O1",13766751.0621828,4,9110.68109219,89.5632373154,0
4,"R1","O1",3606846.26237892,1,3558.9801564,117.625363923,0
5,"R1","O1",8185941.2266236,1,4206.58946291,70.2690832802,0
6,"R1","O1",14213721.758544,13,5300.31529293,67.3418817863,0
7,"R1","O1",5004268.7748768,52,4317.38636074,29.6432307056,0
8,"R1","O1",7128523.2293748,52,5261.65042945,59.1994928671,0
9,"R1","O1",6812737.4792268,45,4564.33549546,53.1342342883,0
10,"R1","O1",2514311.04559932,63,2222.58405333,36.5987294551,0
11,"R1","O1",2881494.3715668,45,4462.15295477,43.6221934671,0
12,"R1","O1",4358166.0571548,51,4169.51839509,21.6570361242,0
13,"R1","O1",3291598.71746244,43,2974.62986798,23.6644601083,0
14,"R1","O1",146254.4070075,43,675.477272148,54.5162761913,0
