"Name","Shapes","Geom1","Geom2","Geom3","Geom4","Barrels","Culvert"
3002,"Circular",1,1,0,0,1,0
3003,"Circular",1,1,0,0,1,0
3004,"Circular",1,1,0,0,1,0
3005,"Circular",1,1,0,0,1,0
3013,"Circular",1,1,0,0,1,0
3014,"Circular",1,1,0,0,1,0
3015,"Circular",1,1,0,0,1,0
3084,"Circular",1,1,0,0,1,0
3085,"Circular",1,1,0,0,1,0
3086,"Circular",1,1,0,0,1,0
3087,"Circular",1,1,0,0,1,0
3088,"Circular",1,1,0,0,1,0
3089,"Circular",1,1,0,0,1,0
3090,"Circular",1,1,0,0,1,0
3104,"Circular",1,1,0,0,1,0
3105,"Circular",1,1,0,0,1,0
3124,"Circular",1,1,0,0,1,0
3125,"Circular",1,1,0,0,1,0
3163,"Circular",1,1,0,0,1,0
3164,"Circular",1,1,0,0,1,0
3175,"Circular",1,1,0,0,1,0
3176,"Circular",1,1,0,0,1,0
3177,"Circular",1,1,0,0,1,0
3178,"Circular",1,1,0,0,1,0
3200,"Circular",1,1,0,0,1,0
3201,"Circular",1,1,0,0,1,0
3202,"Circular",1,1,0,0,1,0
3203,"Circular",1,1,0,0,1,0
3204,"Circular",1,1,0,0,1,0
3205,"Circular",1,1,0,0,1,0
3206,"Circular",1,1,0,0,1,0
3207,"Circular",1,1,0,0,1,0
3208,"Circular",1,1,0,0,1,0
3209,"Circular",1,1,0,0,1,0
3250,"Circular",1,1,0,0,1,0
3251,"Circular",1,1,0,0,1,0
3253,"Circular",1,1,0,0,1,0
3254,"Circular",1,1,0,0,1,0
3324,"Circular",1,1,0,0,1,0
3325,"Circular",1,1,0,0,1,0
3327,"Circular",1,1,0,0,1,0
3363,"Circular",1,1,0,0,1,0
3375,"Circular",1,1,0,0,1,0
3376,"Circular",1,1,0,0,1,0
3485,"Circular",1,1,0,0,1,0
3486,"Circular",1,1,0,0,1,0
3510,"Circular",1,1,0,0,1,0
3511,"Circular",1,1,0,0,1,0
3512,"Circular",1,1,0,0,1,0
3513,"Circular",1,1,0,0,1,0
3514,"Circular",1,1,0,0,1,0
3515,"Circular",1,1,0,0,1,0
3516,"Circular",1,1,0,0,1,0
3517,"Circular",1,1,0,0,1,0
3518,"Circular",1,1,0,0,1,0
3519,"Circular",1,1,0,0,1,0
3540,"Circular",1,1,0,0,1,0
3547,"Circular",1,1,0,0,1,0
3822,"Circular",1,1,0,0,1,0
3823,"Circular",1,1,0,0,1,0
3824,"Circular",1,1,0,0,1,0
3911,"Circular",1,1,0,0,1,0
4178,"Circular",1,1,0,0,1,0
4179,"Circular",1,1,0,0,1,0
4325,"Circular",1,1,0,0,1,0
4326,"Circular",1,1,0,0,1,0
4327,"Circular",1,1,0,0,1,0
4329,"Circular",1,1,0,0,1,0
4330,"Circular",1,1,0,0,1,0
4331,"Circular",1,1,0,0,1,0
4478,"Circular",1,1,0,0,1,0
4479,"Circular",1,1,0,0,1,0
4506,"Circular",1,1,0,0,1,0
4507,"Circular",1,1,0,0,1,0
4508,"Circular",1,1,0,0,1,0
4521,"Circular",1,1,0,0,1,0
4522,"Circular",1,1,0,0,1,0
4523,"Circular",1,1,0,0,1,0
4524,"Circular",1,1,0,0,1,0
4525,"Circular",1,1,0,0,1,0
4526,"Circular",1,1,0,0,1,0
4527,"Circular",1,1,0,0,1,0
4632,"Circular",1,1,0,0,1,0
4633,"Circular",1,1,0,0,1,0
4634,"Circular",1,1,0,0,1,0
4651,"Circular",1,1,0,0,1,0
4790,"Circular",1,1,0,0,1,0
4838,"Circular",1,1,0,0,1,0
4849,"Circular",1,1,0,0,1,0
4951,"Circular",1,1,0,0,1,0
4952,"Circular",1,1,0,0,1,0
4953,"Circular",1,1,0,0,1,0
4954,"Circular",1,1,0,0,1,0
4955,"Circular",1,1,0,0,1,0
4956,"Circular",1,1,0,0,1,0
