"name","from_node","to_node","length","roughness","inoffset","outoffset","initflow","maxflow"
"1_3013",1,2,51.8972288340196,0.01,0,0,0,0
"10_3085",10,11,75.7790056351565,0.01,0,0,0,0
"1001_33053",1001,1002,53.1409769640157,0.01,0,0,0,0
"1003_33267",1003,1004,53.9312897235005,0.01,0,0,0,0
"1005_33268",1005,1006,26.2864570867274,0.01,0,0,0,0
"1006_33268",1006,1007,66.5540897715307,0.01,0,0,0,0
"1007_33268",1007,1008,48.7811180679643,0.01,0,0,0,0
"1009_34492",1009,1010,39.5605139718363,0.01,0,0,0,0
"101_3518",101,102,35.1328454652386,0.01,0,0,0,0
"1011_34497",1011,1012,141.486052543381,0.01,0,0,0,0
"1013_34599",1013,1014,154.723083787072,0.01,0,0,0,0
"1015_34648",1015,1016,119.660763244607,0.01,0,0,0,0
"1017_34774",1017,1018,78.0720671764989,0.01,0,0,0,0
"1018_34774",1018,1019,119.57698864217,0.01,0,0,0,0
"1019_34774",1019,1020,120.796467330344,0.01,0,0,0,0
"1020_34774",1020,1021,15.9984930123622,0.01,0,0,0,0
"1022_34799",1022,1023,21.5275890995667,0.01,0,0,0,0
"1024_34818",1024,1025,213.01692386411,0.01,0,0,0,0
"1026_34819",1026,1027,140.071846722369,0.01,0,0,0,0
"1028_34874",1028,1029,97.1567203505436,0.64,0,0,0,0
"103_3519",103,104,18.8555073175479,0.01,0,0,0,0
"1030_34895",1030,1031,290.317975129374,0.01,0,0,0,0
"1032_34896",1032,1033,47.9577033846038,0.01,0,0,0,0
"1034_34897",1034,1035,110.861685251687,0.01,0,0,0,0
"1036_34920",1036,1037,28.4924053551176,0.01,0,0,0,0
"1038_34921",1038,1039,18.8234429320848,0.01,0,0,0,0
"1040_34922",1040,1041,18.837321695145,0.01,0,0,0,0
"1042_34968",1042,1043,32.0456369420251,0.01,0,0,0,0
"1044_34994",1044,1045,62.1720393162361,0.01,0,0,0,0
"1046_34995",1046,1047,41.2170122399299,0.01,0,0,0,0
"1048_35013",1048,1049,202.25470820331,0.01,0,0,0,0
"105_3540",105,106,36.391176462948,0.01,0,0,0,0
"1050_35035",1050,1051,21.8201061556432,0.01,0,0,0,0
"1051_35035",1051,1052,30.9906005395292,0.01,0,0,0,0
"1053_35043",1053,1054,128.318086557499,0.01,0,0,0,0
"1055_35251",1055,1056,174.035119452985,0.35,0,0,0,0
"1057_35252",1057,1058,103.10962167725,0.01,0,0,0,0
"1059_35270",1059,1060,40.1559077432297,0.71,0,0,0,0
"1061_35288",1061,1062,100.812828301078,0.98,0,0,0,0
"1063_35480",1063,1064,78.7293358029809,0.01,0,0,0,0
"1065_35481",1065,1066,10.6879560991746,0.01,0,0,0,0
"1067_35763",1067,1068,503.034010047018,0.01,0,0,0,0
"1069_35764",1069,1070,12.7496512424109,0.01,0,0,0,0
"107_3822",107,108,135.893045750301,0.01,0,0,0,0
"1071_35765",1071,1072,18.7794933024753,0.01,0,0,0,0
"1072_35765",1072,1073,49.2877064484391,0.01,0,0,0,0
"1073_35765",1073,1074,46.0279258528889,0.01,0,0,0,0
"1074_35765",1074,1075,37.5141306526693,0.01,0,0,0,0
"1076_35766",1076,1077,143.040380612397,0.01,0,0,0,0
"1078_35784",1078,1079,101.56458776371,0.01,0,0,0,0
"1079_35784",1079,1080,17.2128120781781,0.01,0,0,0,0
"1080_35784",1080,1081,17.471296819442,0.01,0,0,0,0
"1082_35928",1082,1083,21.1539220020601,0.01,0,0,0,0
"1084_35955",1084,1085,204.498964385526,0.01,0,0,0,0
"1086_35965",1086,1087,82.514626988897,0.01,0,0,0,0
"1087_35965",1087,1088,28.9974336391267,0.01,0,0,0,0
"1088_35965",1088,1089,128.532317840139,0.01,0,0,0,0
"1089_35965",1089,1090,37.058043587106,0.01,0,0,0,0
"109_3823",109,110,59.3420992861694,0.01,0,0,0,0
"1090_35965",1090,1091,21.0929502496925,0.01,0,0,0,0
"1092_36263",1092,1093,65.5679675627256,0.01,0,0,0,0
"1094_36264",1094,1095,46.8342679058165,0.01,0,0,0,0
"1096_36265",1096,1097,164.937907616422,0.01,0,0,0,0
"1098_36266",1098,1099,59.7416550804547,0.01,0,0,0,0
"1100_36273",1100,1101,62.1677102552953,0.01,0,0,0,0
"1102_36274",1102,1103,54.2153141809738,0.01,0,0,0,0
"1104_36287",1104,1105,15.7587009626686,0.01,0,0,0,0
"1105_36287",1105,1106,45.3631489658798,0.01,0,0,0,0
"1106_36287",1106,1107,48.3252610931454,0.01,0,0,0,0
"1108_36288",1108,1109,92.3770348938259,0.01,0,0,0,0
"111_3824",111,112,73.1939154382886,0.01,0,0,0,0
"1110_36436",1110,1111,77.7839702181969,0.01,0,0,0,0
"1112_36437",1112,1113,4.8949984283182,0.01,0,0,0,0
"1113_36437",1113,1114,42.2386884073412,0.01,0,0,0,0
"1115_36445",1115,1116,91.1157217929034,0.01,0,0,0,0
"1117_36487",1117,1118,32.2568607791956,0.01,0,0,0,0
"1119_36488",1119,1120,18.0400104322508,0.01,0,0,0,0
"1121_36553",1121,1122,41.6598000442004,0.01,0,0,0,0
"1123_36584",1123,1124,119.912048122226,0.01,0,0,0,0
"1125_36587",1125,1126,296.013416643406,0.01,0,0,0,0
"1127_36636",1127,1128,42.3504572307674,0.01,0,0,0,0
