Name          ,FromNode       ,ToNode         ,Length    ,Roughness ,InOffset  ,OutOffset ,InitFlow  ,MaxFlow   
42767,17133,58547,290.7379707,1.18,0,0,0,0
47614,43117,39460,378.1901465,0.51,0,0,0,0
22165,24552,18111,181.1368956,1.18,0,0,0,0
52454,1948,54778,144.5391014,1.18,0,0,0,0
35013,41154,38411,209.9294371,1.18,0,0,0,0
55814,41074,47476,160.6212692,1.18,0,0,0,0
19790,26932,59090,471.3489973,1.18,0,0,0,0
6606,9678,7795,171.3679096,1.18,0,0,0,0
56154,39303,41143,250.9911976,1.18,0,0,0,0
41765,18052,2659,110.2159636,1.18,0,0,0,0
3517,38313,57545,251.9551183,1.18,0,0,0,0
30851,16198,33692,192.3562139,1.18,0,0,0,0
27362,2649,2653,198.4749281,1.18,0,0,0,0
5882,35643,13349,180.2999102,1.18,0,0,0,0
3090,35589,2650,107.9491547,1.18,0,0,0,0
34899,7807,39303,256.3643055,1.18,0,0,0,0
5862,16194,34711,150.0767796,1.18,0,0,0,0
32360,35529,30602,166.5930269,1.18,0,0,0,0
4957,54815,2635,236.5295043,1.18,0,0,0,0
52311,58435,28121,103.9315028,1.18,0,0,0,0
56584,44023,29295,207.3843031,1.48,0,0,0,0
4329,33693,14268,101.6367297,1.18,0,0,0,0
52051,13358,58562,221.2052562,1.18,0,0,0,0
7207,18108,15276,114.266598,1.18,0,0,0,0
10835,29295,11720,128.1010465,1.08,0,0,0,0
54472,50337,44799,139.7962898,1.18,0,0,0,0
6596,46590,19954,225.0490438,1.18,0,0,0,0
50802,36588,17119,224.906953,1.18,0,0,0,0
7848,54877,2856,147.1264688,1.18,0,0,0,0
3005,33692,35589,105.1272114,1.18,0,0,0,0
5464,55704,43754,104.559093,1.18,0,0,0,0
10837,55040,4398,131.0837256,0.59,0,0,0,0
22266,13349,11564,152.4275024,1.18,0,0,0,0
32704,31903,34639,165.3412216,1.18,0,0,0,0
35252,53274,43119,106.5488016,1.18,0,0,0,0
34895,53970,55821,291.0317372,1.18,0,0,0,0
31691,4396,11720,89.9473809,0.48,0,0,0,0
4330,32786,50249,246.6551991,1.18,0,0,0,0
50804,25351,23612,194.5674218,1.18,0,0,0,0
38446,45713,13358,141.3664986,1.18,0,0,0,0
41838,10674,47569,104.7458634,1.18,0,0,0,0
5881,28215,35643,159.1511656,1.18,0,0,0,0
7784,3224,18110,185.7856288,1.18,0,0,0,0
12496,20265,15181,139.8914378,1.18,0,0,0,0
18155,52745,20513,67.3593585,1.18,0,0,0,0
31353,44800,31983,175.2223706,1.18,0,0,0,0
6605,27331,28217,147.7844005,1.18,0,0,0,0
43804,50323,45713,151.1860972,1.18,0,0,0,0
3163,42912,44719,110.8597068,1.18,0,0,0,0
10798,57775,49508,122.1741911,0.26,0,0,0,0
29513,36634,16237,152.7374566,1.18,0,0,0,0
11114,35869,22878,204.9197511,0.8,0,0,0,0
29903,55993,47746,143.1804778,0.34,0,0,0,0
42022,54869,49343,100.7348785,1.18,0,0,0,0
10831,24708,43119,171.1704781,1.19,0,0,0,0
44852,41974,2655,192.6400045,1.18,0,0,0,0
52298,45639,43810,108.2071716,1.18,0,0,0,0
52309,45589,39190,120.5380324,1.18,0,0,0,0
35251,22842,43118,173.4572025,0.35,0,0,0,0
47271,2654,33693,84.80038362,1.18,0,0,0,0
25658,22621,7725,135.1918436,1.18,0,0,0,0
56087,14328,23611,154.2809195,1.18,0,0,0,0
41480,30092,23650,134.716357,1.18,0,0,0,0
3823,34619,48395,62.44101041,1.18,0,0,0,0
33052,27330,55822,150.0315838,1.18,0,0,0,0
29889,51448,55994,142.305151,0.48,0,0,0,0
29608,32856,14343,162.5744564,1.18,0,0,0,0
23714,2656,13308,85.9611712,1.18,0,0,0,0
8522,7802,53132,85.77979077,1.18,0,0,0,0
54165,2567,41955,231.7043146,1.18,0,0,0,0
52284,14268,2649,114.5591667,1.18,0,0,0,0
56092,23612,55837,123.5481719,1.18,0,0,0,0
4634,43897,24552,99.50441838,1.18,0,0,0,0
36647,14352,18109,85.01189418,1.18,0,0,0,0
29108,50471,4397,91.73553843,1.32,0,0,0,0
48810,28121,52998,58.05616319,1.18,0,0,0,0
20592,57626,53147,118.9205969,1.18,0,0,0,0
22224,44655,26301,149.2694775,1.18,0,0,0,0
3824,48395,50229,73.27726346,1.18,0,0,0,0
36587,58547,48465,297.0059802,1.18,0,0,0,0
3254,57492,46468,232.3089534,1.18,0,0,0,0
48827,2564,33679,167.0666327,1.18,0,0,0,0
54146,26447,3228,155.7155483,1.18,0,0,0,0
24067,2651,23546,125.7981407,1.18,0,0,0,0
45215,50229,27265,154.1591858,1.18,0,0,0,0
27587,32855,17133,345.3732058,1.18,0,0,0,0
50935,36606,18107,144.7098782,1.18,0,0,0,0
3002,2648,18959,150.372439,1.18,0,0,0,0
8521,7803,7802,110.8405259,1.18,0,0,0,0
20195,9621,8771,113.2939386,1.18,0,0,0,0
26298,11720,50471,84.70996682,1.28,0,0,0,0
29890,15487,28430,129.9668773,0.29,0,0,0,0
23758,9612,2567,168.0226408,1.18,0,0,0,0
46798,2866,7807,153.0839127,1.18,0,0,0,0
7785,39313,52221,221.9741645,1.18,0,0,0,0
38100,27265,30935,142.2531105,1.18,0,0,0,0
31185,34711,56701,71.68831294,1.18,0,0,0,0
34819,36587,28215,141.1766279,1.18,0,0,0,0
40090,11563,14328,150.8986995,1.18,0,0,0,0
25810,2658,18052,70.75416152,1.18,0,0,0,0
56601,13571,4780,145.1633241,0.41,0,0,0,0
41669,32787,42912,78.02943274,1.18,0,0,0,0
37426,40739,52745,44.76116886,1.18,0,0,0,0
31466,54921,28257,69.10757572,1.18,0,0,0,0
5837,14326,3105,183.3215308,1.18,0,0,0,0
3177,47476,51141,54.73958811,1.18,0,0,0,0
6327,18100,16198,134.8155706,1.18,0,0,0,0
36030,12990,24151,43.54971546,1.18,0,0,0,0
8294,32006,57649,65.46012069,1.18,0,0,0,0
6286,55819,25491,193.2963588,1.18,0,0,0,0
57140,15180,54468,171.3200779,1.18,0,0,0,0
7297,33771,27354,80.19393959,1.18,0,0,0,0
23953,47744,49564,216.216038,0.71,0,0,0,0
29206,33680,12374,104.6319798,1.18,0,0,0,0
43745,2653,13307,156.7655627,1.18,0,0,0,0
45142,43810,41074,60.27107012,1.18,0,0,0,0
39999,42902,21694,68.55809851,1.18,0,0,0,0
56140,7806,29154,176.2792792,1.18,0,0,0,0
8524,38395,25499,80.71156438,1.18,0,0,0,0
25565,52143,45640,150.05831,1.18,0,0,0,0
36733,57648,24582,113.5026408,1.18,0,0,0,0
3125,40222,3225,41.8012992,1.18,0,0,0,0
24131,41136,55819,121.5839988,1.18,0,0,0,0
47736,55994,4778,98.45441243,0.54,0,0,0,0
36820,50356,25527,138.3879742,1.18,0,0,0,0
36584,3099,11563,119.0071138,1.18,0,0,0,0
32984,55837,55820,155.8557323,1.18,0,0,0,0
32761,54778,8661,90.50844108,1.18,0,0,0,0
3014,25419,32776,80.92081848,1.18,0,0,0,0
5076,41954,50232,81.39317328,1.18,0,0,0,0
49485,39460,49508,122.7165798,1.36,0,0,0,0
42141,47746,40420,131.4257983,1.02,0,0,0,0
8635,29339,15494,194.4704598,0.36,0,0,0,0
41682,30935,14254,183.3498986,1.18,0,0,0,0
5470,45640,2648,105.7278769,1.18,0,0,0,0
56088,24527,14326,193.5298925,1.18,0,0,0,0
18482,49343,26420,65.12968377,1.18,0,0,0,0
43866,49364,32865,114.8642892,1.18,0,0,0,0
7298,27354,21774,70.35088579,1.18,0,0,0,0
41839,50357,57649,103.2947839,1.18,0,0,0,0
38948,49508,4396,54.8775027,0.76,0,0,0,0
5884,31958,10630,98.16227906,1.18,0,0,0,0
3204,18889,31846,130.7334283,1.18,0,0,0,0
40091,47528,53122,246.8339049,1.18,0,0,0,0
7301,32005,38430,67.46851612,1.18,0,0,0,0
41490,19981,22689,72.10392177,1.18,0,0,0,0
27372,16205,39312,34.83727031,1.18,0,0,0,0
20894,55995,21062,87.66317393,1.07,0,0,0,0
52997,45015,55994,123.1677445,0.56,0,0,0,0
55966,34639,13309,119.403373,1.18,0,0,0,0
38535,22689,20883,75.68514721,1.18,0,0,0,0
4331,14270,22621,155.5286499,1.18,0,0,0,0
4633,18110,34727,113.41973,1.18,0,0,0,0
38286,45703,25351,167.1333563,1.18,0,0,0,0
27469,8771,43897,53.28781822,1.18,0,0,0,0
38037,25418,24463,93.36764266,1.18,0,0,0,0
6270,57518,16091,41.55088492,1.18,0,0,0,0
29279,40250,18889,102.7502197,1.18,0,0,0,0
41491,11608,30093,63.28504055,1.18,0,0,0,0
22161,40133,2571,219.3489289,1.18,0,0,0,0
31186,53969,36589,60.70600004,1.18,0,0,0,0
46797,50322,29155,202.1486211,1.18,0,0,0,0
6609,29155,15269,145.2617884,1.18,0,0,0,0
20548,45717,16210,57.42928209,1.18,0,0,0,0
4952,8685,55758,58.09065997,1.18,0,0,0,0
23721,41973,2645,121.3398313,1.18,0,0,0,0
5074,38312,2566,214.3049264,1.18,0,0,0,0
47397,25491,20862,165.0728044,1.18,0,0,0,0
36273,21694,2569,60.76498922,1.18,0,0,0,0
4849,33758,33750,121.5578363,1.18,0,0,0,0
33054,47537,2866,172.2283545,1.18,0,0,0,0
24581,58765,40419,85.49531897,2.3,0,0,0,0
52050,41143,18100,108.0405855,1.18,0,0,0,0
55935,51141,3228,42.26186039,1.18,0,0,0,0
39863,2644,41973,134.4976731,1.18,0,0,0,0
27732,16210,33771,83.01742578,1.18,0,0,0,0
51036,57649,28257,168.9518942,1.18,0,0,0,0
3013,32776,13293,52.82007626,1.18,0,0,0,0
52451,14256,41954,91.68442312,1.18,0,0,0,0
21012,31009,10643,197.8756918,1.18,0,0,0,0
22317,28217,22675,65.13858334,1.18,0,0,0,0
3175,2645,2646,224.2766057,1.18,0,0,0,0
29444,30055,35652,129.3358412,1.18,0,0,0,0
20457,58562,46619,98.72725861,1.18,0,0,0,0
