"name","elevation","maxdepth","initdepth","surdepth","aponded"
1,264.772644,0,0,0,0
2,273.1550293,0,0,0,0
3,273.1550293,0,0,0,0
4,285.7871094,0,0,0,0
5,5.4136391,0,0,0,0
6,3.962285,0,0,0,0
7,2.7356467,0,0,0,0
8,72.1164398,0,0,0,0
9,76.5384521,0,0,0,0
10,147.5464783,0,0,0,0
11,150.5502472,0,0,0,0
12,36.3805161,0,0,0,0
13,35.0333557,0,0,0,0
14,76.5384521,0,0,0,0
15,70.3286743,0,0,0,0
16,15.6862869,0,0,0,0
17,15.5931454,0,0,0,0
18,15.4320583,0,0,0,0
19,19.8049946,0,0,0,0
20,17.4875088,0,0,0,0
21,14.8965168,0,0,0,0
22,72.3444366,0,0,0,0
23,69.322937,0,0,0,0
24,28.0249901,0,0,0,0
25,26.0512104,0,0,0,0
26,24.5702782,0,0,0,0
27,25.6918392,0,0,0,0
28,30.2781162,0,0,0,0
29,34.5209274,0,0,0,0
30,37.1531143,0,0,0,0
31,41.2105293,0,0,0,0
32,38.4521141,0,0,0,0
33,37.1531143,0,0,0,0
34,173.8473206,0,0,0,0
35,157.7351074,0,0,0,0
36,148.497345,0,0,0,0
37,42.6727295,0,0,0,0
38,46.4801292,0,0,0,0
39,47.0528641,0,0,0,0
40,46.4801292,0,0,0,0
41,46.4801292,0,0,0,0
42,49.2928886,0,0,0,0
43,64.5270233,0,0,0,0
44,74.1049118,0,0,0,0
45,87.6002426,0,0,0,0
46,86.0543747,0,0,0,0
47,82.0524063,0,0,0,0
48,79.9371033,0,0,0,0
49,76.936264,0,0,0,0
50,74.1049118,0,0,0,0
51,14.5716391,0,0,0,0
52,16.7271137,0,0,0,0
53,273.4129639,0,0,0,0
54,272.7057495,0,0,0,0
55,162.049057,0,0,0,0
56,164.1237488,0,0,0,0
57,73.5208435,0,0,0,0
58,71.9897995,0,0,0,0
59,71.623703,0,0,0,0
60,68.4346542,0,0,0,0
61,63.2590523,0,0,0,0
62,56.3399315,0,0,0,0
63,42.4371109,0,0,0,0
64,39.0048065,0,0,0,0
65,106.3167419,0,0,0,0
66,103.57798,0,0,0,0
67,100.9956131,0,0,0,0
68,101.8149643,0,0,0,0
69,122.0330887,0,0,0,0
70,104.0448685,0,0,0,0
71,84.6364594,0,0,0,0
72,79.8307571,0,0,0,0
73,101.5380173,0,0,0,0
74,103.7083664,0,0,0,0
75,15.1529608,0,0,0,0
76,15.0879478,0,0,0,0
77,14.9014444,0,0,0,0
78,14.9223862,0,0,0,0
79,15.0743914,0,0,0,0
80,14.9223862,0,0,0,0
81,119.7297287,0,0,0,0
82,118.3951645,0,0,0,0
83,74.9119339,0,0,0,0
84,73.6856155,0,0,0,0
85,238.3667603,0,0,0,0
86,241.774704,0,0,0,0
87,180.6899261,0,0,0,0
88,181.0706635,0,0,0,0
89,286.7198792,0,0,0,0
90,313.5944519,0,0,0,0
91,296.9622803,0,0,0,0
92,290.0946045,0,0,0,0
93,180.5062866,0,0,0,0
94,168.490097,0,0,0,0
95,110.5071869,0,0,0,0
96,103.7083664,0,0,0,0
97,107.7950363,0,0,0,0
98,109.0718307,0,0,0,0
99,239.712677,0,0,0,0
100,273.4129639,0,0,0,0
101,244.337204,0,0,0,0
102,233.5697174,0,0,0,0
103,232.891037,0,0,0,0
104,233.5697174,0,0,0,0
105,64.6084518,0,0,0,0
106,65.2907639,0,0,0,0
107,213.0677643,0,0,0,0
108,219.0810699,0,0,0,0
109,306.1242065,0,0,0,0
110,286.6347351,0,0,0,0
111,286.6347351,0,0,0,0
112,262.6225891,0,0,0,0
113,5.1808844,0,0,0,0
114,5.13026,0,0,0,0
115,4.9450502,0,0,0,0
116,4.9141059,0,0,0,0
117,178.3295593,0,0,0,0
118,190.0023346,0,0,0,0
119,129.4097443,0,0,0,0
120,136.6459503,0,0,0,0
121,29.4052753,0,0,0,0
122,27.5080605,0,0,0,0
123,139.6484222,0,0,0,0
124,132.8929291,0,0,0,0
125,27.5080605,0,0,0,0
126,25.8234005,0,0,0,0
127,110.4179916,0,0,0,0
128,99.8310318,0,0,0,0
129,103.7083664,0,0,0,0
130,99.8310318,0,0,0,0
131,122.235611,0,0,0,0
132,146.1550751,0,0,0,0
133,146.1550751,0,0,0,0
134,157.553421,0,0,0,0
135,157.553421,0,0,0,0
136,165.4967346,0,0,0,0
137,99.9408035,0,0,0,0
138,93.0160065,0,0,0,0
139,93.2534637,0,0,0,0
140,93.0160065,0,0,0,0
141,155.6502686,0,0,0,0
142,142.9575348,0,0,0,0
143,126.9279022,0,0,0,0
144,142.9575348,0,0,0,0
145,91.1517792,0,0,0,0
146,90.7335815,0,0,0,0
147,86.4444733,0,0,0,0
148,70.4007416,0,0,0,0
149,123.7048035,0,0,0,0
150,160.8286591,0,0,0,0
151,93.2429886,0,0,0,0
152,91.4476471,0,0,0,0
153,415.4974365,0,0,0,0
154,407.5462036,0,0,0,0
155,333.8263245,0,0,0,0
156,340.9685669,0,0,0,0
157,189.028244,0,0,0,0
