OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,TYPE,CALC_LENGT,DIAMETER,DRAINAGE_A,LENGTH,WIDTH,HEIGHT,SLOPE,ROUGHNESS,FILENUM,INSTALL_DA,LIFE_CYCLE,OWNER,DATA_SOURC,CREATED_BY,LAST_EDITE,LAST_EDI_1,TYPE_USE,ORIG_FID,POINT_X,POINT_Y,ELEVATION,SUBCATCHMENT,OBJECTID_12,NODE_ID,TYPE_1,DRAINAGE_A_1,FLOW_RATE_1,POINT_X_1,POINT_Y_1,CATCHMENT_,HIST_STRU_,FILENUM_1,INSTALL_DA_1,LIFE_CYCLE_1,OWNER_1,DATA_SOURC_1,CREATED_BY_1,LAST_EDITE_1,LAST_EDI_12,DA_SRC_STR,ANCILLARYR,OUTFALL,SWID,TYPE_USE_1
1,1,1,3015,Reinforced Concrete Pipe,151.545897400000001,18, ,140, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,7,-157.757897453504654,21.276393382448703,5.4136391,74,41030,22398,Catch Basin, , ,-157.757911860643816,21.276396806167725, ,HMB 32-1-5,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HMB 32,HMB 32-22398, 
2,0,2,3015,Reinforced Concrete Pipe,151.545897400000001,18, ,140, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,7,-157.757810789436348,21.276182252209196,3.9622850,74,,,,, ,,,,,,,,,,,,,,,,,
3,1,3,3015,Reinforced Concrete Pipe,151.545897400000001,18, ,140, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,7,-157.757749777630096,21.276000044166778,2.7356467,74,52082,22403,Man Hole, , ,-157.757764183869966,21.276003467885801, , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HMB 32,HMB 32-22403, 
4,1,4,3084,Reinforced Concrete Pipe,26.039666619999998,18, ,26.040000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,8,-157.752413471304635,21.285687228282995,76.5384521,28,24472,20687,Man Hole, , ,-157.752427877544477,21.285690652002017,4, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 36,HWES 36-20687, 
5,1,5,3084,Reinforced Concrete Pipe,26.039666619999998,18, ,26.040000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,8,-157.752489832739570,21.285691298614609,72.1164398,28,23544,20686,Catch Basin, , ,-157.752504238979412,21.285694721434311,4,HWES 36-6-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 36,HWES 36-20686, 
6,1,6,3085,Reinforced Concrete Pipe,75.367379450000001,18, ,75.368000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,9,-157.757380114900343,21.285812461575915,147.5464783,61,51140,20684,Man Hole, , ,-157.757394521140213,21.285815885294937,9, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 29,HWES 29-20684, 
7,1,7,3085,Reinforced Concrete Pipe,75.367379450000001,18, ,75.368000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,9,-157.757459004329547,21.285618605514287,150.5502472,61,2638,20689,Catch Basin, , ,-157.757473410569418,21.285622029233309,4.300000,HWES 29-5,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 29,HWES 29-20689, 
8,1,8,3086,Reinforced Concrete Pipe,128.156278079999993,18, ,141.626000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18154, ,10,-157.754667711945331,21.285514155553869,35.0333557,33,39236,20691,Catch Basin, , ,-157.754682118185173,21.285517579272891,4.300000,HWES 32-1,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 32,HWES 32-20691, 
9,1,9,3086,Reinforced Concrete Pipe,128.156278079999993,18, ,141.626000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,Edited by FILENUM 18154, ,10,-157.754320961243337,21.285651452352681,36.3805161,33,24473,20688,Inlet/Outlet, , ,-157.754335367483208,21.285654876071703, ,HWES 32,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan,End of RCP; edited by FILENUM 18154, ,None,HWES 32,HWES 32-20688, 
10,1,10,3087,Reinforced Concrete Pipe,136.970892959999986,24, ,136.971000, , , , ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,11,-157.752413471304635,21.285687228282995,76.5384521,28,24472,20687,Man Hole, , ,-157.752427877544477,21.285690652002017,4, ,Pre-SWQDC, ,"Constructed, existing ROW",City and County of Honolulu,Pre-SWQDC,Pre-SWQDC,jnolan, , ,None,HWES 36,HWES 36-20687, 
