FID,OBJECTID,LENGTH,PEREN_ID,LU_CODE,STREAM_NM,FLAG,STREAM_COD,SHAPESTLen,ORIG_FID,POINT_X,POINT_Y,RASTERVALU
0,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.754630055999996,21.311811366000001,686.6719971
1,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.754571983000005,21.311842551000002,692.3120117
2,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.754512602999995,21.311887272000000,701.3499756
3,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.754301196999990,21.311930877999998,733.7609863
4,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.754130881000009,21.311997362000000,754.6240234
5,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753931313999999,21.312208176999999,774.9089966
6,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753889896999993,21.312271109000001,780.2379761
7,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753837441000002,21.312347498000001,787.2579956
8,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753813780999991,21.312442178000001,793.3060303
9,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753790379999998,21.312491693999998,798.7440186
10,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753748526999999,21.312595261999999,811.6339722
11,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753725960999986,21.312694471000000,823.9130249
12,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753701648999993,21.312739458999999,829.6729736
13,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753636994000004,21.312973849999999,858.9290161
14,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753572353999999,21.313199208000000,887.9110107
15,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753548945000006,21.313253241000002,893.9559937
16,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753479330000005,21.313379187999999,907.4630127
17,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753343395999991,21.313635636000001,937.8930054
18,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753184879999992,21.314000324999999,976.5659790
19,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753161234999993,21.314085972000001,984.0029907
20,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753132615999988,21.314180613000001,993.1079712
21,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.753138283999988,21.314523930000000,1020.5200195
22,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752961965999987,21.314992372999999,1069.8299561
23,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752933103999993,21.315123144000001,1084.2600098
24,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752896880999998,21.315262893000000,1102.5400391
25,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752803109000013,21.315668713000001,1157.4200439
26,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752738614000009,21.316025056000001,1185.7800293
27,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752727485000008,21.316201135000000,1208.4000244
28,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752709646000000,21.316327471000001,1229.1199951
29,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752709815999992,21.316444907000001,1248.0300293
30,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752698051000010,21.316562262000001,1268.9899902
31,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752674751999990,21.317316387999998,1385.4699707
32,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752633755000005,21.317456108999998,1396.9300537
33,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752604010999988,21.317564285000000,1403.4000244
34,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752556962000000,21.317699448999999,1419.4499512
35,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752498812999988,21.317884200999998,1435.3399658
36,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752415791000004,21.318010052999998,1445.5200195
37,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752280981000013,21.318140043000000,1457.6600342
38,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.752133847000010,21.318283487999999,1480.1999512
39,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.751787597999993,21.318470617999999,1550.0999756
40,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.751682058999990,21.318555649000000,1570.9799805
41,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.751523654000010,21.318631257000000,1597.8100586
42,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.751405987999988,21.318720720999998,1610.8399658
43,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.751246917000003,21.318864073000000,1626.4100342
44,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.751169981999993,21.318971909999998,1635.1700439
45,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.751141553999986,21.319062034000002,1636.0899658
46,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.751135043000005,21.319111671999998,1636.4699707
47,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.751123498999988,21.319206434000002,1637.0699463
48,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.751059547000011,21.319345981000001,1647.8000488
49,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.751035011999988,21.319413550000000,1653.2700195
50,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.751005550000002,21.319463014000000,1657.3000488
51,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.750982107999988,21.319535112000001,1661.1099854
52,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.750970609000007,21.319602777000000,1663.4599609
53,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.750894730999988,21.319737713999999,1676.3299561
54,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.750806901000004,21.319881600999999,1683.5799561
55,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.750794331999998,21.319931197999999,1685.3499756
56,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.750712378000003,21.320075126999999,1699.4399414
57,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.750582737000002,21.320295482999999,1723.4799805
58,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.750418209000003,21.320515582999999,1746.5100098
59,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.750171778999999,21.320739581000002,1777.6400146
60,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.750119119000004,21.320825013000000,1785.7099609
61,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.749977787000006,21.321009145000001,1811.7900391
62,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.749954352999993,21.321076726000001,1818.3599854
63,1430,3983.007000000000062,380,C, ,1,3-3-,3982.948919460000070,1,-157.749848377000006,21.321202412000002,1841.6800537
64,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.754630055999996,21.311811366000001,686.6719971
65,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.754648175999989,21.311956035000001,692.8920288
66,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.754677402999988,21.312046588000001,698.8179932
67,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.754718072999992,21.312101091999999,703.5570068
68,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.754818561999997,21.312178620000001,709.6649780
69,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.754924858000010,21.312296846999999,718.8380127
70,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.754988311000005,21.312342490999999,721.7880249
71,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755047004999994,21.312379053000001,726.3489990
72,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755258819999995,21.312421278999999,735.3330078
73,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755411529000014,21.312454031000001,740.8519897
74,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755547307999990,21.312509233000000,746.4290161
75,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755605766000002,21.312577420000000,746.7459717
76,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755618314999992,21.312649786000001,747.0800171
77,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755635987000005,21.312844133999999,750.6119995
78,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755635560999991,21.313322913000000,770.3469849
79,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755582820000001,21.313570946999999,780.7169800
80,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755541819999991,21.313715183999999,785.8560181
81,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755523968000006,21.313850553000002,790.6879883
82,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755518523999996,21.313922784999999,794.6060181
83,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755430020999995,21.314256373999999,829.3369751
84,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755436244999999,21.314378367000000,839.2369995
85,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755477584000005,21.314473530000001,842.3690186
86,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755489259999990,21.314518787000001,844.1530151
87,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755559772999987,21.314736116999999,849.8070068
88,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755982495000012,21.315484518000002,877.1970215
89,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.756041568999990,21.315624976999999,879.2189941
90,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.756053852999997,21.315747024000000,888.7600098
91,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.756041893000003,21.315873410999998,901.8930054
92,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755995070000012,21.316428631000001,954.1500244
93,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.756024717999992,21.316487570000000,953.9580078
94,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.756159609999997,21.316637614000001,957.3989868
95,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.756200705999987,21.316768907000000,963.5360107
96,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.756218179999991,21.316972299000000,978.7119751
97,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.756183246000006,21.317112061000000,989.5289917
98,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.756159830000001,21.317170600000001,996.2130127
99,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755948530000012,21.317367776000001,1017.4299927
100,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755871554999999,21.317502714000000,1024.4300537
101,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755841836000002,21.317597341999999,1030.3699951
102,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755836571999993,21.317782494999999,1037.9000244
103,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755824802000006,21.317904366000000,1044.7199707
104,1431,6074.635000000000218,381,C, ,1,3-3-,6074.554282889999740,2,-157.755753709999993,21.318034818000001,1049.7600098
