"subc","sum_length_pipe","mean_diam_pipe"
6,224.969046433661,18
8,188.54651798145,18
10,73.1939154382886,24
11,679.709622205938,22
13,32.7127259152734,18
14,182.421202589014,18
15,113.742813239298,18
17,89.9007863931333,21
18,337.589483415746,19.5
19,115.628373466892,23
21,73.3445547758456,18
22,37.9774990101231,18
23,265.793146670245,23.8
24,257.828226105883,32
25,79.2485766910637,27
26,222.868463130611,48
28,285.32451931801,18
29,180.633000815202,24
30,26.7851363064239,30
33,128.220928761085,18
34,261.497358416406,21
35,126.979798009773,18
40,259.490818726678,18
45,107.785723689484,14
46,12.2892419392741,18
47,140.070896837962,18
48,26.775361569639,18
51,156.899117340612,24
54,279.500273266628,24
55,83.6103285844646,24
57,330.440505391347,18
61,75.7790056351565,18
62,507.16126890417,24
63,459.433835916825,32.4
67,203.916512056176,58.6666666666667
68,487.130555048543,55.5789473684211
69,76.1717492308,6
70,410.877842393464,18
71,63.98370265009,18
73,17.471296819442,60
74,565.636706610155,20.5714285714286
75,877.489974726892,20.6923076923077
76,476.168500217951,45.5
78,1052.66386547619,22.6153846153846
79,57.8962913466544,18
80,252.331681449451,22.5
81,143.154018035629,21
88,63.8606988195789,30
89,10.6879560991746,18
91,360.253590976229,24
95,247.380235006973,18
NA,38.4895760451971,18
"subc","sum_length_ditch","mean_width_ditch","mean_height_ditch"
9,923.043954053224,5,5
10,501.391369484421,5,5
20,24.4782557788912,5,5
27,351.697096437964,5,5
28,462.508449557219,5,5
34,330.01883008672,5,5
41,41.4453117801062,5,5
42,954.987280457766,5,5
43,763.202158145273,5,5
53,109.324626370784,5,5
55,41.5322010237529,5,5
69,406.52923392373,5,5
72,426.232484102351,5,5
76,1968.89099224425,7.32352941176471,6.26470588235294
78,498.195453405212,5,5
84,609.448341137823,5,5
88,143.040380612397,5,5
90,115.385268547686,5,5
NA,34.5984802584838,5,5
"subc","sum_length_box","mean_width_box","mean_height_box"
"subc","sum_length_channel","mean_width_channel","mean_height_channel","mean_slope1_channel","mean_slope2_channel"
4,399.139219192801,30,10,1,1
6,122.032677890822,30,10,1,1
7,509.241080524876,30,10,1,1
8,113.314681268321,30,10,1,1
10,245.745728219818,30,10,1,1
13,116.527945178762,30,10,1,1
17,57.6621600921069,30,10,1,1
22,196.516405546014,30,10,1,1
25,97.1970142923436,30,10,1,1
27,566.19742902505,30,10,1,1
31,492.025229014236,30,10,1,1
32,126.622181782427,30,10,1,1
33,282.953416565696,30,10,1,1
46,352.267047640174,30,10,1,1
88,2.30714368110212,30,10,1,1
93,281.773706122993,30,10,1,1
NA,42.5359166675317,30,10,1,1
"subc","sum_length_pipe","mean_diam_pipe"
4,394.655889900545,24
6,224.969046433661,18
7,848.150031223958,19.7142857142857
8,327.441071207144,20
10,615.728649454083,27.6
11,3054.09730994331,23.3333333333333
12,568.306137375978,20.8333333333333
13,681.824192666589,24
14,182.421202589014,18
15,167.128900515677,18
16,173.329126930431,36
17,774.684772254555,26
18,821.330704218724,20
19,410.372297257444,22.2857142857143
20,1747.10397123457,26
21,164.747899860571,18
22,216.202941839868,22
23,2189.20883094487,25.5813953488372
24,775.488323754162,26.25
25,784.136518480912,24.5454545454545
26,343.479139876423,48
27,544.2902300491,23
28,3024.61239814912,19.1052631578947
29,180.633000815202,24
30,411.848907082576,30
31,205.865924414477,18
32,329.324324518041,18
33,518.083487428639,18
34,1577.09329368517,22
35,164.021695064712,18
