"link","shape","geom1","geom2","geom3","geom4","barrels","culvert"
"1_3013","CIRCULAR","18",0,0,0,NA,0
"10_3085","CIRCULAR","18",0,0,0,NA,0
"1001_33053","CIRCULAR","24",0,0,0,NA,0
"1003_33267","CIRCULAR","18",0,0,0,NA,0
"1005_33268","CIRCULAR","18",0,0,0,NA,0
"1006_33268","CIRCULAR","18",0,0,0,NA,0
"1007_33268","CIRCULAR","18",0,0,0,NA,0
"1009_34492","CIRCULAR","18",0,0,0,NA,0
"101_3518","CIRCULAR","23",0,0,0,NA,0
"1011_34497","CIRCULAR","24",0,0,0,NA,0
"1013_34599","CIRCULAR","30",0,0,0,NA,0
"1015_34648","CIRCULAR","18",0,0,0,NA,0
"1017_34774","CIRCULAR","36",0,0,0,NA,0
"1018_34774","CIRCULAR","36",0,0,0,NA,0
"1019_34774","CIRCULAR","36",0,0,0,NA,0
"1020_34774","CIRCULAR","36",0,0,0,NA,0
"1022_34799","CIRCULAR","23",0,0,0,NA,0
"1024_34818","CIRCULAR","24",0,0,0,NA,0
"1026_34819","CIRCULAR","18",0,0,0,NA,0
"1028_34874","CIRCULAR","24",0,0,0,NA,0
"103_3519","CIRCULAR","23",0,0,0,NA,0
"1030_34895","CIRCULAR","18",0,0,0,NA,0
"1032_34896","CIRCULAR","24",0,0,0,NA,0
"1034_34897","CIRCULAR","24",0,0,0,NA,0
"1036_34920","CIRCULAR","23",0,0,0,NA,0
"1038_34921","CIRCULAR","23",0,0,0,NA,0
"1040_34922","CIRCULAR","23",0,0,0,NA,0
"1042_34968","CIRCULAR","18",0,0,0,NA,0
"1044_34994","CIRCULAR","24",0,0,0,NA,0
"1046_34995","CIRCULAR","30",0,0,0,NA,0
"1048_35013","CIRCULAR","18",0,0,0,NA,0
"105_3540","CIRCULAR","24",0,0,0,NA,0
"1050_35035","CIRCULAR","23",0,0,0,NA,0
"1051_35035","CIRCULAR","23",0,0,0,NA,0
"1053_35043","CIRCULAR","30",0,0,0,NA,0
"1055_35251","CIRCULAR","18",0,0,0,NA,0
"1057_35252","CIRCULAR","18",0,0,0,NA,0
"1059_35270","CIRCULAR","18",0,0,0,NA,0
"1061_35288","CIRCULAR","42",0,0,0,NA,0
"1063_35480","CIRCULAR","18",0,0,0,NA,0
"1065_35481","CIRCULAR","18",0,0,0,NA,0
"1069_35764","CIRCULAR","36",0,0,0,NA,0
"107_3822","CIRCULAR","18",0,0,0,NA,0
"1078_35784","CIRCULAR","60",0,0,0,NA,0
"1079_35784","CIRCULAR","60",0,0,0,NA,0
"1080_35784","CIRCULAR","60",0,0,0,NA,0
"1082_35928","CIRCULAR","18",0,0,0,NA,0
"1084_35955","CIRCULAR","18",0,0,0,NA,0
"1086_35965","CIRCULAR","48",0,0,0,NA,0
"1087_35965","CIRCULAR","48",0,0,0,NA,0
"1088_35965","CIRCULAR","48",0,0,0,NA,0
"1089_35965","CIRCULAR","48",0,0,0,NA,0
"109_3823","CIRCULAR","24",0,0,0,NA,0
"1090_35965","CIRCULAR","48",0,0,0,NA,0
"1092_36263","CIRCULAR","30",0,0,0,NA,0
"1094_36264","CIRCULAR","18",0,0,0,NA,0
"1096_36265","CIRCULAR","30",0,0,0,NA,0
"1098_36266","CIRCULAR","24",0,0,0,NA,0
"1100_36273","CIRCULAR","24",0,0,0,NA,0
"1102_36274","CIRCULAR","18",0,0,0,NA,0
"1104_36287","CIRCULAR","24",0,0,0,NA,0
"1105_36287","CIRCULAR","24",0,0,0,NA,0
"1106_36287","CIRCULAR","24",0,0,0,NA,0
"1108_36288","CIRCULAR","24",0,0,0,NA,0
"111_3824","CIRCULAR","24",0,0,0,NA,0
"1110_36436","CIRCULAR","18",0,0,0,NA,0
"1112_36437","CIRCULAR","24",0,0,0,NA,0
"1113_36437","CIRCULAR","24",0,0,0,NA,0
"1115_36445","CIRCULAR","18",0,0,0,NA,0
"1117_36487","CIRCULAR","18",0,0,0,NA,0
"1119_36488","CIRCULAR","18",0,0,0,NA,0
"1121_36553","CIRCULAR","18",0,0,0,NA,0
"1123_36584","CIRCULAR","18",0,0,0,NA,0
"1125_36587","CIRCULAR","60",0,0,0,NA,0
"1127_36636","CIRCULAR","18",0,0,0,NA,0
"1129_36662","CIRCULAR","30",0,0,0,NA,0
"113_3911","CIRCULAR","24",0,0,0,NA,0
"1130_36662","CIRCULAR","30",0,0,0,NA,0
"1132_36733","CIRCULAR","30",0,0,0,NA,0
"1134_36818","CIRCULAR","18",0,0,0,NA,0
"1136_36820","CIRCULAR","30",0,0,0,NA,0
"1138_36858","CIRCULAR","18",0,0,0,NA,0
"114_3911","CIRCULAR","24",0,0,0,NA,0
"1140_36859","CIRCULAR","23",0,0,0,NA,0
"1144_37737","CIRCULAR","54",0,0,0,NA,0
"1145_37737","CIRCULAR","54",0,0,0,NA,0
"1149_38032","CIRCULAR","18",0,0,0,NA,0
"115_3911","CIRCULAR","24",0,0,0,NA,0
"1150_38032","CIRCULAR","18",0,0,0,NA,0
"1151_38032","CIRCULAR","18",0,0,0,NA,0
"1152_38032","CIRCULAR","18",0,0,0,NA,0
"1154_38036","CIRCULAR","18",0,0,0,NA,0
"1155_38036","CIRCULAR","18",0,0,0,NA,0
"1157_38037","CIRCULAR","24",0,0,0,NA,0
"1159_38058","CIRCULAR","18",0,0,0,NA,0
"1160_38058","CIRCULAR","18",0,0,0,NA,0
"1161_38058","CIRCULAR","18",0,0,0,NA,0
"1163_38060","CIRCULAR","18",0,0,0,NA,0
"1165_38079","CIRCULAR","18",0,0,0,NA,0
"1167_38082","CIRCULAR","18",0,0,0,NA,0
"1169_38083","CIRCULAR","18",0,0,0,NA,0
"117_4178","CIRCULAR","36",0,0,0,NA,0
"1171_38100","CIRCULAR","30",0,0,0,NA,0
"1173_38187","CIRCULAR","18",0,0,0,NA,0
"1175_38188","CIRCULAR","18",0,0,0,NA,0
"1177_38190","CIRCULAR","18",0,0,0,NA,0
"1179_38191","CIRCULAR","30",0,0,0,NA,0
"1181_38192","CIRCULAR","30",0,0,0,NA,0
"1183_38243","CIRCULAR","18",0,0,0,NA,0
"1185_38285","CIRCULAR","18",0,0,0,NA,0
"1187_38286","CIRCULAR","42",0,0,0,NA,0
"1189_38331","CIRCULAR","18",0,0,0,NA,0
"119_4179","CIRCULAR","24",0,0,0,NA,0
"1190_38331","CIRCULAR","18",0,0,0,NA,0
"1191_38331","CIRCULAR","18",0,0,0,NA,0
"1193_38332","CIRCULAR","23",0,0,0,NA,0
"1194_38332","CIRCULAR","23",0,0,0,NA,0
"1195_38332","CIRCULAR","23",0,0,0,NA,0
"1197_38333","CIRCULAR","23",0,0,0,NA,0
"1199_38411","CIRCULAR","18",0,0,0,NA,0
"12_3086","CIRCULAR","18",0,0,0,NA,0
"1200_38411","CIRCULAR","18",0,0,0,NA,0
"1202_38412","CIRCULAR","18",0,0,0,NA,0
"1204_38417","CIRCULAR","18",0,0,0,NA,0
"1206_38438","CIRCULAR","24",0,0,0,NA,0
"1208_38439","CIRCULAR","24",0,0,0,NA,0
"121_4325","CIRCULAR","18",0,0,0,NA,0
"1210_38440","CIRCULAR","18",0,0,0,NA,0
