Table - Link Flow
          	          	Link            
Days      	Hours     	C35             
0         	00:15:00  	0.00            
0         	00:30:00  	0.00            
0         	00:45:00  	0.00            
0         	01:00:00  	0.00            
0         	01:15:00  	0.00            
0         	01:30:00  	0.00            
0         	01:45:00  	0.00            
0         	02:00:00  	0.00            
0         	02:15:00  	16.99           
0         	02:30:00  	7.55            
0         	02:45:00  	2.17            
0         	03:00:00  	0.95            
0         	03:15:00  	0.53            
0         	03:30:00  	0.34            
0         	03:45:00  	0.24            
0         	04:00:00  	0.19            
0         	04:15:00  	0.15            
0         	04:30:00  	50.43           
0         	04:45:00  	34.88           
0         	05:00:00  	102.78          
0         	05:15:00  	17.01           
0         	05:30:00  	36.59           
0         	05:45:00  	49.24           
0         	06:00:00  	16.91           
0         	06:15:00  	8.09            
0         	06:30:00  	6.43            
0         	06:45:00  	5.80            
0         	07:00:00  	5.38            
0         	07:15:00  	5.05            
0         	07:30:00  	4.78            
0         	07:45:00  	4.54            
0         	08:00:00  	4.33            
0         	08:15:00  	4.15            
0         	08:30:00  	37.01           
0         	08:45:00  	19.14           
0         	09:00:00  	14.30           
0         	09:15:00  	13.57           
0         	09:30:00  	12.79           
0         	09:45:00  	12.03           
0         	10:00:00  	46.62           
0         	10:15:00  	25.98           
0         	10:30:00  	20.55           
0         	10:45:00  	56.81           
0         	11:00:00  	74.67           
0         	11:15:00  	85.87           
0         	11:30:00  	49.65           
0         	11:45:00  	34.88           
0         	12:00:00  	27.23           
0         	12:15:00  	63.25           
0         	12:30:00  	90.51           
0         	12:45:00  	156.90          
0         	13:00:00  	253.60          
0         	13:15:00  	215.27          
0         	13:30:00  	149.03          
0         	13:45:00  	111.61          
0         	14:00:00  	90.68           
0         	14:15:00  	76.74           
0         	14:30:00  	66.28           
0         	14:45:00  	57.94           
0         	15:00:00  	99.70           
0         	15:15:00  	143.21          
0         	15:30:00  	172.45          
0         	15:45:00  	193.33          
0         	16:00:00  	143.79          
0         	16:15:00  	116.10          
0         	16:30:00  	101.68          
0         	16:45:00  	91.82           
0         	17:00:00  	83.84           
0         	17:15:00  	77.03           
0         	17:30:00  	71.18           
0         	17:45:00  	66.25           
0         	18:00:00  	61.83           
0         	18:15:00  	57.85           
0         	18:30:00  	54.25           
0         	18:45:00  	50.97           
0         	19:00:00  	47.97           
0         	19:15:00  	45.22           
0         	19:30:00  	42.70           
0         	19:45:00  	40.39           
0         	20:00:00  	38.24           
0         	20:15:00  	36.26           
0         	20:30:00  	34.42           
0         	20:45:00  	32.71           
0         	21:00:00  	31.12           
0         	21:15:00  	29.63           
0         	21:30:00  	28.25           
0         	21:45:00  	26.97           
0         	22:00:00  	25.75           
0         	22:15:00  	24.62           
0         	22:30:00  	23.56           
0         	22:45:00  	22.56           
0         	23:00:00  	21.62           
0         	23:15:00  	20.72           
0         	23:30:00  	19.88           
0         	23:45:00  	19.10           
