"name","from_node","to_node","length","roughness","inoffset","outoffset","initflow","maxflow"
"C10797","J433","J435",34.4682682011056,0.56,0,0,0,0
"C10797","J435","J435",0,0.56,0,0,0,0
"C10798","J435","J432",118.415847014449,0.26,0,0,0,0
"C10798","J432","J480",605.044451696284,0.26,0,0,0,0
"C10800","J480","J477",395.85682457422,0.01,0,0,0,0
"C10800","J477","J444",598.158285591888,0.01,0,0,0,0
"C10801","J444","J433",488.851878024314,0.01,0,0,0,0
"C10801","J433","J472",830.948461146828,0.01,0,0,0,0
"C10825","J472","J476",33.7196479025115,0.05,0,0,0,0
"C10825","J476","J465",204.063604168473,0.05,0,0,0,0
"C10826","J465","J463",161.624629907424,1.53,0,0,0,0
"C10826","J463","J465",161.624629907424,1.53,0,0,0,0
"C10831","J465","J467",168.655885666019,1.19,0,0,0,0
"C10831","J467","J476",368.6215638482,1.19,0,0,0,0
"C10832","J476","J486",97.1355924072476,1.54,0,0,0,0
"C10832","J486","J486",0,1.54,0,0,0,0
"C10833","J486","J516",245.115413380338,1.34,0,0,0,0
"C10833","J516","J516",0,1.34,0,0,0,0
"C10834","J516","J523",44.2989375413694,0.56,0,0,0,0
"C10834","J523","J449",923.960820406144,0.56,0,0,0,0
"C10835","J449","J448",122.834294469461,1.08,0,0,0,0
"C10835","J448","J411",475.696002794079,1.08,0,0,0,0
"C10836","J411","J415",64.2833595569731,1.5,0,0,0,0
"C10836","J415","J415",0,1.5,0,0,0,0
"C10837","J415","J418",187.003607696528,0.59,0,0,0,0
"C10837","J418","J481",2502.7699648328,0.59,0,0,0,0
"C10983","J481","J478",45.0928174029701,0.6,0,0,0,0
"C10983","J478","J538",530.064663526264,0.6,0,0,0,0
"C10984","J538","J522",111.144240283828,0.32,0,0,0,0
"C10984","J522","J513",40.0977816588937,0.32,0,0,0,0
"C10985","J513","J498",139.095341185654,1.07,0,0,0,0
"C10985","J498","J500",597.788099521641,1.07,0,0,0,0
"C10986","J500","J473",251.276999965751,0.66,0,0,0,0
"C10986","J473","J468",28.8772859637396,0.66,0,0,0,0
"C10987","J468","J473",28.8772859637396,1.54,0,0,0,0
"C10987","J473","J430",379.200928015447,1.54,0,0,0,0
"C10988","J430","J429",34.5748531254069,0.75,0,0,0,0
"C10988","J429","J463",642.477161480344,0.75,0,0,0,0
"C11113","J463","J464",37.2620148223852,3.5,0,0,0,0
"C11113","J464","J471",265.578780242126,3.5,0,0,0,0
"C11114","J471","J447",243.507373590598,0.8,0,0,0,0
"C11114","J447","J479",302.687215423109,0.8,0,0,0,0
"C11115","J479","J490",167.460535669361,0.01,0,0,0,0
"C11115","J490","J490",0,0.01,0,0,0,0
"C11116","J490","J561",463.326594035892,0.01,0,0,0,0
"C11116","J561","J465",1047.94051198442,0.01,0,0,0,0
"C11481","J465","J445",227.995297079508,0.01,0,0,0,0
"C11481","J445","J365",1338.20049693614,0.01,0,0,0,0
"C12496","J365","J361",136.273629476954,0.01,0,0,0,0
"C12496","J361","J597",2453.40920283392,0.01,0,0,0,0
"C13544","J597","J601",152.026430017665,0.8,0,0,0,0
"C13544","J601","J552",461.743102100819,0.8,0,0,0,0
"C13545","J552","J608",306.23428297018,0.01,0,0,0,0
"C13545","J608","J551",454.819229052815,0.01,0,0,0,0
"C13546","J551","J546",68.9597185484893,0.01,0,0,0,0
"C13546","J546","J407",11134.2145231883,0.01,0,0,0,0
"C1602","J407","J211",3943.59019805917,0.01,0,0,0,0
"C1602","J211","J10",10753.9292546606,0.01,0,0,0,0
"C16600","J10","J11",66.7188025247958,0.01,0,0,0,0
"C16600","J11","J420",2984.48717598579,0.01,0,0,0,0
"C16601","J420","J419",103.011581786141,0.01,0,0,0,0
"C16601","J419","J16",3792.20498696578,0.01,0,0,0,0
"C16605","J16","J23",223.75250424989,0.01,0,0,0,0
"C16605","J23","J150",932.75523263846,0.01,0,0,0,0
"C16606","J150","J156",34.6267627283321,0.01,0,0,0,0
"C16606","J156","J225",2403.09501745289,0.01,0,0,0,0
"C16615","J225","J227",48.0587342904478,0.01,0,0,0,0
