"node","x","y"
"J380",-157.75173813,21.283367976
"J382",-157.751661665,21.28320852
"J407",-157.749847999,21.321192767
"J211",-157.754623598,21.311802701
"J508",-157.747069975,21.293551143
"J500",-157.7472713,21.293364524
"J540",-157.746454285,21.285542283
"J543",-157.746393481,21.285427849
"J568",-157.745974575,21.2834465
"J599",-157.745491923,21.283170424
"J227",-157.754472743,21.298880054
"J197",-157.754755193,21.298808654
"J246",-157.754252928,21.289208321
"J252",-157.754166484,21.289305146
"J622",-157.744959066,21.287602571
"J640",-157.744559304,21.287513463
"J472",-157.747789589,21.291227518
"J476",-157.747770024,21.291318027
"J186",-157.754987323,21.300657226
"J174",-157.755313529,21.300695924
"J623",-157.744851048,21.289044426
"J631",-157.744707719,21.2884143
"J96",-157.756352373,21.284301504
"J148",-157.755670504,21.283900909
"J250",-157.754182385,21.28128979
"J260",-157.754039338,21.280986202
"J358",-157.752210666,21.2826008893
"J332",-157.752642153,21.282420487
"J558",-157.746145592,21.292677336
"J534",-157.746586688,21.292599155
"J510",-157.74701284,21.286085616
"J525",-157.746765744,21.286039001
"J635",-157.74463262,21.29276378
"J641",-157.7445307,21.292461594
"J301",-157.753128508,21.287992233
"J298",-157.753168237,21.287947127
"J542",-157.746396966,21.29473667
"J505",-157.747180324,21.293919465
"J49",-157.757081697,21.290228488
"J63",-157.756781409,21.290197339
"J311",-157.752939148,21.289033982
"J310",-157.752952815,21.289097987
"J595",-157.745552517,21.290819121
"J596",-157.74553152,21.290734874
"J56",-157.756934771,21.282680927
"J65",-157.756757336,21.282074712
"J179",-157.755270026,21.298823082
"J162",-157.755485613,21.298812477
"J327",-157.752728474,21.292720227
"J322",-157.752812618,21.292681768
"J158",-157.755541537,21.288620429
"J165",-157.755417213,21.288755225
"J270",-157.753820412,21.280610177
"J324",-157.752763089,21.28102301
"J463",-157.747927367,21.291212755
"J464",-157.747901752,21.29131195
"J415",-157.749477181,21.287956816
"J418",-157.749343489,21.287633986
"J1",-157.759067767,21.274633472
"J3",-157.758596138,21.274801225
"J525",-157.746765744,21.286039001
"J529",-157.746687913,21.285894812
"J485",-157.747506666,21.286883335
"J495",-157.747332599,21.286297062
"J46",-157.757143209,21.274030784
"J71",-157.756702881,21.274118344
"J585",-157.745728337,21.29168057
"J583",-157.745733164,21.291604192
"J306",-157.753029223,21.284127041
"J286",-157.753361641,21.283992726
"J236",-157.754366685,21.289688112
"J243",-157.754279265,21.289709491
"J224",-157.754519159,21.284101063
"J280",-157.753577998,21.284466323
"J441",-157.748550311,21.2815083585
"J402",-157.750259487,21.281057503
"J610",-157.745325171,21.281711934
"J545",-157.746334187,21.281633362
"J11",-157.757815428,21.282758126
"J20",-157.757536278,21.282830091
"J517",-157.746862984,21.288893539
"J506",-157.74714367,21.288556424
"J442",-157.748521396,21.278474991
"J458",-157.748003374,21.277511628
"J529",-157.746687913,21.285894812
"J533",-157.746605176,21.285766623
"J488",-157.747428675,21.279242399
"J484",-157.747521755,21.279641686
"J62",-157.756812424,21.282064748
"J65",-157.756757336,21.282074712
"J19",-157.757541852,21.287933061
"J25",-157.757445929,21.287990774
"J650",-157.744244176,21.28396851
"J648",-157.744256391,21.283441384
"J667",-157.74359337,21.290416846
"J669",-157.743465807,21.290307327
"J504",-157.747218225,21.285115704
"J501",-157.747230707,21.284979529
"J94",-157.756377396,21.297300751
"J107",-157.756213718,21.297261052
"J12",-157.757749778,21.276000044
"J22",-157.757489764,21.275156788
"J526",-157.746765339,21.283879631
"J559",-157.746142777,21.283535827
"J60",-157.756837873,21.287123916
"J32",-157.757333964,21.286862124
"J468",-157.747840376,21.292961193
"J473",-157.747784235,21.292901901
"J39",-157.757267182,21.283567431
"J95",-157.756362857,21.2843040735
"J251",-157.754180097,21.284652969
"J274",-157.753750992,21.284844998
"J527",-157.746748183,21.283996158
"J526",-157.746765339,21.283879631
"J129",-157.755898808,21.288033143
"J87",-157.756495809,21.28793855
"J365",-157.75210626,21.290034933
"J361",-157.752182834,21.289668692
"J138",-157.755794732,21.28670959
"J144",-157.755712383,21.286773131
"J322",-157.752812618,21.292681768
"J325",-157.752746237,21.292637624
"J461",-157.747963565,21.289998098
"J460",-157.747964549,21.289906306
"J398",-157.750496621,21.283476006
"J384",-157.751445321,21.283263814
"J30",-157.757361269,21.296281599
"J34",-157.757324874,21.296011833
"J522",-157.746789925,21.294867465
"J513",-157.746905345,21.294889582
"J466",-157.747870837,21.291541403
"J464",-157.747901752,21.29131195
"J268",-157.75385797,21.289143454
"J288",-157.753354688,21.289086191
"J614",-157.745246436,21.291759676
"J597",-157.745522796,21.291626052
"J72",-157.756687912,21.293683789
"J106",-157.756259623,21.293562189
"J663",-157.743820737,21.287418628
"J655",-157.74417627,21.287387937
"J206",-157.754663126,21.294688895
"J192",-157.754797185,21.294664252
"J77",-157.75660667,21.297279164
"J94",-157.756377396,21.297300751
"J292",-157.753306514,21.288251266
"J293",-157.753293501,21.288128442
"J586",-157.74572356,21.284882009
"J581",-157.745758176,21.284474121
"J603",-157.745436954,21.286790766
"J609",-157.745361687,21.28658986
"J75",-157.756629455,21.276348054
"J91",-157.756408149,21.275412352
"J110",-157.756176609,21.274450354
"J111",-157.756136116,21.274218155
"J357",-157.752236589,21.284430722
"J306",-157.753029223,21.284127041
"J269",-157.753856383,21.296928766
"J245",-157.754268454,21.296701385
"J229",-157.754453885,21.295764769
