"name","elevation","type","gated","stagedata"
"J186",409.70401,"FREE","NO","NO"
"J418",402.6629944,"FREE","NO","NO"
"J53",231.1410065,"FREE","NO","NO"
"J23",342.3469849,"FREE","NO","NO"
"J503",13.0648003,"FREE","NO","NO"
"J377",97.260498,"FREE","NO","NO"
"J53",231.1410065,"FREE","NO","NO"
"J23",342.3469849,"FREE","NO","NO"
"J422",256.7550049,"FREE","NO","NO"
"J422",256.7550049,"FREE","NO","NO"
"J454",754.0020142,"FREE","NO","NO"
"J452",540.5,"FREE","NO","NO"
"J456",40.4692993,"FREE","NO","NO"
"J360",97.260498,"FREE","NO","NO"
"J377",97.260498,"FREE","NO","NO"
"J294",3.56319,"FREE","NO","NO"
"J515",924.8129883,"FREE","NO","NO"
"J462",99.0767975,"FREE","NO","NO"
"J294",3.56319,"FREE","NO","NO"
"J287",3.56319,"FREE","NO","NO"
"J360",97.260498,"FREE","NO","NO"
"J374",166.0939941,"FREE","NO","NO"
"J503",13.0648003,"FREE","NO","NO"
"J462",99.0767975,"FREE","NO","NO"
"J53",231.1410065,"FREE","NO","NO"
"J57",269.072998,"FREE","NO","NO"
"J374",166.0939941,"FREE","NO","NO"
"J57",269.072998,"FREE","NO","NO"
"J287",3.56319,"FREE","NO","NO"
"J23",342.3469849,"FREE","NO","NO"
