"link","x","y"
"C5460",-157.75173813,21.283367976
"C5460",-157.751706671,21.283298914
"C5460",-157.751661665,21.28320852
"C1602",-157.749847999,21.321192767
"C1602",-157.749924532,21.3210827
"C1602",-157.749953799,21.321066101
"C1602",-157.749971397,21.320999967
"C1602",-157.750124198,21.320812767
"C1602",-157.750165332,21.320730101
"C1602",-157.750412132,21.3205043
"C1602",-157.750582532,21.320283967
"C1602",-157.750717598,21.320063767
"C1602",-157.750776332,21.3199371
"C1602",-157.750793998,21.3199205
"C1602",-157.750811599,21.319870967
"C1602",-157.750870333,21.3197553
"C1602",-157.750882132,21.319727767
"C1602",-157.750946732,21.319601101
"C1602",-157.750958532,21.3195901
"C1602",-157.750976132,21.319523967
"C1602",-157.751005398,21.319452367
"C1602",-157.751034798,21.3194029
"C1602",-157.751052399,21.319336767
"C1602",-157.751099398,21.319232167
"C1602",-157.751116998,21.3191935
"C1602",-157.751128732,21.3190999
"C1602",-157.751146398,21.319050367
"C1602",-157.751175732,21.3189623
"C1602",-157.751252132,21.318852167
"C1602",-157.751404932,21.3187089
"C1602",-157.751492998,21.3186483
"C1602",-157.751528198,21.318620767
"C1602",-157.751680999,21.3185437
"C1602",-157.751786799,21.318460967
"C1602",-157.752133532,21.3182737
"C1602",-157.752274531,21.3181305
"C1602",-157.752409732,21.3179983
"C1602",-157.752503732,21.317871567
"C1602",-157.752550599,21.3176899
"C1602",-157.752579999,21.3175687
"C1602",-157.752591732,21.317552167
"C1602",-157.752626997,21.317447567
"C1602",-157.752656331,21.317337367
"C1602",-157.752667998,21.317304367
"C1602",-157.752703132,21.316549901
"C1602",-157.752703132,21.3164343
"C1602",-157.752703132,21.3163187
"C1602",-157.752732532,21.3161921
"C1602",-157.752732399,21.316015767
"C1602",-157.752808731,21.315657767
"C1602",-157.752896732,21.3152503
"C1602",-157.752931999,21.315112567
"C1602",-157.752961332,21.3149805
"C1602",-157.753125732,21.3145123
"C1602",-157.753125732,21.314170967
"C1602",-157.753143331,21.314099367
"C1602",-157.753160932,21.314077367
"C1602",-157.753190332,21.313989167
"C1602",-157.753342999,21.313625767
"C1602",-157.753478132,21.3133669
"C1602",-157.753542732,21.313240167
"C1602",-157.753554399,21.3132127
"C1602",-157.753572132,21.313190702
"C1602",-157.753630732,21.312964767
"C1602",-157.753695331,21.3127281
"C1602",-157.753724731,21.3126839
"C1602",-157.753754132,21.3125849
"C1602",-157.753783398,21.312480167
"C1602",-157.753800998,21.312447167
"C1602",-157.753812798,21.312430567
"C1602",-157.753830398,21.312364567
"C1602",-157.753830398,21.312336967
"C1602",-157.753877399,21.312292967
"C1602",-157.753889199,21.312259901
"C1602",-157.753918531,21.312199367
"C1602",-157.754135932,21.3119845
"C1602",-157.754300398,21.311918367
"C1602",-157.754517932,21.3118743
"C1602",-157.754564799,21.311830167
"C1602",-157.754623598,21.311802701
"C47736",-157.747069975,21.293551143
"C47736",-157.7472713,21.293364524
"C4838",-157.746454285,21.285542283
"C4838",-157.746393481,21.285427849
"C56088",-157.745974575,21.2834465
"C56088",-157.745491923,21.283170424
"C41838",-157.754472743,21.298880054
"C41838",-157.754755193,21.298808654
"C3515",-157.754252928,21.289208321
"C3515",-157.754166484,21.289305146
"C31448",-157.744959066,21.287602571
"C31448",-157.744559304,21.287513463
"C10825",-157.747789589,21.291227518
"C10825",-157.747770024,21.291318027
"C36733",-157.754987323,21.300657226
"C36733",-157.755313529,21.300695924
"C20186",-157.744851048,21.289044426
"C20186",-157.744707719,21.2884143
"C21996",-157.756352373,21.284301504
"C21996",-157.756172282,21.284192245
"C21996",-157.755800367,21.283966674
"C21996",-157.755703534,21.283908808
"C21996",-157.755670504,21.283900909
"C20658",-157.754182385,21.28128979
"C20658",-157.754139216,21.281196623
"C20658",-157.754075195,21.281060174
"C20658",-157.754039338,21.280986202
"C3105",-157.752210666,21.2826008893
"C3105",-157.752455525,21.2824984
"C3105",-157.752642153,21.282420487
"C22448",-157.746145592,21.292677336
"C22448",-157.746586688,21.292599155
"C32992",-157.74701284,21.286085616
"C32992",-157.746765744,21.286039001
"C26520",-157.74463262,21.29276378
"C26520",-157.7445307,21.292461594
"C4953",-157.753128508,21.287992233
"C4953",-157.753168237,21.287947127
"C29904",-157.746396966,21.29473667
"C29904",-157.746540804,21.293977243
"C29904",-157.746923652,21.293986982
"C29904",-157.747180324,21.293919465
"C29206",-157.757081697,21.290228488
"C29206",-157.756781409,21.290197339
"C209505",-157.752939148,21.289033982
"C209505",-157.752952815,21.289097987
"C6685",-157.745552517,21.290819121
"C6685",-157.74553152,21.290734874
"C3208",-157.756934771,21.282680927
"C3208",-157.756915421,21.282614463
"C3208",-157.756862444,21.282457516
"C3208",-157.756835442,21.28235534
"C3208",-157.75679603,21.28220981
"C3208",-157.756757336,21.282074712
"C38520",-157.755270026,21.298823082
"C38520",-157.755485613,21.298812477
"C50591",-157.752728474,21.292720227
"C50591",-157.752812618,21.292681768
"C4966",-157.755541537,21.288620429
"C4966",-157.755480842,21.288688108
"C4966",-157.755417213,21.288755225
"C38332",-157.753820412,21.280610177
"C38332",-157.753611009,21.280689636
"C38332",-157.753151408,21.280873251
"C38332",-157.752763089,21.28102301
"C11113",-157.747927367,21.291212755
"C11113",-157.747901752,21.29131195
"C10837",-157.749477181,21.287956816
"C10837",-157.749343489,21.287633986
