"","date","daily_gag"
"1",2008-01-21,0.1
"2",2008-01-23,0.3
"3",2008-01-27,0.1
"4",2008-01-28,0.2
"5",2008-01-29,0.6
"6",2008-01-30,0.3
"7",2008-01-31,0.1
"8",2008-02-01,0.1
"9",2008-02-02,0.2
"10",2008-02-05,0.2
"11",2008-02-08,0.3
"12",2008-02-09,0.4
"13",2008-02-25,0.2
"14",2008-03-21,0.1
"15",2008-03-23,0.1
"16",2008-04-02,0.1
"17",2008-04-03,0.4
"18",2008-04-06,0.5
"19",2008-04-07,0.1
"20",2008-04-09,0.1
"21",2008-04-20,0.2
"22",2008-05-22,0.2
"23",2008-06-04,0.1
"24",2008-06-06,0.4
"25",2008-06-07,0.1
"26",2008-06-24,0.1
"27",2008-07-03,0.2
"28",2008-07-04,0.2
"29",2008-07-05,0.1
"30",2008-07-10,0.2
"31",2008-07-16,0.2
"32",2008-07-19,0.2
"33",2008-08-30,0.1
"34",2008-08-31,0.1
"35",2008-09-02,0.2
"36",2008-09-12,0.1
"37",2008-09-13,0.1
"38",2008-09-14,0.2
"39",2008-09-19,0.3
"40",2008-09-24,0.4
"41",2008-09-26,0.2
"42",2008-10-25,0.4
"43",2008-10-26,0.9
"44",2008-10-30,0.4
"45",2008-10-31,0.1
"46",2008-11-10,0.1
"47",2008-11-14,0.2
"48",2008-11-15,0.1
"49",2008-11-17,0.3
"50",2008-11-18,0.3
"51",2008-11-22,1.6
"52",2008-11-29,0.7
"53",2008-12-02,0.3
"54",2008-12-11,2.9
"55",2008-12-12,0.2
"56",2008-12-30,0.2
"57",2008-12-31,0.2
"58",2009-01-01,1.8
"59",2009-01-02,0.3
"60",2009-01-08,0.1
"61",2009-01-11,0.8
"62",2009-01-16,0.4
"63",2009-02-02,0.2
"64",2009-02-03,0.5
"65",2009-02-04,0.1
"66",2009-02-10,0.3
"67",2009-02-11,0.1
"68",2009-02-14,0.1
"69",2009-02-18,0.5
"70",2009-02-19,0.1
"71",2009-02-21,0.1
"72",2009-03-03,0.4
"73",2009-03-05,0.1
"74",2009-03-06,0.1
"75",2009-03-07,0.2
"76",2009-03-08,0.1
"77",2009-03-09,1.3
"78",2009-03-12,0.3
"79",2009-03-14,2.8
"80",2009-03-15,0.3
"81",2009-04-05,0.3
"82",2009-04-11,0.4
"83",2009-04-23,0.1
"84",2009-04-24,0.1
"85",2009-05-04,0.1
"86",2009-05-26,0.1
"87",2009-05-30,0.4
"88",2009-06-05,0.2
"89",2009-06-19,0.2
"90",2009-07-06,0.1
"91",2009-07-11,0.2
"92",2009-07-23,0.2
"93",2009-08-01,0.1
"94",2009-08-11,0.3
"95",2009-08-12,2.4
"96",2009-08-13,0.3
"97",2009-08-19,0.1
"98",2009-09-25,0.5
"99",2009-10-09,0.1
"100",2009-10-11,1.1
"101",2009-10-12,0.1
"102",2009-11-02,0.2
"103",2009-11-03,0.4
"104",2009-11-10,0.2
"105",2009-11-13,0.1
"106",2009-11-14,0.1
"107",2009-11-16,0.3
"108",2009-11-17,0.1
"109",2009-11-19,0.1
"110",2009-11-25,1.2
"111",2009-11-26,0.1
"112",2009-11-29,0.3
"113",2009-11-30,0.6
"114",2009-12-03,1.4
"115",2009-12-15,0.1
"116",2009-12-20,0.6
"117",2009-12-21,0.3
"118",2009-12-24,0.1
"119",2009-12-25,0.2
"120",2010-01-06,0.3
"121",2010-01-07,0.1
"122",2010-01-20,0.2
"123",2010-01-30,0.2
"124",2010-01-31,0.1
"125",2010-02-02,0.7
"126",2010-03-09,0.1
"127",2010-03-15,0.5
"128",2010-03-16,0.1
"129",2010-03-18,0.1
"130",2010-03-25,0.1
"131",2010-03-26,0.1
"132",2010-04-03,0.4
"133",2010-04-04,0.5
"134",2010-04-05,0.1
"135",2010-04-07,0.1
"136",2010-04-11,0.1
"137",2010-04-13,0.1
"138",2010-04-18,0.1
"139",2010-04-22,0.2
"140",2010-05-06,0.3
"141",2010-05-15,0.1
"142",2010-05-23,0.1
"143",2010-06-25,0.1
"144",2010-07-02,0.1
"145",2010-07-03,0.5
"146",2010-07-06,0.1
"147",2010-07-07,0.1
"148",2010-07-08,0.1
"149",2010-07-09,0.1
"150",2010-07-10,0.1
"151",2010-07-17,0.2
"152",2010-07-19,0.1
"153",2010-08-01,0.1
"154",2010-08-02,0.1
"155",2010-08-03,0.3
"156",2010-08-05,0.1
"157",2010-08-16,0.1
"158",2010-08-17,0.1
"159",2010-08-25,0.1
"160",2010-08-27,0.1
"161",2010-09-04,0.1
"162",2010-09-06,0.1
"163",2010-09-07,0.2
"164",2010-09-10,0.1
"165",2010-09-19,0.1
"166",2010-09-22,0.2
"167",2010-09-29,0.3
"168",2010-09-30,0.5
"169",2010-10-10,0.1
"170",2010-10-26,0.1
"171",2010-10-27,0.1
"172",2010-10-29,0.1
"173",2010-10-30,0.1
"174",2010-11-01,0.1
"175",2010-11-03,1.5
"176",2010-11-04,1
"177",2010-11-05,0.3
"178",2010-11-06,0.1
"179",2010-11-10,0.1
"180",2010-11-15,0.1
"181",2010-11-18,0.1
"182",2010-11-19,0.1
"183",2010-11-27,0.1
"184",2010-11-28,0.2
"185",2010-11-29,0.1
"186",2010-12-01,0.3
"187",2010-12-09,0.2
"188",2010-12-10,1.9
"189",2010-12-11,0.1
"190",2010-12-19,5.3
"191",2010-12-20,0.5
"192",2010-12-23,0.4
"193",2010-12-25,0.1
"194",2010-12-26,0.2
"195",2010-12-27,0.1
"196",2010-12-29,0.1
"197",2011-01-06,0.1
"198",2011-01-10,0.1
"199",2011-01-12,1.3
"200",2011-01-13,1.9
"201",2011-02-06,1
"202",2011-02-07,0.2
"203",2011-02-10,0.1
"204",2011-02-19,0.1
"205",2011-02-20,0.1
"206",2011-02-23,0.8
"207",2011-02-24,0.2
"208",2011-03-02,0.1
"209",2011-03-04,1.6
"210",2011-03-06,0.7
"211",2011-03-07,0.1
"212",2011-03-08,0.1
"213",2011-03-09,0.7
"214",2011-03-10,0.1
"215",2011-03-11,0.1
"216",2011-03-18,0.1
"217",2011-03-20,0.1
"218",2011-03-22,0.1
"219",2011-03-24,0.1
"220",2011-03-27,0.2
"221",2011-05-17,0.1
"222",2011-05-22,0.2
"223",2011-05-31,0.2
"224",2011-06-03,0.9
"225",2011-06-04,0.2
"226",2011-06-07,0.2
"227",2011-06-19,0.3
"228",2011-06-20,0.5
"229",2011-06-21,0.2
"230",2011-06-23,0.1
"231",2011-06-26,0.1
"232",2011-07-04,0.1
"233",2011-07-16,0.1
"234",2011-07-17,0.1
"235",2011-07-21,0.1
"236",2011-07-22,0.1
"237",2011-07-26,0.2
"238",2011-07-29,0.2
"239",2011-08-08,0.1
"240",2011-08-19,0.2
"241",2011-08-25,0.1
"242",2011-08-28,0.1
"243",2011-08-29,0.1
"244",2011-09-12,0.1
"245",2011-09-17,0.1
"246",2011-09-18,0.1
"247",2011-10-08,0.1
"248",2011-10-10,0.1
"249",2011-10-13,0.1
"250",2011-10-14,0.2
"251",2011-10-15,0.2
"252",2011-10-17,0.1
"253",2011-10-18,0.3
"254",2011-10-28,0.1
"255",2011-10-31,0.1
"256",2011-11-01,1.1
"257",2011-11-03,0.1
"258",2011-11-09,0.1
"259",2011-11-11,0.1
"260",2011-11-20,0.1
"261",2011-11-25,0.1
"262",2011-11-26,0.2
"263",2011-11-29,0.1
"264",2011-12-01,0.2
"265",2011-12-08,0.1
"266",2011-12-09,0.1
"267",2011-12-10,0.6
"268",2011-12-11,0.2
"269",2011-12-12,0.4
"270",2011-12-13,1.1
"271",2011-12-14,0.1
"272",2011-12-15,0.1
"273",2011-12-17,0.1
"274",2011-12-18,0.3
"275",2011-12-19,0.1
"276",2011-12-20,0.7
"277",2011-12-21,0.5
"278",2011-12-23,0.1
"279",2011-12-24,0.2
"280",2012-01-10,0.6
"281",2012-01-21,0.1
"282",2012-01-29,0.1
"283",2012-01-30,0.1
"284",2012-02-06,0.2
"285",2012-02-07,0.2
"286",2012-02-17,0.3
"287",2012-02-19,0.2
"288",2012-02-25,0.1
"289",2012-02-29,0.1
"290",2012-04-08,0.1
"291",2012-04-09,0.3
"292",2012-04-11,0.4
"293",2012-04-19,0.1
"294",2012-04-22,0.3
"295",2012-04-23,0.2
"296",2012-05-26,0.1
"297",2012-05-31,0.1
"298",2012-06-07,0.1
"299",2012-06-19,0.1
"300",2012-06-22,0.1
"301",2012-06-25,0.1
"302",2012-06-26,0.5
"303",2012-06-28,0.2
"304",2012-07-03,0.1
"305",2012-07-07,0.2
"306",2012-07-19,0.1
"307",2012-07-20,0.1
"308",2012-07-28,0.2
"309",2012-07-29,0.2
"310",2012-08-05,0.1
"311",2012-08-11,0.1
"312",2012-08-19,0.1
"313",2012-08-27,0.2
"314",2012-08-28,0.2
"315",2012-09-13,0.1
"316",2012-09-14,0.1
"317",2012-09-18,0.1
"318",2012-09-20,0.3
"319",2012-09-23,0.3
"320",2012-09-24,0.2
"321",2012-09-28,0.1
"322",2012-09-30,0.1
"323",2012-10-14,0.1
"324",2012-10-15,0.1
"325",2012-10-28,0.1
"326",2012-10-31,0.1
"327",2012-11-06,0.2
"328",2012-11-08,0.1
"329",2012-11-13,0.2
"330",2012-11-15,0.1
"331",2012-11-26,0.4
"332",2012-12-03,0.1
"333",2012-12-05,0.1
"334",2012-12-12,0.1
"335",2012-12-13,0.1
"336",2012-12-14,0.2
"337",2012-12-17,0.3
"338",2012-12-19,0.1
"339",2012-12-20,0.3
"340",2013-01-01,0.9
"341",2013-01-02,0.8
"342",2013-01-03,1.3
"343",2013-01-05,0.2
"344",2013-01-14,0.6
"345",2013-01-23,0.1
"346",2013-01-24,0.8
"347",2013-01-27,0.7
"348",2013-01-28,0.8
"349",2013-02-06,0.2
"350",2013-02-07,0.1
"351",2013-02-11,0.2
"352",2013-02-18,0.1
"353",2013-02-19,0.1
"354",2013-02-21,0.3
"355",2013-02-22,0.4
"356",2013-02-26,0.1
"357",2013-03-09,0.1
"358",2013-03-10,2.1
"359",2013-03-20,0.1
"360",2013-03-23,0.1
"361",2013-03-24,0.6
"362",2013-03-27,0.4
"363",2013-03-28,0.1
"364",2013-03-29,0.3
"365",2013-04-14,0.7
"366",2013-04-15,0.1
"367",2013-04-21,0.1
"368",2013-04-22,0.2
"369",2013-05-05,0.3
"370",2013-05-12,0.4
"371",2013-05-17,0.1
"372",2013-05-19,0.2
"373",2013-05-24,0.1
"374",2013-05-27,0.2
"375",2013-08-08,0.1
"376",2013-08-09,0.1
"377",2013-08-10,0.6
"378",2013-08-11,0.1
"379",2013-08-13,0.1
"380",2013-08-31,0.1
"381",2013-09-07,0.2
"382",2013-09-12,0.1
"383",2013-09-13,0.4
"384",2013-09-14,0.1
"385",2013-09-17,0.3
"386",2013-09-22,0.1
"387",2013-09-23,0.1
"388",2013-09-24,0.2
"389",2013-09-25,0.2
"390",2013-09-26,0.1
"391",2013-11-06,0.1
"392",2013-11-09,2.3
"393",2013-11-10,2.8
"394",2013-11-13,0.1
"395",2013-11-14,0.3
"396",2013-11-15,0.5
"397",2013-12-01,2.4
"398",2013-12-02,0.1
"399",2013-12-09,0.1
"400",2013-12-15,0.4
"401",2013-12-18,0.2
"402",2013-12-19,0.2
"403",2013-12-21,0.1
"404",2013-12-23,0.1
"405",2013-12-24,0.1
