"link","shape","geom1","geom2","geom3","geom4","barrels","culvert"
17,"CIRCULAR","18",0,0,0,NA,0
18,"CIRCULAR","18",0,0,0,NA,0
19,"CIRCULAR","18",0,0,0,NA,0
20,"CIRCULAR","18",0,0,0,NA,0
21,"CIRCULAR","18",0,0,0,NA,0
22,"CIRCULAR","18",0,0,0,NA,0
23,"CIRCULAR","18",0,0,0,NA,0
24,"CIRCULAR","18",0,0,0,NA,0
25,"CIRCULAR","24",0,0,0,NA,0
26,"CIRCULAR","24",0,0,0,NA,0
27,"CIRCULAR","42",0,0,0,NA,0
28,"CIRCULAR","42",0,0,0,NA,0
29,"CIRCULAR","18",0,0,0,NA,0
30,"CIRCULAR","18",0,0,0,NA,0
31,"CIRCULAR","18",0,0,0,NA,0
32,"CIRCULAR","18",0,0,0,NA,0
33,"CIRCULAR","18",0,0,0,NA,0
34,"CIRCULAR","18",0,0,0,NA,0
35,"CIRCULAR","42",0,0,0,NA,0
36,"CIRCULAR","42",0,0,0,NA,0
37,"CIRCULAR","42",0,0,0,NA,0
38,"CIRCULAR","42",0,0,0,NA,0
39,"CIRCULAR","24",0,0,0,NA,0
40,"CIRCULAR","24",0,0,0,NA,0
41,"CIRCULAR","30",0,0,0,NA,0
42,"CIRCULAR","30",0,0,0,NA,0
43,"CIRCULAR","24",0,0,0,NA,0
44,"CIRCULAR","24",0,0,0,NA,0
45,"CIRCULAR","18",0,0,0,NA,0
46,"CIRCULAR","18",0,0,0,NA,0
47,"CIRCULAR","18",0,0,0,NA,0
48,"CIRCULAR","18",0,0,0,NA,0
49,"CIRCULAR","18",0,0,0,NA,0
50,"CIRCULAR","18",0,0,0,NA,0
51,"CIRCULAR","24",0,0,0,NA,0
52,"CIRCULAR","24",0,0,0,NA,0
53,"CIRCULAR","23",0,0,0,NA,0
54,"CIRCULAR","23",0,0,0,NA,0
57,"CIRCULAR","30",0,0,0,NA,0
58,"CIRCULAR","30",0,0,0,NA,0
59,"CIRCULAR","18",0,0,0,NA,0
60,"CIRCULAR","18",0,0,0,NA,0
61,"CIRCULAR","42",0,0,0,NA,0
62,"CIRCULAR","42",0,0,0,NA,0
63,"CIRCULAR","42",0,0,0,NA,0
64,"CIRCULAR","42",0,0,0,NA,0
65,"CIRCULAR","24",0,0,0,NA,0
66,"CIRCULAR","24",0,0,0,NA,0
67,"CIRCULAR","18",0,0,0,NA,0
68,"CIRCULAR","18",0,0,0,NA,0
